SMILES,ChEMBL,target,metric
CSC[C@@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@H]1O,CHEMBL3604360,6.13,pKi
Cl.CC1NC(C(O)C1O)c2c[nH]c3c(N)ncnc23,CHEMBL545273,6.14,pKi
CSC[C@@H](O)CNCc1c[nH]c2c(N)ncnc12,CHEMBL2070403,6.22,pKi
CSC[C@H](O)[C@@H](O)CN(C)Cc1c[nH]c2c(N)ncnc12,CHEMBL2070407,6.43,pKi
CSCC1(CO)CN(Cc2c[nH]c3c(N)ncnc23)C1,CHEMBL407216,6.85,pKi
Cl.COCC1NC(C(O)C1O)c2c[nH]c3c(N)ncnc23,CHEMBL544574,6.87,pKi
CSC[C@H](CO)N[C@H](CO)c1c[nH]c2c(N)ncnc12,CHEMBL2070408,6.89,pKi
CSC[C@H](O)[C@@H](CO)CN(C)Cc1c[nH]c2c(N)ncnc12,CHEMBL2070406,6.98,pKi
Cl.Nc1[nH]cnc2c(cnc12)C3NC(CSc4cccc5ccccc45)C(O)C3O,CHEMBL553375,7.05,pKi
CSC[C@H](O)[C@@H](CO)NCc1c[nH]c2c(N)ncnc12,CHEMBL2070400,7.06,pKi
CSC[C@H](O)[C@H](CO)NCc1c[nH]c2c(N)ncnc12,CHEMBL2070312,7.06,pKi
NC1N=CNc2c(CN3CC(O)C(COCc4ccccc4)C3)c[nH]c12,CHEMBL189910,7.07,pKi
Nc1ncnc2c(CN3C[C@H](O)[C@@H](CCCSCc4ccccc4)C3)c[nH]c12,CHEMBL1243341,7.15,pKi
Nc1ncnc2c(CN3C[C@H](O)[C@H](C3)n4ccnn4)c[nH]c12,CHEMBL1243312,7.23,pKi
Cl.Nc1[nH]cnc2c(cnc12)C3NC(CSCCO)C(O)C3O,CHEMBL542697,7.25,pKi
Nc1ncnc2c(CN3CC(O)C(CSCc4ccccc4)C3)n[nH]c12,CHEMBL190954,7.26,pKi
Cl.CCCC1NC(C(O)C1O)c2c[nH]c3c(N)ncnc23,CHEMBL542452,7.36,pKi
CC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@H]1O,CHEMBL1241432,7.47,pKi
CSCC(CO)(CO)NCc1c[nH]c2c(N)ncnc12,CHEMBL2070402,7.47,pKi
CSC[C@@H](C[NH2+]Cc1c[nH]c2c(N)ncnc12)[C@@H](O)CO.[O-]C(=O)C(F)(F)F,CHEMBL2070404,7.47,pKi
