SMILES,ChEMBL,target,metric
FC(F)(F)c1ccc(cc1)C(=O)N2CCC(CC2)NS(=O)(=O)c3cc(ccc3C(F)(F)F)S(=O)(=O)c4ccccc4,CHEMBL589326,6.01,pEC50
OC(=O)CCN1CCC(CC1)NS(=O)(=O)c2cc(ccc2C(F)(F)F)S(=O)(=O)c3ccccc3,CHEMBL590306,6.05,pIC50
FC(F)(F)c1ccc(cc1S(=O)(=O)NC2CCN(CC2)C(=O)c3ccc(nc3)N4CCCC4)S(=O)(=O)c5ccccc5,CHEMBL590477,6.06,pIC50
FC(F)(F)c1ccc(cc1S(=O)(=O)NC2CCN(CC2)C(=O)c3cccc(Cl)c3)S(=O)(=O)c4ccccc4,CHEMBL589332,6.06,pEC50
OCCCN1CCC(CC1)NS(=O)(=O)c2cc(ccc2C(F)(F)F)S(=O)(=O)c3ccccc3,CHEMBL592692,6.07,pEC50
COC(=O)c1c(C)c(C)sc1NC(=O)CC2SC(=N)NC2=O,CHEMBL569227,6.14,pKd
FC(F)(F)c1ccc(cc1S(=O)(=O)NC2CCN(CC2)C(=O)[C@H]3CCCN3)S(=O)(=O)c4ccccc4,CHEMBL495536,6.15,pEC50
FC(F)(F)c1ccc(cc1S(=O)(=O)NC2CCN(CC2)C(=O)[C@H]3CCNC3)S(=O)(=O)c4ccccc4,CHEMBL592670,6.16,pEC50
CC(C)(O)CCN1CCC(CC1)NS(=O)(=O)c2cc(ccc2C(F)(F)F)S(=O)(=O)c3ccccc3,CHEMBL602239,6.2,pEC50
FC(F)(F)c1ccc(cc1S(=O)(=O)NC2CCN(CC2)C(=O)c3ccncc3)S(=O)(=O)c4ccccc4,CHEMBL608670,6.22,pEC50
OC(=O)CCCC(=O)N1CCC(CC1)NS(=O)(=O)c2cc(ccc2C(F)(F)F)S(=O)(=O)c3ccccc3,CHEMBL592691,6.24,pEC50
OC(=O)CN1CCC(CC1)NS(=O)(=O)c2cc(ccc2C(F)(F)F)S(=O)(=O)c3ccccc3,CHEMBL591483,6.24,pEC50
FC(F)(F)c1ccc(cc1S(=O)(=O)NC2CCNCC2)S(=O)(=O)c3ccccc3,CHEMBL495575,6.3,pIC50
