SMILES,ChEMBL,target,metric
CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,dabrafenib,9.1549015,pIC50
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,sorafenib,7.66,pKi
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C1F,vemurafenib,7.68,pIC50
CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=CC=N1,regorafenib,7.55,pIC50
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5cccc(c5)C#N,CHEMBL3352837,7.53,pIC50
CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(c3cncnc3)c4nc(ncc24)N(C)C5CCN(CC5)C6CC6,CHEMBL3702563,7.54,pIC50
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc(F)c(c4)C(F)(F)F)c2n1,CHEMBL3697777,7.54,pIC50
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)NCc5ccc(cc5)C(F)(F)F,CHEMBL3697792,7.54,pIC50
CN(c1cc(ccc1C)C(=O)Nc2cc(on2)C(C)(C)C)c3ncnc4cnc(nc34)N5CCOCC5,CHEMBL3641188,7.55,pIC50
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C,CHEMBL3577121,7.55,pIC50
C[C@H](O)CNc1nccc(n1)c2nc([nH]c2c3cccc(NS(=O)(=O)C)c3F)C4CC4,CHEMBL3651694,7.55,pIC50
Fc1ccc(NS(=O)(=O)c2ccccc2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45,CHEMBL3798308,7.55,pIC50
Oc1cccc(Nc2ncnc3ccc(cc23)c4cccc(O)c4)c1,CHEMBL3661242,7.56,pIC50
CCC(C)S(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F,CHEMBL3800227,7.57,pIC50
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NCCC(C)(C)C)ccc3C,CHEMBL3577118,7.57,pIC50
CNc1ncc2cc(cnc2n1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C,CHEMBL3577123,7.57,pIC50
