SMILES,ChEMBL,target,metric
C1CN(CCN1)c2ccnc(Nc3ncc(s3)c4cncnc4)c2,CHEMBL2013062,7.54,pIC50
CN(C)CCCn1c2ccc(O)cc2c3c4C(=O)NC(=O)c4c(cc13)c5ccccc5Cl,CHEMBL454908,7.54,pIC50
COc1cc(Nc2cnc(C#N)c(O[C@@H]3CCNC3)n2)ncc1c4cnn(C)c4,CHEMBL2203844,7.54,pIC50
COc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1c3cnn(C)c3,CHEMBL2203843,7.54,pIC50
COc1cc2CCN(Cc2cc1OC)c3nc(cs3)C(=O)Nc4ccccc4N5CCNCC5,CHEMBL2381236,7.54,pIC50
COc1ccc(CNCc2ccc(cc2)c3cc(C(=O)N)c(NC(=O)N)s3)cc1,CHEMBL510101,7.54,pIC50
Cc1[nH]nc2c3cc4ccccc4cc3NC(=O)c12,CHEMBL251210,7.54,pIC50
Cc1ncc(cn1)c2cnc(Nc3cc(ccn3)N4CCNCC4)s2,CHEMBL2011337,7.54,pIC50
Cc1ncc(cn1)c2cnc(Nc3cccc(NCCCN)n3)s2,CHEMBL2011340,7.54,pIC50
NC1=NC(=O)\C(=C\2/CCNC(=O)c3[nH]c4c(csc4c23)C#N)\N1,CHEMBL480187,7.54,pIC50
Oc1ccc(cc1)c2ccc3\C(=C\c4cc[nH]c4)\C(=O)Nc3c2,CHEMBL199643,7.54,pIC50
Oc1cccc(c1)c2ccc3NC(=O)C(=Cc3c2)c4cc5cc(CN6CCCCC6)ccc5[nH]4,CHEMBL220902,7.54,pIC50
CNc1cc(Nc2cnc(C#N)c(O[C@@H]3CCNC3)n2)ncc1C(=O)OC,CHEMBL2203848,7.55,pIC50
CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1C(F)(F)F,CHEMBL2204587,7.55,pIC50
COc1cc2c(Cc3c(n[nH]c23)c4ccc(cc4)c5ccc(O)c(F)c5)cc1CN6CCN(C)CC6,CHEMBL233831,7.55,pIC50
Clc1ccc2OCCCCCCOc3nc(NC(=O)Nc2c1)cnc3C#N,CHEMBL374417,7.55,pIC50
Cn1cc(cn1)c2cnn3c(Nc4ccccn4)cc(nc23)C5CCCNC5,CHEMBL1643462,7.55,pIC50
Cn1cc(cn1)c2cnn3c(Nc4nccs4)cc(nc23)C5CCCNC5,CHEMBL1643463,7.55,pIC50
O=C(Nc1cnccc1N2CCNCC2)c3csc(n3)c4ccc5occc5c4,CHEMBL2381109,7.55,pIC50
CC(CN(C)C)Oc1nc(Nc2cc3cccc(Cl)c3cn2)cnc1C#N,CHEMBL1928704,7.57,pIC50
CN(C)CCNC(=O)CCn1c2ccc(O)cc2c3c4C(=O)NC(=O)c4c(cc13)c5ccccc5,CHEMBL518048,7.57,pIC50
CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1Cl,CHEMBL2204586,7.57,pIC50
CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1c3cnn(C)c3,CHEMBL2204592,7.57,pIC50
COc1cc(CCNCc2ccccc2)ccc1NC(=O)Nc3cnc(C)cn3,CHEMBL3694365,7.57,pIC50
COc1cc2c(Cc3c(n[nH]c23)c4ccc(cc4)c5ccc(O)c(F)c5)cc1C(=O)NCc6ccccn6,CHEMBL233641,7.57,pIC50
CSc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1c3cnn(C)c3,CHEMBL2203846,7.57,pIC50
Cc1ccc(cn1)c2cnc(Nc3cccc(NCCCN)n3)s2,CHEMBL2013059,7.57,pIC50
NC(=O)c1cnc(N[C@H]2CCCNC2)c3nc(cn13)c4ccc(F)cc4,CHEMBL2381605,7.57,pIC50
OCc1cccc(c1)c2cnc3[nH]c4cnc(cc4c3c2)C#N,CHEMBL3582192,7.57,pIC50
Oc1ccc2[nH]c3c4C(=O)C=CC(=O)c4c5C(=O)NC(=O)c5c3c2c1,CHEMBL243931,7.57,pIC50
Oc1ccc2[nH]c3c4[nH]c5ccncc5c4c6C(=O)NC(=O)c6c3c2c1,CHEMBL493391,7.57,pIC50
c1ccc2[nH]c(cc2c1)c3n[nH]c4cc(ccc34)c5nnn[nH]5,CHEMBL376479,7.57,pIC50
S=C(Nc1ccccc1)Nc2nc(cc(c3ccccc3)c2C#N)c4ccccc4,CHEMBL3408381,7.58,pIC50
CC(O)C#Cc1cc2OCCCCCOc3nc(NC(=O)Nc2cc1Cl)cnc3C#N,CHEMBL219635,7.59,pIC50
CC1=CC2=NNC(=O)N2c3cc(ccc13)c4cc[nH]c4,CHEMBL1223527,7.59,pIC50
CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1C3CC3,CHEMBL2204588,7.59,pIC50
Cn1cc(cn1)c2cnn3c(N)c(CCO)c(nc23)C4CCCNC4,CHEMBL1643213,7.59,pIC50
Fc1ccc(CNCCOc2ccc(NC(=O)Nc3cnc(cn3)C#N)cc2Cl)c(F)c1,CHEMBL3694340,7.59,pIC50
Oc1ccc2[nH]c3cc(c4cc[nH]c4)c5C(=O)NC(=O)c5c3c2c1,CHEMBL213422,7.59,pIC50
CN(C)CCOCCOc1cc(N2CCCC2)c(NC(=O)Nc3cnc(cn3)C#N)cc1Cl,CHEMBL206663,7.6,pIC50
COc1cc(ccc1O)c2ccc3\C(=C\c4cc[nH]c4)\C(=O)Nc3c2,CHEMBL199918,7.6,pIC50
COc1cc2Cc3c(n[nH]c3c4ccc(CO)cc4)c2cc1OC,CHEMBL247237,7.6,pIC50
COc1cc2Cc3c(n[nH]c3c4ccc(O)cc4)c2cc1OC,CHEMBL401274,7.6,pIC50
COc1ccc2OCCCCCOc3nc(NC(=O)Nc2c1)cnc3C#N,CHEMBL238355,7.6,pIC50
COc1ccccc1N2CCN(CCCOc3cc4Cc5c(n[nH]c5c6ccc(cc6)c7ccc(O)cc7)c4cc3OC)CC2,CHEMBL248000,7.6,pIC50
