SMILES,ChEMBL,target,metric
[H][C@@]12C[C@@]([H])(C)[C@]34C=C(C)[C@]([H])(OC(=O)C(\C)=C/C)[C@@]3(O)[C@]([H])(O)C(CO)=C[C@]([H])(C4=O)[C@]1([H])C2(C)C,ingenol mebutate,7.52287865,pEC50
Oc1ccc2sc3C(=O)NCCSc3c2c1,CHEMBL1672571,7.55,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.57,pKd
Cn1c2ccccc2c3c4C(=O)NCc4c5c6ccccc6n(CCC#N)c5c13,CHEMBL302449,7.57,pIC50
CN1CCN(CC1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N,CHEMBL1215286,7.6,pIC50
NC(=O)c1cc(nc(c1)c2ccnc(Nc3ccccc3)c2)N4CCNCC4,CHEMBL1215000,7.62,pEC50
FC(F)(F)c1cc(nc(c1)c2ccnc(NC3CCCCC3)c2)N4CCNCC4,CHEMBL1215360,7.7,pIC50
NC(=O)C1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4,CHEMBL1214788,7.7,pIC50
CC(=O)C1CN(CCN1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4,CHEMBL1215795,7.72,pIC50
O=C(NCC#N)c1cccc(c1)c2cc(on2)c3ccc(CNC4CCOCC4)cc3,CHEMBL1683438,7.72,pIC50
N#Cc1cc(nc(c1)c2ccnc(NC3CCCCC3)c2)N4CCNCC4,CHEMBL1215078,7.75,pIC50
C1CCC(CC1)Nc2cc(ccn2)c3cc(cc(n3)N4CCNCC4)c5cn[nH]c5,CHEMBL1215151,7.77,pEC50
FC(F)c1cc(nc(c1)c2ccnc(NC3CCCCC3)c2)N4CCNCC4,CHEMBL1215361,7.77,pIC50
C1CCC(CC1)Nc2cc(ccn2)c3cc4ncccc4c(n3)N5CCNCC5,CHEMBL1215572,7.82,pIC50
OC1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4,CHEMBL1215793,7.82,pIC50
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,CHEMBL603469,7.85,pKd
NC1CCCN(C1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N,CHEMBL1215285,7.85,pIC50
C1CCC(CC1)Nc2cc(ccn2)c3cc4cnccc4c(n3)N5CCN(CC5)C6CC6,CHEMBL1215709,7.89,pIC50
C1CCC(CC1)Nc2cc(ccn2)c3cc4ccccc4c(n3)N5CCNCC5,CHEMBL1215505,7.92,pIC50
C1CN(CCN1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4,CHEMBL1215711,8.0,pIC50
O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3,CHEMBL495727,8.0,pIC50
CC(C)NCc1ccc(cc1)c2onc(c2)c3cccc(c3)C(=O)N[C@H](C)C#N,CHEMBL1683436,8.05,pIC50
C[C@H]1CN(CCN1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N,CHEMBL1215223,8.1,pIC50
Cn1ccc(Nc2cc(ccn2)c3cc(cc(n3)N4CCNCC4)C#N)n1,CHEMBL1215150,8.1,pIC50
CC(C)CN1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4,CHEMBL1215642,8.22,pIC50
C[C@@H]1CN(CCN1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N,CHEMBL1215222,8.22,pIC50
NC(=O)c1cc(nc(c1)c2ccnc(NC3CCCC3)c2)N4CCNCC4,CHEMBL1215076,8.22,pIC50
C[C@@H](NC(=O)c1cccc(c1)c2cc(on2)c3ccc(CNC4CCOCC4)cc3)C#N,CHEMBL1683440,8.26,pIC50
N#Cc1cc(nc(c1)c2ccnc(Nc3ccccc3)c2)N4CCNCC4,CHEMBL1215149,8.3,pIC50
NCC(=O)N1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4,CHEMBL1214787,8.3,pIC50
C1CCC(CC1)Nc2cc(ccn2)c3cc(cc(n3)N4CCNCC4)c5cc[nH]n5,CHEMBL1215152,8.4,pIC50
CCNc1cc(ccn1)c2cc(cc(n2)N3CCNCC3)C(=O)N,CHEMBL1215077,8.4,pIC50
OC1CCN(CC1)C(=O)C2CCN(CC2)c3nc(cc4cnccc34)c5ccnc(NC6CCCCC6)c5,CHEMBL1214786,8.4,pIC50
