SMILES,ChEMBL,target,metric
COCC(C)c1cc(Nc2ccnc(n2)N(C)Cc3ccc4[nH]cnc4c3Cl)n[nH]1,CHEMBL3593825,7.54,pKi
C(Nc1nccc(Nc2cc([nH]n2)C3CC3)n1)c4ccc5[nH]ccc5c4,CHEMBL3580967,7.57,pKi
N[C@@H]1CC[C@@H](CNc2nccc(Nc3cc([nH]n3)C4CC4)n2)CC1,CHEMBL3580962,7.59,pKi
C[C@H](Nc1nccc(Nc2cc([nH]n2)[C@@H]3C[C@H]3F)n1)c4ccc5[nH]ccc5n4,CHEMBL3823614,7.6,pKi
Clc1c(CNc2nccc(Nc3cc([nH]n3)C4CCCO4)n2)ccc5[nH]cnc15,CHEMBL3593823,7.6,pKi
CCN1C(=O)C(=Cc2cnc(NCCC3CCN(C)CC3)nc12)c4ccc(cc4Cl)c5cncc(C)n5,CHEMBL3770186,7.64,pKi
CC[C@H](Nc1nccc(Nc2cc([nH]n2)C3CC3)n1)c4ccc5[nH]ccc5n4,CHEMBL3824243,7.64,pKi
Clc1cc(ccc1C(=O)c2c[nH]c3ncc(cc23)c4cnn(c4)C5CCNCC5)C#N,CHEMBL3596916,7.64,pIC50
CNc1ncc2C=C(C(=O)N(CCOC)c2n1)c3ccc(cc3Cl)N4C=NC=C(C)C4=O,CHEMBL3819447,7.66,pKi
NC1CCN(CC1)c2nc(Nc3cc([nH]n3)C4CC4)c5sccc5n2,CHEMBL3580949,7.66,pKi
COCc1ccc(C(=O)c2c[nH]c3ncc(cc23)c4cnn(c4)C5CCNCC5)c(Cl)c1,CHEMBL3596920,7.68,pIC50
N[C@@H]1CC[C@H](CNc2nccc(Nc3cc([nH]n3)C4CC4)n2)CC1,CHEMBL3580963,7.68,pKi
CNc1ncc2C=C(C(=O)N(C[C@H]3CNCCO3)c2n1)c4ccc(cc4Cl)c5cncc(C)n5,CHEMBL3770943,7.72,pKi
CCN1CC[C@@H](C1=O)c2cc(Nc3ccnc(n3)N(C)C[C@@H]4CC[C@@H](N)CC4)n[nH]2,CHEMBL3594180,7.75,pKi
