SMILES,ChEMBL,target,metric
[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](OP(C)(C)=O)[C@@H](C1)OC,ridaforolimus,9.69896984,pIC50
CCN1CCO[C@@H](CN2C[C@H](C(C)C)N(C2=O)c3ccn4ncc(c5ccc(cc5)c6nc[nH]n6)c4n3)C1,CHEMBL3653560,7.53,pIC50
CCc1ncnc(c2ccc(C(=O)N3CCC(CC3)N(C)C)c(Cl)c2)c1C#Cc4ccc(N)nc4,CHEMBL3643152,7.53,pIC50
CCc1ncnc(c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(Cl)c2)c1C#Cc5ccc(N)nc5,CHEMBL3643162,7.53,pIC50
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCC(=O)N)C2=O,CHEMBL2375958,7.53,pKi
CCc1ncnc(N2CCC3(CCN(C)CC3)CC2)c1C#Cc4ccc(N)nc4,CHEMBL3670220,7.54,pIC50
CCc1ncnc(c2ccc(C(=O)N3CC[C@@H](O)C3)c(C)c2)c1C#Cc4ccc(N)nc4,CHEMBL3645802,7.54,pIC50
CCc1ncnc(c2ccc(cc2)C(=O)N(C)C)c1C#Cc3ccc(C)nc3,CHEMBL3640943,7.54,pIC50
COc1ccc(cc1)S(=O)(=O)Nc2cc(ccn2)c3ccc4nc(NC(=O)C)sc4c3,CHEMBL1773558,7.54,pIC50
COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4CCC[C@@H]4CO)N5CCOC[C@@H]5C,CHEMBL3693534,7.54,pIC50
COc1ccc(cn1)c2ccc3ncc4N(C)C(=O)N([C@@H](C)CO)c4c3n2,CHEMBL3681164,7.54,pKi
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)C3=Cc4c(C)nc(N)cc4N([C@@H]5CC[C@@H](O)CC5)C3=O,CHEMBL3112712,7.54,pIC50
CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cnc(N)nc5)CC1,CHEMBL1083192,7.54,pIC50
C[C@H]1COCCN1c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccc(F)c(c5)C(=O)N,CHEMBL3688853,7.54,pIC50
C[C@H]1COCCN1c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccc(F)c(c5)C(=O)NCCO,CHEMBL3688858,7.54,pIC50
C[C@H]1COCCN1c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5cccc(CN6CC[C@H](O)C6)c5,CHEMBL3689004,7.54,pIC50
Cn1cc(\C=C\2/Oc3ccc(NC(=O)Nc4ccc(nc4)N5CCOCC5)cc3C2=O)c6c(ccnc16)N7CC8CCC(C7)O8,CHEMBL1091316,7.54,pIC50
CC(C)C(=O)CN1CCC(CC1)N2C(=O)N(C)c3cnc4ccc(nc4c23)c5cnn(C)c5,CHEMBL3681138,7.55,pKi
CC(C)NCc1cc(ccc1F)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,CHEMBL3689008,7.55,pIC50
CCNC(=O)Nc1ccc(cc1)c2nc(N3C[C@@H]4C[C@H]3CO4)c5c(cnn5C)n2,CHEMBL2418351,7.55,pKi
CCNC(=O)Nc1ccc(cc1)c2nc(N3C[C@H]4CC[C@@H](C3)O4)c5CO[C@](C)(CCO)c5n2,CHEMBL1774368,7.55,pIC50
