SMILES,ChEMBL,target,metric
C[C@H]1C[C@H](C[C@@H](N)[C@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F,CHEMBL3687446,7.53,pIC50
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)c4ccc(NCC5CCNCC5)cc4,CHEMBL2035630,7.54,pIC50
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(OC(F)(F)F)cc4)C(=O)N1,CHEMBL575254,7.54,pKi
COc1cc(NCC2CCNCC2)nc3c1nnn3c4cccc(OC(F)(F)F)c4,CHEMBL1952142,7.54,pIC50
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccnc4,CHEMBL3652012,7.54,pIC50
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F,CHEMBL3691917,7.54,pIC50
Clc1cc(CNC2CCNCC2)ccc1C3=Nc4c(oc5ccc(Br)cc45)C(=O)N3,CHEMBL2035628,7.54,pIC50
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(n4)N5CCNCC5)c3c2,CHEMBL3393695,7.54,pIC50
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F,CHEMBL3676290,7.54,pIC50
O[C@H]1CCN(CC2=Nc3c(sc4ccc(Cl)cc34)C(=O)N2)C1,CHEMBL572513,7.54,pKi
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccc(cc5)C#N)C(=O)N2)C1,CHEMBL573045,7.54,pKi
CCOc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4,CHEMBL3394170,7.55,pIC50
CNC(=O)c1cccc2c1nc(Nc3ccccc3Cl)c4ccsc24,CHEMBL2017360,7.55,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.55,pIC50
COc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1,CHEMBL2017351,7.55,pIC50
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4ccc(O)cc4F,CHEMBL3651935,7.55,pIC50
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CC[C@@H](N)C4,CHEMBL3652635,7.55,pKi
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1OC4CCNCC4,CHEMBL3652631,7.55,pKi
Fc1cc(OCCN2CCCC2)ccc1Nc3nc4c(cccc4c5cnccc35)c6nnc[nH]6,CHEMBL1915641,7.55,pIC50
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](O)[C@H](N)C4,CHEMBL3651911,7.57,pIC50
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC)cc4F,CHEMBL3691975,7.57,pIC50
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F,CHEMBL3676297,7.57,pIC50
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4,CHEMBL3651937,7.57,pIC50
NCCCNc1cncc(n1)c2cccc(\C=C\C(=O)O)c2,CHEMBL495030,7.57,pIC50
Nc1cc(ncn1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F,CHEMBL3793221,7.57,pKi
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1OC4CCNCC4,CHEMBL3652629,7.58,pKi
C1CCC(C1)Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5,CHEMBL1915430,7.59,pIC50
C1COCC(C1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5,CHEMBL3634763,7.59,pKi
CC(C)(CN)COc1cc(F)cc2ccc(nc12)c3nnc4ccccn34,CHEMBL3660041,7.59,pIC50
CC[C@H](N)COc1cncc(n1)c2ccc3[nH]cc(c4ccc(N)nc4F)c3c2,CHEMBL1910911,7.59,pIC50
COc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1,CHEMBL1915434,7.59,pIC50
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)[C@@H]4CC[C@H](O)CC4,CHEMBL3651950,7.59,pIC50
C1CC1Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5,CHEMBL2017334,7.6,pIC50
CN1CCCN(CC1)C(=O)c2cccc(c2)c3oc(\C=C/4\C(=O)Nc5ccc(Cl)cc45)cc3,CHEMBL2037200,7.6,pIC50
C[C@H]1C[C@H](C[C@@H](N)[C@H]1NC(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F,CHEMBL3687436,7.6,pIC50
Fc1cc(OCC2(F)CCNCC2)c3nc(ccc3c1)c4nnc5ccccn45,CHEMBL3660096,7.6,pIC50
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)ccc4F,CHEMBL3651977,7.6,pIC50
N[C@H]1CCN(C1)c2c(Cl)cccc2\C=C\3/SC(=O)NC3=O,CHEMBL2048863,7.6,pIC50
