SMILES,ChEMBL,target,metric
CC1N(CCc2ncccc12)C(=O)c3nc(Nc4ccc5OCOc5c4)sc3C,CHEMBL2418816,5.0,pIC50
CC1CCN(CC1)C(=O)c2csc(Nc3ccccc3Cl)n2,CHEMBL2418821,5.2,pIC50
Cc1ccc(Nc2nc(cs2)C(=O)N3CCC(CC3)C4CCCCC4)cc1,CHEMBL2418805,5.2,pIC50
COc1ccc(Nc2nc(cs2)C(=O)N3CCC(CC3)c4ccccc4)cc1,CHEMBL2418804,5.6,pIC50
CC1CCN(CC1)C(=O)c2csc(Nc3ccc(Cl)cc3F)n2,CHEMBL2418822,5.8,pIC50
COc1ccc(Nc2nc(cs2)C(=O)N3CCc4ccccc4C3)cc1,CHEMBL1506485,5.9,pIC50
C[C@@H]1CCCN([C@@H]1C)C(=O)c2nc(Nc3ccc(Cl)cc3F)sc2C,CHEMBL2418812,6.0,pIC50
CC1CCCCN1C(=O)c2csc(Nc3ccc(C)cc3)n2,CHEMBL2418824,6.1,pIC50
CC1CCN(CC1)C(=O)c2csc(Nc3ccc(Cl)cc3)n2,CHEMBL2418819,6.1,pIC50
COc1ccc(Nc2nc(cs2)C(=O)N3CCC(C)CC3)cc1,CHEMBL2418820,6.1,pIC50
CC1CCN(CC1)C(=O)c2csc(Nc3ccc(C)cc3)n2,CHEMBL2418818,6.2,pIC50
O=C(N1CCc2ccccc2C1)c3csc(Nc4ccc5OCOc5c4)n3,CHEMBL2418813,6.3,pIC50
CC1CCN(CC1)C(=O)c2csc(Nc3ccc4OCOc4c3)n2,CHEMBL2418823,6.4,pIC50
CC1N(CCc2ccccc12)C(=O)c3csc(Nc4ccc5OCOc5c4)n3,CHEMBL2418814,6.5,pIC50
CC1N(CCc2ccccc12)C(=O)c3nc(Nc4ccc5OCOc5c4)sc3C,CHEMBL2418815,6.5,pIC50
CC1CCCN(C1C)C(=O)c2csc(Nc3ccc(C)cc3)n2,CHEMBL2418806,6.6,pIC50
CC1CCCN(C1C)C(=O)c2nc(Nc3ccc(Cl)cc3F)sc2C,CHEMBL2418810,6.6,pIC50
CC1CCCN(C1C)C(=O)c2nc(Nc3cc4OCOc4cc3F)sc2C,CHEMBL2418808,6.8,pIC50
C[C@H]1CCCN([C@H]1C)C(=O)c2nc(Nc3ccc(Cl)cc3F)sc2C,CHEMBL2418811,7.0,pIC50
CC1CCCN(C1C)C(=O)c2csc(Nc3ccc4OCOc4c3)n2,CHEMBL2418807,7.1,pIC50
CC1CCCN(C1C)C(=O)c2nc(Nc3cc4OCOc4cc3F)sc2Cl,CHEMBL2418809,7.5,pIC50
