SMILES,ChEMBL,target,metric
CN(C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)\C=C\c2ccc(OP(=O)(O)O)cc2)C(C)(C)C)c3ccccc3,CHEMBL3740611,6.06,pIC50
CN(C)C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)\C=C(/C)\c2ccc(OP(=O)(O)O)cc2)C(C)(C)C,CHEMBL3741667,6.13,pIC50
CC(C)[C@@H](C)NC(=O)c1cc(cc(n1)C(=O)NCCc2ccccn2)c3cc4ccccc4s3,CHEMBL2204366,6.15,pKd
CC(C)[C@@H](C)NC(=O)c1cc(cc(n1)C(=O)NCCc2ccccn2)c3cc4ccccc4n3C,CHEMBL2204367,6.18,pKd
COc1cc(CCNc2ncc(C(=O)N)c(Nc3cccc(C)c3)n2)ccc1O,CHEMBL388357,6.18,pIC50
NC(=O)c1cnc(Nc2ccc(cc2)N3CCCC3)nc1NCc4ccccc4,CHEMBL461303,6.19,pIC50
NC(=O)c1cnc(Nc2ccc(cc2)N3CCOCC3)nc1NCc4ccc(F)cc4,CHEMBL470964,6.19,pIC50
C\C(=C/C(=O)N[C@H](C(=O)N1CCCC1\C=C\CCc2ccccc2)C(C)(C)C)\c3ccc(OP(=O)(O)O)cc3,CHEMBL3740610,6.27,pIC50
C[C@H](N(C)C(=O)[C@@H](NC(=O)\C=C(/C)\c1ccc(OP(=O)(O)O)cc1)C(C)(C)C)C(=O)N(C)c2ccccc2,CHEMBL3740699,6.32,pIC50
CN(CC1CCCN1C(=O)[C@@H](NC(=O)\C=C(/C)\c2ccc(OP(=O)(O)O)cc2)C(C)(C)C)c3ccccc3,CHEMBL3742269,6.39,pIC50
NC(=O)c1cnc(NCCc2ccc(O)cc2)nc1Nc3ccccc3,CHEMBL227804,6.39,pIC50
C(c1ccccc1)n2ccc3cnc(Nc4ccc(cc4)N5CCOCC5)nc23,CHEMBL593392,6.4,pIC50
CCN(CC)C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)\C=C(/C)\c2ccc(OP(=O)(O)O)cc2)C(C)(C)C,CHEMBL3739525,6.42,pIC50
CCNC(=O)c1cnc(NCCc2ccc(O)cc2)nc1Nc3cccc(C)c3,CHEMBL389452,6.42,pIC50
C\C(=C/C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCc2ccccc2)C(C)(C)C)\c3ccc(OP(=O)(O)O)cc3,CHEMBL3739875,6.47,pIC50
NC(=O)c1cnc(Nc2ccc(cc2)N3CCOCC3)nc1NCc4ccc(F)cc4F,CHEMBL488649,6.51,pIC50
NC(=O)c1cnc(Nc2ccc(cc2)N3CCOCC3)nc1NCc4ccccc4N,CHEMBL487634,6.51,pIC50
CN(CC(=O)N(C)c1ccccc1)C(=O)[C@@H](NC(=O)\C=C(/C)\c2ccc(OP(=O)(O)O)cc2)C(C)(C)C,CHEMBL3741243,6.57,pIC50
C\C(=C/C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc2ccccc2)C(C)(C)C)\c3ccc(OP(=O)(O)O)cc3,CHEMBL3740710,6.57,pIC50
C\C(=C/C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCCc2ccccc2)C(C)(C)C)\c3ccc(OP(=O)(O)O)cc3,CHEMBL3739968,6.6,pIC50
CN(C1CCCCC1)C(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)\C=C(/C)\c3ccc(OP(=O)(O)O)cc3)C(C)(C)C,CHEMBL3741189,6.64,pIC50
Fc1ccccc1Cn2ccc3cnc(Nc4ccc(cc4)N5CCOCC5)nc23,CHEMBL596410,6.66,pIC50
Cc1cccc(Nc2nc(NCCc3ccc(O)cc3)ncc2C(=O)N)c1,CHEMBL376085,6.72,pIC50
CNC(=O)c1cnc(NCCc2ccc(O)cc2)nc1Nc3cccc(C)c3,CHEMBL227748,6.77,pIC50
CC(C)(C)[C@H](NC(=O)c1cc2cc(OP(=O)(O)O)ccc2[nH]1)C(=O)N3CCC[C@H]3C(=O)N(c4ccccc4)c5ccc(I)cc5,CHEMBL3742125,6.85,pIC50
Cc1cccc(Nc2nc(NCCc3ccc(O)c(C)c3)ncc2C(=O)N)c1,CHEMBL226770,6.89,pIC50
NC(=O)c1cnc(Nc2ccc(cc2)N3CCOCC3)nc1NCc4cccc(c4)C(F)(F)F,CHEMBL471560,6.89,pIC50
CC(C)(C)[C@H](NC(=O)\C=C\c1ccc(OP(=O)(O)O)cc1)C(=O)N2CCC[C@H]2C(=O)N(c3ccccc3)c4ccccc4,CHEMBL3740709,6.92,pIC50
CN(C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)\C=C(/C)\c2ccc(OP(=O)(O)O)cc2)C(C)(C)C)c3ccccc3,CHEMBL3739524,6.92,pIC50
C[C@H](NC(=O)[C@@H](NC(=O)\C=C(/C)\c1ccc(OP(=O)(O)O)cc1)C(C)(C)C)C(=O)N(C)c2ccccc2,CHEMBL3741674,6.92,pIC50
Fc1cc(F)cc(Cn2ccc3cnc(Nc4ccc(cc4)N5CCOCC5)nc23)c1,CHEMBL596223,6.92,pIC50
NC(=O)c1cnc(Nc2ccc(cc2)N3CCCCC3)nc1NCc4ccccc4,CHEMBL461304,6.92,pIC50
