SMILES,ChEMBL,target,metric
CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1,dequalinium,5.89,pIC50
FC(F)(F)Oc1ccccc1CNc2cc(Cl)nc3ccnn23,CHEMBL509297,5.0,pIC50
[O-][N+](=O)c1cccc(CNc2cc(Cl)nc3ccnn23)c1,CHEMBL471826,5.1,pIC50
Clc1cc(NC(Cc2ccccc2)c3ccccc3)n4nccc4n1,CHEMBL513544,5.13,pIC50
Clc1cccc(CNc2cc(Cl)nc3ccnn23)c1,CHEMBL469756,5.28,pIC50
Cl.Cl.COc1cc2CCN(C)[C@@H](CCC[C@@H]3N(C)CCc4cc(OC)c(OC)cc34)c2cc1OC,CHEMBL257156,5.52,pIC50
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(Cc3cccc(Cc4c5c(cccc5cc[n+]4C)C(C)C)c3)c12,CHEMBL1909931,5.53,pIC50
C1C[C@@H](Nc2nc3ccccc3[nH]2)c4ccccc4C1,CHEMBL510780,5.66,pEC50
[Cl-].[Cl-].Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]3c(C)cc(N)c4ccccc34,CHEMBL121663,5.7,pIC50
Clc1cc2CCCC(Nc3nc4ccccc4[nH]3)c2cc1Cl,CHEMBL511710,5.74,pEC50
Clc1cc(NCc2ccccc2)n3nccc3n1,CHEMBL452406,5.8,pIC50
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(Cc3ccc(Cc4c5c(cccc5cc[n+]4C)C(C)C)cc3)c12,CHEMBL1909932,5.9,pKi
C[C@@H](Nc1cc(Cl)nc2ccnn12)c3ccccc3,CHEMBL469732,6.0,pIC50
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(CCCc3c4c(cccc4cc[n+]3C)C(C)C)c12,CHEMBL1909928,6.08,pKi
Clc1cc(NCc2cccs2)n3nccc3n1,CHEMBL472452,6.24,pIC50
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(CCCCCc3c4c(cccc4cc[n+]3C)C(C)C)c12,CHEMBL1909930,6.24,pKi
N(c1ccccn1)c2nc(cs2)c3ccccn3,CHEMBL489770,6.27,pIC50
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(CCCCc3c4c(cccc4cc[n+]3C)C(C)C)c12,CHEMBL1909929,6.67,pKi
C1CC[n+]2ccc(NCc3ccc(CNc4cc[n+](CC1)c5ccccc45)cc3)c6ccccc26,CHEMBL360621,7.22,pIC50
Cc1ccnc(Nc2nc(cs2)c3ccccn3)c1,CHEMBL476339,7.23,pIC50
C1CC[n+]2ccc(NCc3cccc(CNc4cc[n+](CC1)c5ccccc45)c3)c6ccccc26,CHEMBL3040285,7.51,pIC50
Cc1ccn(n1)c2nc(Nc3ccc(F)cc3)c4ncn(C)c4n2,CHEMBL2324346,7.7,pEC50
