SMILES,ChEMBL,target,metric
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,vismodegib,7.79,pKi
[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=NC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=C1,sonidegib,8.22184849,pKi
Cc1cccnc1c2cc(ncc2Cl)N3[C@@H]4CC[C@H]3[C@H](C4)NS(=O)(=O)C,CHEMBL3696782,7.0,pIC50
Clc1cc(cc(Cl)c1NC(=O)N2CCN3[C@@H](C2)C(=O)N([C@H]4C[C@@H]4c5ccccc5)C3=O)C#N,CHEMBL1813102,7.0,pIC50
O=C(NCC1(CCCC1)N2CCOCC2)N3CCC(CC3)c4onc(n4)c5ccc6ccccc6n5,CHEMBL1822294,7.0,pIC50
COCCS(=O)(=O)N1CCN(CC1)c2cc(ccn2)c3ncc(C)cc3C,CHEMBL3696812,7.01,pIC50
C[C@H]1CN(CCN1C(=O)c2ccccc2)c3nnc(c4ccncc4)c5ccccc35,CHEMBL1082967,7.02,pIC50
Cc1c(CN2CCN(CC2)c3ccccc3)cnn1c4ccccc4,CHEMBL377200,7.02,pIC50
Cc1cc(cnc1c2cc(ncc2Cl)N3CCC(CC3)NS(=O)(=O)C)C#N,CHEMBL3696783,7.02,pIC50
FC(F)(F)c1ccc(nc1)N2CCN(CC2)c3nnc(Cc4ccccc4)c5ccccc35,CHEMBL521558,7.02,pIC50
O=C(Nc1ccccc1c2ccccc2)N3CCN4C(C3)C(=O)N(C5CC5c6ccccc6)C4=O,CHEMBL1813095,7.02,pIC50
Cc1cccnc1c2cc(ncc2Cl)N3CCC(CC3)C(=O)Nc4cccc(CO)n4,CHEMBL3692779,7.03,pIC50
O=C(Nc1ccccc1c2ccccc2)N3CCN4C(C3)C(=O)N([C@H]5C[C@@H]5c6ccccc6)C4=O,CHEMBL1808284,7.03,pIC50
CC(=O)N1CCN(CC1)c2nnc(c3ccccc3)c4ccccc24,CHEMBL1082790,7.04,pIC50
CCNC1(CNC(=O)N2CCC(CC2)c3onc(n3)c4ccc5ccccc5n4)CCCC1,CHEMBL1822446,7.04,pIC50
Cc1cccnc1c2cc(ncc2Cl)N3CCC(CC3)C(=O)N[C@@H]4CCN(C4)S(=O)(=O)C,CHEMBL3692762,7.04,pIC50
Cc1cccnc1c2cc(ncc2Cl)N3[C@@H]4CC[C@H]3CN(C4)C(=O)CC(C)(C)O,CHEMBL3696766,7.04,pIC50
Cn1c(nc2ccccc12)c3cc(ccc3Cl)N4CCc5sc(cc5C4)C(=O)N6CCN(CC6)c7ncccn7,CHEMBL3818034,7.04,pIC50
Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4cn(C)cn4,CHEMBL2059866,7.05,pEC50
Cc1cnc(c(C)c1)c2cc(ncc2Cl)N3CCn4cc(nc4C3)C(=O)Nc5cccc(F)c5,CHEMBL3262641,7.06,pIC50
O=C(Nc1cccnc1c2ccsc2)N3CCN4C(C3)C(=O)N([C@H]5C[C@@H]5c6ccccc6)C4=O,CHEMBL1807229,7.06,pIC50
O=C(Nc1ccncc1c2ccccc2)N3CCN4C(C3)C(=O)N([C@H]5C[C@@H]5c6ccccc6)C4=O,CHEMBL1807223,7.06,pIC50
CS(=O)(=O)NC1CCN(CC1)c2ncc(Cl)c(c2F)c3ccccn3,CHEMBL3696795,7.07,pIC50
CN(C)CC(=O)N1CCN(CC1)c2cc(c(Cl)cn2)c3ncc(C)cc3C,CHEMBL3696764,7.08,pIC50
CS(=O)(=O)NC1CCN(CC1)c2ncc(Cl)c(n2)c3ccccn3,CHEMBL3692750,7.08,pIC50
Cc1cc(cc(Cl)c1NC(=O)N2CCN3C(C2)C(=O)N([C@H]4C[C@@H]4c5ccccc5)C3=O)C#N,CHEMBL1808458,7.08,pIC50
Cc1cc(F)cnc1c2cc(ncc2Cl)N3CCN(CC3)S(=O)(=O)CCO,CHEMBL3696807,7.09,pIC50
Clc1cccc(Cc2nnc(N3CCN(CC3)c4ccc(cn4)C#N)c5ccccc25)c1,CHEMBL521900,7.09,pIC50
CCN1CCCCC1CNC(=O)N2CCC(CC2)c3onc(n3)c4ccc5ccccc5n4,CHEMBL1822459,7.1,pIC50
