SMILES,ChEMBL,target,metric
CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1,tiagabine,7.77,pKi
Cl.OC(=O)C1CCCCN1CCC=C(c2sccc2COC3CCCCC3)c4sccc4COC5CCCCC5,CHEMBL557786,6.03,pIC50
Cl.OC(=O)[C@@H]1CCCN(CCC=C(c2sccc2COCc3ccccc3)c4sccc4COCc5ccccc5)C1,CHEMBL534481,6.08,pIC50
OC(=O)C1(F)CCCN(CCC=C(c2ccccc2)c3ccccc3)C1,CHEMBL1642403,6.08,pKi
Cc1ccsc1C(=CCCN2CCC[C@@H]2[C@H](O)C(=O)O)c3sccc3C,CHEMBL3398501,6.14,pIC50
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2)\c3c(F)cccc3F)C1,CHEMBL1642372,6.16,pKi
Cl.OC(=O)[C@@H]1CCCN(CCC=C(c2sccc2COC3CCCCC3)c4sccc4COC5CCCCC5)C1,CHEMBL536277,6.17,pIC50
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2)\c3ccccc3c4ccccc4)C1,CHEMBL1642369,6.17,pKi
Cl.OC(=O)C1CCCCN1CCC=C(c2sccc2COc3ccccc3)c4sccc4COc5ccccc5,CHEMBL559211,6.19,pIC50
OC(=O)[C@@H]1CCCN(CCOCCN2c3ccccc3C=Cc4ccccc24)C1,CHEMBL1196076,6.19,pIC50
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2)\c3ccccc3OC(F)(F)F)C1,CHEMBL1642371,6.19,pKi
Cc1cc(F)ccc1\C(=C\CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642373,6.42,pKi
Cc1ccccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3C(F)(F)F,CHEMBL1642392,6.42,pKi
COc1ccccc1\C(=C\CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642370,6.43,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2)\c3ccccc3F)C1,CHEMBL1642363,6.43,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2F)\c3ccccc3C(F)(F)F)C1,CHEMBL1642390,6.45,pKi
Cl.OC(=O)[C@@H]1CCCN(CCC=C(c2sccc2COc3ccccc3)c4sccc4COc5ccccc5)C1,CHEMBL556819,6.47,pIC50
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2)/c3c(F)cccc3F)C1,CHEMBL1642383,6.48,pKi
OC(=O)[C@@H]1CCCN(CCOCCN2c3ccccc3Sc4ccccc24)C1,CHEMBL1190271,6.51,pIC50
OC(=O)C1=CCCN(CCOC(c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(F)(F)F)C1,CHEMBL77287,6.59,pIC50
O[C@@H]([C@H]1CCCN1CCC=C(c2ccccc2)c3ccccc3)C(=O)O,CHEMBL3398499,6.67,pKi
OC(=O)C1=CCCN(CCC=C(c2ccccc2)c3ccccc3)C1,CHEMBL103623,6.7,pIC50
OC(=O)C1CCCN(CCC=C(c2ccccc2)c3ccccc3)C1,CHEMBL38686,6.7,pIC50
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2)\c3ccccc3Br)C1,CHEMBL1642365,6.7,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2)\c3ccccc3Cl)C1,CHEMBL1642364,6.78,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(/c2ccccc2F)\c3ccccc3Cl)C1,CHEMBL1642389,6.8,pKi
Cc1ccc(s1)C(=CCCN2CCCC(F)(C2)C(=O)O)c3ccc(C)s3,CHEMBL1642402,6.86,pKi
OC(=O)[C@@H]1CCCN(CCC=C(c2ccccc2)c3ccccc3)C1,CHEMBL77626,6.89,pIC50
CCc1ccccc1\C(=C\CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642368,6.99,pKi
Cc1ccccc1\C(=C\CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642367,7.03,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2)/c3ccccc3C(F)(F)F)C1,CHEMBL1642377,7.03,pKi
CCc1ccccc1\C(=C\CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3F,CHEMBL1642387,7.05,pKi
Cc1cccc(C)c1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642385,7.11,pKi
Cc1ccccc1\C(=C\CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3F,CHEMBL1642386,7.14,pKi
COc1ccccc1\C(=C\CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3C,CHEMBL1642393,7.15,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2)/c3ccccc3F)C1,CHEMBL1642374,7.16,pKi
Cc1ccccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3Cl,CHEMBL1642391,7.21,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2)/c3ccccc3OC(F)(F)F)C1,CHEMBL1642382,7.23,pKi
COc1ccccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642381,7.25,pKi
COc1ccccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3F,CHEMBL1642399,7.27,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2F)/c3ccccc3OC(F)(F)F)C1,CHEMBL1642398,7.28,pKi
Cl.Cc1ccsc1C(=CCCN2CCC[C@H](C2)C(=O)O)c3sccc3C,CHEMBL1695,7.31,pIC50
OC(=O)[C@@H]1CCCN(CCC=C(c2ccccc2F)c3ccccc3F)C1,CHEMBL1642388,7.33,pKi
Cc1ccccc1C(=CCCN2CCC[C@H](C2)C(=O)O)c3ccccc3C,CHEMBL1642394,7.38,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2)/c3ccccc3Cl)C1,CHEMBL1642375,7.39,pKi
Cc1cc(F)ccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3C(F)(F)F,CHEMBL1642401,7.41,pKi
CCc1ccccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3F,CHEMBL1642395,7.42,pKi
Cc1cc(F)ccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642384,7.47,pKi
CCc1ccccc1\C(=C/CCN2CCC[C@H](C2)C(=O)O)\c3ccccc3,CHEMBL1642379,7.53,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2)/c3ccccc3Br)C1,CHEMBL1642376,7.54,pKi
OC(=O)[C@@H]1CCCN(CC\C=C(\c2ccccc2F)/c3ccccc3Br)C1,CHEMBL1642397,7.66,pKi
