SMILES,ChEMBL,target,metric
CC(C)C1CCCN1C[C@@H](O)CNS(=O)(=O)c2cccc3ccccc23,CHEMBL398398,6.0,pIC50
CC1CCCN1C[C@@H](O)CNS(=O)(=O)c2cccc3ccccc23,CHEMBL428386,6.0,pIC50
CCC1CCC(C)N(C[C@@H](O)CNS(=O)(=O)c2cccc3ccccc23)C1,CHEMBL240031,6.0,pIC50
CCCN(C[C@@H](O)CNS(=O)(=O)c1cccc2ccccc12)C(C)(C)C,CHEMBL239999,6.0,pIC50
COCCN(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c2ccc(cc2)c3ccccn3,CHEMBL1834686,6.0,pIC50
Clc1ccc(C(=O)NC[C@]2(CC3CC3)[C@@H]4CN(C[C@H]24)S(=O)(=O)c5ccccn5)c(Cl)c1,CHEMBL3114963,6.0,pIC50
Fc1cc(F)cc(NC(=O)CN(C2CCOCC2)C(=O)c3ccc(cc3)c4ccccn4)c1,CHEMBL1834682,6.0,pIC50
[Li+].CN(CCC(Cc1ccc(cc1)C(F)(F)F)c2ccccc2)CC(=O)[O-],CHEMBL64154,6.0,pIC50
CC(=CC1(CCCCC1)N2CCC3(CC2)C(CNC3=O)c4ccccc4)C,CHEMBL377350,6.01,pEC50
CC(C)C1(CCCCC1)N2CCC3(CC2)C(CNC3=O)c4ccccc4,CHEMBL377109,6.01,pEC50
[Li+].CN(CC[C@H](Oc1ccc(cc1)c2ccccc2)c3ccccc3)CC(=O)[O-],CHEMBL62571,6.01,pIC50
CN(CCOc1ccc(cc1c2ccc(Cl)cc2)c3ccccc3)CC(=O)O,CHEMBL399144,6.02,pIC50
CN(CCOc1ccc(cc1c2nccs2)c3ccccc3)CC(=O)O,CHEMBL250152,6.02,pIC50
Cc1cccc(c1)C2(CCCCC2)N3CCC4(CC3)C(CNC4=O)c5ccc(F)cc5,CHEMBL209380,6.02,pEC50
Fc1ccc(cc1)C2CNC(=O)C23CCN(CC3)C4CCCCC4c5ccc(cc5)C(F)(F)F,CHEMBL213672,6.02,pEC50
OC(=O)[C@@H]1CCCN1CCOc2cc(ccc2Sc3cccc(F)c3)c4ccccc4,CHEMBL213982,6.02,pIC50
CC(Oc1ccc(cc1C(=O)N2CCN(CC2)c3ccc(nn3)C(F)(F)F)S(=O)(=O)C)C(F)(F)F,CHEMBL1171648,6.05,pEC50
Clc1ccc(C(=O)NC[C@]2(CC3CC3)[C@@H]4CN(C[C@H]24)S(=O)(=O)c5cccnc5)c(Cl)c1,CHEMBL3114964,6.05,pIC50
Cn1cnc(c1)S(=O)(=O)N2CC(C2)[C@@H](NC(=O)c3ccc(Cl)cc3Cl)c4ccccn4,CHEMBL3115207,6.05,pIC50
Clc1ccc(C(=O)NCC2(CC3CC3)CN(C2)S(=O)(=O)c4c[nH]nn4)c(Cl)c1,CHEMBL519701,6.06,pIC50
CCCS(=O)(=O)N1CCC(CNC(=O)c2cccc(C)c2)(CC1)c3ccccn3,CHEMBL464830,6.08,pIC50
COc1ccc(cc1OC)c2ccc(OCCN(C)CC(=O)O)c(c2)C(=O)c3cccs3,CHEMBL250170,6.08,pIC50
OC1(CCCCC1N2CCC3(CC2)C(CNC3=O)c4ccccc4)c5ccc(F)cc5,CHEMBL214122,6.08,pEC50
CS(=O)(=O)c1ccc(OCc2ccccc2)c(c1)C(=O)N3Cc4cc(cnc4C3)C(F)(F)F,CHEMBL1631196,6.09,pEC50
