SMILES,ChEMBL,target,metric
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1,orphenadrine,4.8894,pIC50
CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1,hexylcaine,5.15,pIC50
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,tetracaine,5.47,pIC50
CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,articaine,4.29,pIC50
CCCOC1=C(C=CC(N)=C1)C(=O)OCCN(CC)CC,propoxycaine,4.62,pIC50
CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC,proparacaine,5.72,pIC50
CCCCOC1=C(N)C=CC(=C1)C(=O)OCCN(CC)CC,oxybuprocaine,5.54,pIC50
[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12,quinidine,5.49,pIC50
CCCNC(C)C(=O)NC1=C(C)C=CC=C1,prilocaine,4.26999998,pIC50
FC(F)(F)Oc1cccc(c1)C(=O)NCc2noc(n2)c3c4ccccc4nn3CCn5ccnc5,CHEMBL3236329,5.07,pIC50
OC(COc1ccccc1)CN2CCC(CC2)N3Cc4ccccc4C3=O,CHEMBL3634333,5.1,pIC50
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)c4cccc5NC(=O)CCc45,CHEMBL3634324,5.15,pIC50
Nc1nc2cc(ccc2[nH]1)c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)Nc5ncns5,CHEMBL3617063,5.2,pIC50
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)N4C(=O)Oc5ccccc45,CHEMBL3634327,5.27,pIC50
Cc1noc(CN2N=C3C=CC(=CN3C2=O)c4ccc(OC(F)(F)F)cc4)n1,CHEMBL3809641,5.32,pIC50
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)N4C(=O)COc5ccccc45,CHEMBL3634326,5.32,pIC50
OC(COc1ccccc1C(F)(F)F)CN2CCC(CC2)N3Cc4ccccc4C3=O,CHEMBL3634337,5.35,pIC50
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)c4cccc5NC(=O)COc45,CHEMBL3634322,5.36,pIC50
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)C(=O)Nc4ccccc4,CHEMBL3634331,5.37,pIC50
COc1cc(ccc1COCC(O)CN2CCC(CC2)C(=O)Nc3ccccc3)C(F)(F)F,CHEMBL3632698,5.48,pIC50
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)N4Cc5ccccc5C4=O,CHEMBL3634329,5.48,pIC50
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)NC(=O)c4ccccc4,CHEMBL3634330,5.5,pIC50
Nc1noc2ccc(cc12)c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)Nc5ncns5,CHEMBL3341983,5.51,pIC50
OC(COc1ccc(cc1)C(F)(F)F)CN2CCC(CC2)C(=O)Nc3ccccc3,CHEMBL3632697,5.51,pIC50
COc1cccc(OCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O)c1,CHEMBL3634335,5.52,pIC50
OC(COCc1ccc(cc1)C(F)(F)F)CN2CCC(CC2)N3Cc4ccccc4C3=O,CHEMBL3632694,5.52,pIC50
COc1ccc(OCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O)cc1,CHEMBL3634336,5.57,pIC50
OC(COc1ccc(cc1)C(F)(F)F)CN2CCC(CC2)N3Cc4ccccc4C3=O,CHEMBL3632692,5.75,pIC50
COc1cc(ccc1COCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O)C(F)(F)F.OC(=O)\C=C\C(=O)O,CHEMBL3632695,5.82,pIC50
OC(COc1cccc(c1)C(F)(F)F)CN2CCC(CC2)N3Cc4ccccc4C3=O,CHEMBL3632691,5.92,pIC50
COc1cc(ccc1OCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O)C(F)(F)F,CHEMBL3632693,6.04,pIC50
OC(COc1cccc(c1)C(=O)c2ccccc2)CN3CCC(CC3)N4Cc5ccccc5C4=O,CHEMBL3634332,6.04,pIC50
OC(COc1ccc(cc1)C(F)(F)F)CN2CCC(CC2)NC(=O)c3ccccc3,CHEMBL3632696,6.1,pIC50
OC(COc1ccc(cc1)C(=O)c2ccccc2)CN3CCC(CC3)N4Cc5ccccc5C4=O,CHEMBL3632641,6.17,pIC50
FC(F)(F)Oc1ccc(cc1)c2ccc3nnc(n3c2)C(F)(F)F,CHEMBL3809595,6.4,pIC50
