SMILES,ChEMBL,target,metric
NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,armodafinil,5.4975,pIC50
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,sibutramine,6.0255,pKi
CC1NCCOC1C1=CC=CC=C1,phenmetrazine,6.8827,pEC50
C[C@H](N)CC1=CC=CC=C1,dexamfetamine,6.68,pKi
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,bupropion,6.28,pKd
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2,trimipramine,5.42250824,pKi
CN[C@@H](C)CC1=CC=CC=C1,methamphetamine,7.61083412,pKi
CC(N)CC1=CC=CC=C1,amfetamine,6.93554211,pKi
NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,modafinil,5.83683863,pKi
[H]C1(CCCCN1)C(C(=O)OC)C1=CC=CC=C1,methylphenidate,6.96,pKi
[H][C@@]1(CCCCN1)[C@H](C(=O)OC)C1=CC=CC=C1,dexmethylphenidate,7.8,pKi
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4,mazindol,8.0,pKi
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1,nomifensine,7.31,pKi
COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,cocaine,7.0999999,pIC50
C(C1CCOCC1)[C@@H]2CNCCN2c3ccc4[nH]ncc4c3,CHEMBL1171007,6.0,pKi
C(Oc1ccc2ccccc2c1)C3CCNC3,CHEMBL451460,6.0,pIC50
C(Oc1ccccc1C2CCNCC2)c3ccccc3,CHEMBL573769,6.0,pKi
CC(C)C(C1CCCCN1)c2ccc(Cl)cc2,CHEMBL218848,6.0,pIC50
CC(N)C1(CCCCC1)c2cccs2,CHEMBL1684053,6.0,pIC50
CCCN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,CHEMBL145810,6.0,pKi
CCN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,CHEMBL356552,6.0,pKi
CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)cc1,CHEMBL113956,6.0,pIC50
CNC(C)Cc1ccc2OCOc2c1,CHEMBL43048,6.0,pEC50
CNC[C@H](O)CCN1c2ccccc2N(c3ccc(F)cc3F)S1(=O)=O,CHEMBL1084311,6.0,pIC50
CNCc1cc(ccc1Oc2ccc(SC)c(C)c2)C#CCCN3CCOCC3,CHEMBL391947,6.0,pKi
CN[C@@H]1CC[C@H](Oc2ccccc2C)c3ccccc13,CHEMBL447598,6.0,pIC50
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,CHEMBL296419,6.0,pIC50
COc1ccc(cc1)[C@]23CCCC[C@H]2CN(C)C3,CHEMBL1813310,6.0,pIC50
COc1ccccc1O[C@@H]([C@H]2CCNC2)c3ccccc3,CHEMBL2337588,6.0,pKi
COc1ccccc1O[C@H]([C@H]2CCNC2)c3ccccc3,CHEMBL2337586,6.0,pKi
Cc1ccccc1O[C@@H]2CC[C@@H](N)c3ccccc23,CHEMBL453321,6.0,pIC50
Cc1ccccc1O[C@H]2CC[C@@H](N)c3ccccc23,CHEMBL453061,6.0,pIC50
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,CHEMBL1670,6.0,pIC50
Fc1ccc(cc1)C(CCCN2CCN(CC2)C(=O)OCCc3ccc(cc3)C#N)c4ccc(F)cc4,CHEMBL326263,6.0,pIC50
NCC1(CCCCC1)c2ccc(cc2)c3ccccc3,CHEMBL1683903,6.0,pIC50
CC(NC1CCCC1)C(=O)c2cccc(Cl)c2,CHEMBL566618,6.01,pIC50
CN(C)CCC(N1CCCC1)c2csc3ccccc23,CHEMBL3334796,6.01,pIC50
CNC(=O)c1ccccc1Sc2ccccc2[N+](=O)[O-],CHEMBL2113055,6.01,pKi
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,CHEMBL1175,6.01,pIC50
COC(=O)C1C2CCC(CC1c3ccc(O)c(O)c3)N2C,CHEMBL132683,6.01,pKi
COc1ccc(cc1OC)[C@@H]2C3CCC(C[C@H]2c4ccc(C)cc4)N3C,CHEMBL388825,6.01,pIC50
COc1cccc(CN(C2CCOCC2)[C@H]3CCNC3)c1C,CHEMBL247538,6.01,pIC50
Clc1cccc(C(=O)N(C2CCCC2)[C@H]3CCNC3)c1Cl,CHEMBL1080968,6.01,pKi
Clc1cccc(Cl)c1CC(N2CCNCC2)c3ccccc3,CHEMBL214259,6.01,pIC50
Fc1cccc(C2CCNCC2)c1Oc3ccccc3,CHEMBL583751,6.01,pEC50
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24,CHEMBL481153,6.01,pKi
CC(C)N(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,CHEMBL344110,6.02,pKi
CC(NC(C)(C)C)C(=O)c1ccc(Br)c(C)c1,CHEMBL565845,6.02,pIC50
CC(NC(C)(C)C)C(=O)c1cccc(Br)c1,CHEMBL565396,6.02,pIC50
CN(C)Cc1ccc(F)cc1Oc2ccc(C)cc2N,CHEMBL592697,6.02,pKi
CN(C)Cc1ccccc1Sc2ccc(C=C)cc2N,CHEMBL190703,6.02,pKi
COc1cccc(c1)C(CC(C)C)C2CCCCN2,CHEMBL217975,6.02,pKi
Cc1cc(F)ccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3,CHEMBL404956,6.02,pKi
Fc1ccc(cc1)C(CCCN2CCN(CC2)C(=O)CCCc3ccccc3)c4ccc(F)cc4,CHEMBL117537,6.02,pIC50
O=S1(=O)N(CCC2CNCCO2)c3ccccc3N1c4ccccc4,CHEMBL1830877,6.02,pIC50
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC(F)F)cc(c1)C(=O)C,CHEMBL386493,6.03,pKi
CN(C)CC[C@@H](c1ccc(Cl)cc1)c2ccccn2,CHEMBL1201353,6.03,pIC50
