SMILES,ChEMBL,target,metric
O=C(N1CCN(CC1)c2ncccn2)c3ccc(NCc4ccccc4)cc3,CHEMBL3318569,6.06,pIC50
CC(C)(C)C1CN(CCN1C(=O)c2ccc(cc2)c3cccc(Cl)c3)c4ncccn4,CHEMBL3318572,6.16,pIC50
Cc1ccccc1c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318587,6.19,pIC50
CN(CCN(C)c1ncccn1)C(=O)c2ccc(cc2)c3cccc(Cl)c3,CHEMBL3318582,6.23,pIC50
CC1CN(CCN1c2ncccn2)C(=O)c3ccc(cc3)c4ccccc4,CHEMBL3318575,6.32,pIC50
CN(C)C(=O)C1CN(CCN1C(=O)c2ccc(cc2)c3cccc(Cl)c3)c4ncccn4,CHEMBL3318578,6.41,pIC50
O=C(N1CCN(CC1)c2ncccn2)c3ccc(cc3)c4ccccc4,CHEMBL1594803,6.55,pIC50
Cc1ccnc(n1)N2CCN(CC2)C(=O)c3ccc(cc3)c4ccccc4,CHEMBL3318543,6.57,pIC50
O=C(N1CCN(CC1)c2ncccn2)c3ccc(OCc4ccccc4)cc3,CHEMBL3318567,6.57,pIC50
Fc1ccc(cc1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318557,6.59,pIC50
COc1ccc(cc1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318556,6.64,pIC50
O=C(N1CCN(CC1)c2ncccn2)c3ccc(cc3)c4ccc(cc4)C#N,CHEMBL3318555,6.72,pIC50
O=C(N1CCN(CC1)c2ncccn2)c3ccc(cc3)c4cccc(c4)C#N,CHEMBL3318551,6.72,pIC50
O=C(N1CCN(CC1)c2ccccn2)c3ccc(cc3)c4ccccc4,CHEMBL1543754,6.8,pIC50
Clc1ccc(s1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318562,6.82,pIC50
O=C(N1CCN(CC1)c2nccs2)c3ccc(cc3)c4ccccc4,CHEMBL3318540,6.84,pIC50
OC(=O)C1CN(CCN1C(=O)c2ccc(cc2)c3cccc(Cl)c3)c4ncccn4,CHEMBL3318577,6.89,pIC50
Clc1cccc(c1)c2ccc(cc2)C(=O)N3CCCN(CC3)c4ncccn4,CHEMBL3318581,7.05,pIC50
CCc1ccc(cc1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318553,7.11,pIC50
FC(F)(F)c1ccc(cc1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318554,7.12,pIC50
OCC1CN(CCN1C(=O)c2ccc(cc2)c3cccc(Cl)c3)c4ncccn4,CHEMBL3318576,7.12,pIC50
FC(F)(F)Oc1cccc(c1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318550,7.14,pIC50
FC(F)(F)c1cccc(c1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318549,7.15,pIC50
Cc1ccc(s1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318564,7.22,pIC50
C[C@@H]1CN(CCN1C(=O)c2ccc(cc2)c3ccc(Cl)cc3)c4ncccn4,CHEMBL3318580,7.24,pIC50
CC1(C)CN(CCN1C(=O)c2ccc(cc2)c3cccc(Cl)c3)c4ncccn4,CHEMBL3318573,7.28,pIC50
Clc1ccc(cc1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3317462,7.28,pIC50
Clc1cccc(c1)c2ccc(cc2)C(=O)N3CC4CN(CC4C3)c5ncccn5,CHEMBL3318584,7.44,pIC50
Clc1cccc(c1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318548,7.44,pIC50
Cc1ccc(cc1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318552,7.47,pIC50
Cc1csc(c1)c2ccc(cc2)C(=O)N3CCN(CC3)c4ncccn4,CHEMBL3318563,7.47,pIC50
Clc1cccc(c1)c2ccc(cc2)C(=O)N3CC4CCC(C3)N4c5ncccn5,CHEMBL3318585,7.57,pIC50
CC1CN(CC(C)N1C(=O)c2ccc(cc2)c3cccc(Cl)c3)c4ncccn4,CHEMBL3318574,7.62,pIC50
C[C@H]1CN(CCN1C(=O)c2ccc(cc2)c3ccc(Cl)cc3)c4ncccn4,CHEMBL3318579,7.68,pIC50
Clc1cccc(c1)c2ccc(cc2)C(=O)N3C4CCC3CN(C4)c5ncccn5,CHEMBL3318586,7.75,pIC50
