SMILES,ChEMBL,target,metric
CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1,levomilnacipran,7.95078182,pKi
CC1=CC=C(SC2=C(C=CC=C2)N2CCNCC2)C(C)=C1,vortioxetine,8.79588032,pKi
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2,trimipramine,6.8268137,pKi
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,clomipramine,9.70335674,pKi
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1,amoxapine,7.46852108,pIC50
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4,mazindol,7.3,pKi
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,duloxetine,9.62,pKi
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,sertraline,9.54,pKd
CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,desvenlafaxine,7.3251,pKi
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,venlafaxine,8.0506,pKd
Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,trazodone,6.8,pKd
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,sibutramine,6.5257,pKi
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2,protriptyline,7.34,pKi
CNCCC=C1c2ccccc2CCc3ccccc13,nortriptyline,7.34,pKi
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4,nefazodone,6.699,pKd
CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1,milnacipran,7.29,pKi
CN(C)CCCN1c2ccccc2CCc3ccccc13,imipramine,8.8539,pKd
COCCCC\C(=N/OCCN)\c1ccc(cc1)C(F)(F)F,fluvoxamine,8.51,pKi
Cl.CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,fluoxetine,9.0915,pKd
CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,escitalopram,8.9586,pKi
CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,citalopram,8.9355,pKd
CC(C)(N)CC1=CC=C(Cl)C=C1,chlorphentermine,6.4711,pKi
CN(C)CCC=C1c2ccccc2CCc3ccccc13,amitriptyline,8.3665,pKd
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1,lofepramine,7.1549,pKi
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,dosulepin,8.0655,pKd
Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3,paroxetine,10.4,pKi
NC(=O)C1=CC2=C(O1)C=CC(=C2)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1,vilazodone,9.05000019,pIC50
CN(C)[C@@H](CCOC1=CC=CC2=C1C=CC=C2)C1=CC=CC=C1,dapoxetine,8.89999962,pIC50
C1CC(CCN1)N(c2ccccc2)c3ccc4[nH]ccc4c3,CHEMBL559137,6.0,pKi
CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2,dobutamine,6.0,pKi
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,risperidone,6.0,pKi
CN(C)CCCN1c2ccccc2CCc3ccc(CCCOCCOCCc4cccc5ccccc45)cc13,CHEMBL3799596,6.0,pKi
CN1C2CCC1[C@@H]([C@@H](C2)c3ccccc3)c4ccc(C)cc4,CHEMBL2096876,6.0,pKi
CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4ccc(C)cc4,CHEMBL2096877,6.0,pIC50
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(I)cc3)C(=O)N4CCCC4,CHEMBL1643896,6.0,pIC50
CNC(C)Cc1ccc2OCOc2c1,CHEMBL43048,6.0,pEC50
CNC[C@@H](O)[C@H](c1cccc(F)c1)n2ccc3ccc(Br)cc23,CHEMBL577565,6.0,pIC50
COC(=O)C1C(CC2C[C@H](O)C1N2C)c3ccc(Cl)c(Cl)c3,CHEMBL89476,6.0,pIC50
COC(=O)C1C2CCC(CC1c3ccc(Cl)cc3)N2C,CHEMBL306208,6.0,pIC50
COc1c(OCCF)cccc1C(=O)C2CCN(CCc3ccc(C)cc3)CC2,CHEMBL490632,6.0,pKi
COc1ccc(CCN(CCCc2ccccc2)CCc3ccc4OCOc4c3)cc1OC,CHEMBL3735756,6.0,pKi
COc1ccc(NC(=O)c2ccc(cc2)c3ccc(cc3C)c4noc(C)n4)cc1N5CCN(C)CC5,CHEMBL15928,6.0,pIC50
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(C)c4c5ccc(C)cc5,CHEMBL511288,6.0,pKi
Clc1ccc(cc1)C(CC2CCCCC2)C3CCCCN3,CHEMBL219707,6.0,pIC50
Clc1ccc(cc1Cl)[C@H]2CC3CCC(O3)[C@H]2COC(=O)CCC(=O)OC[C@@H]4C5CCC(C[C@@H]4c6ccc(Cl)c(Cl)c6)S5,CHEMBL407902,6.0,pIC50
Fc1ccc(Oc2ccccc2N3CCNCC3)cc1,CHEMBL573972,6.0,pKi
