SMILES,ChEMBL,target,metric
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC(CC2=CC3=C(S2)C=CC=C3)=C(F)C=C1,ipragliflozin,8.1319437,pIC50
CCOC1=CC=C(CC2=C(C)C=C(OC)C(=C2)[C@@H]2S[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,luseogliflozin,8.64589119,pIC50
CCC1=CC=C(CC2=CC3=C(CO[C@]33O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C2)C=C1,tofogliflozin,8.53760242,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C(Cl)C=C1,empagliflozin,7.24412537,pKd
CC1=C(CC2=CC=C(S2)C2=CC=C(F)C=C2)C=C(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,canagliflozin,8.6575775,pIC50
[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC(CC2=CC=C(OCC)C=C2)=C(Cl)C=C1,dapagliflozin,9.30000019,pIC50
CCOC(=O)NC(=O)NC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(Cc3ccc(cc3)C4CC4)c5c(Cl)cccc25,CHEMBL3786161,6.0,pEC50
CCOc1cc(F)ccc1Cc2cc3c(CO[C@]34O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc2Cl,CHEMBL566019,6.0,pIC50
CCc1ccc(Cc2cc(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2C)cc1,CHEMBL1085188,6.0,pIC50
COC(=O)[C@]1(COC(=O)\C=C\c2ccccc2)[C@H]3C[C@@H]4N(C/C/3=C/C)[C@@H]5C[C@]16c7cc(OC)ccc7N(C)[C@]46O5,CHEMBL589254,6.0,pIC50
COC(=O)[C@]1(COC(=O)c2ccccc2)[C@H]3C[C@@H]4N(C/C/3=C/C)[C@@H]5C[C@]16c7cc(OC)ccc7N(C)[C@]46O5,CHEMBL589220,6.0,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(CN3N=C4C=CC(=CN4C3=O)C(F)(F)F)c2,CHEMBL3288743,6.0,pIC50
Cc1cccc(CCc2cccc(c2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1,CHEMBL486636,6.01,pEC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(O)cc3)c2,CHEMBL497971,6.01,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2cccc(Cc3cc4cccccc4c3Cc5ccccc5)c2,CHEMBL2397445,6.01,pIC50
CC(C)c1[nH]nc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1Cc3ccc(NS(=O)(=O)C)cc3,CHEMBL2323689,6.03,pIC50
CCc1oc(Cc2ccccc2O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL1243175,6.04,pIC50
O[C@@H]1CO[C@H]([C@H](O)[C@H]1O)n2cc(Cc3ccccc3)c4c(Br)cccc24,CHEMBL1650460,6.04,pEC50
COc1cccc(Cc2cn([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c4cccc(Cl)c24)c1,CHEMBL1650486,6.05,pEC50
O[C@@H]1CO[C@H]([C@H](O)[C@H]1O)n2cc(Cc3ccc4OCOc4c3)c5c(Cl)cccc25,CHEMBL1650494,6.06,pEC50
O[C@@H]1CO[C@H]([C@H](O)[C@H]1O)n2cc(Cc3ccccc3)c4c(Cl)cccc24,CHEMBL1650478,6.06,pEC50
CCCN(CCCCOc1ccc(Cc2cc(ccc2Cl)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1)C(=O)CCC4=[N+]5C(=Cc6c(C)cc(C)n6[B-]5(F)F)C=C4,CHEMBL171648,6.07,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(OCCCCC(=O)c4ccc(C5=C6C=CC(=O)C=C6Oc7cc(O)ccc57)c(c4)C(=O)O)cc3)c2,CHEMBL449778,6.08,pIC50
CC(C)Cc1ccc(Cc2cc(ccc2Cl)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)nn1,CHEMBL1085528,6.09,pIC50
CCc1ccc(Cc2sc(nc2Br)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL1213858,6.11,pIC50
Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c3c(CCc4ccc5OCCc5c4)nn(C)c3c1,CHEMBL200608,6.12,pIC50
Cc1ccsc1c2nnc(Cc3cc(ccc3Cl)[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)s2,CHEMBL591485,6.12,pIC50
OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL245067,6.12,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3nnc(CC(F)(F)F)s3)c2,CHEMBL589980,6.12,pIC50
COC1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(OC(=S)N(C)C)cc3)c2,CHEMBL568609,6.13,pIC50
COc1ccc(Cn2cc([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c4ccccc24)cc1,CHEMBL2064095,6.13,pEC50
OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3nnc(\C=C\c4ccccc4)s3)c2,CHEMBL3679694,6.14,pIC50
O[C@@H]1CO[C@H]([C@H](O)[C@H]1O)c2cn(Cc3ccc4ccccc4c3)c5ccccc25,CHEMBL2064096,6.14,pEC50
CCNC(=S)NC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(Cc3ccc(cc3)C4CC4)c5c(Cl)cccc25,CHEMBL3787490,6.15,pEC50
CN(C)CCOc1cc(Cl)c(Cc2ncc(s2)c3occc3)cc1[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O.OC(=O)C(F)(F)F,CHEMBL1784419,6.15,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3nnc(s3)c4sccc4Cl)c2,CHEMBL603166,6.15,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2cccc(CCc3ccccc3)c2,CHEMBL520894,6.15,pEC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(nn3)N4CCOCC4)c2,CHEMBL1082416,6.16,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(C=C)cc3)c2,CHEMBL1807547,6.17,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2cccc(Cc3oc4ccccc4c3)c2,CHEMBL2018085,6.17,pIC50
CCOc1cn(C[C@H]2O[C@H]([C@H](O)[C@@H](O)[C@@H]2O)n3cc(Cc4ccc(cc4)C5CC5)c6c(Cl)cccc36)nn1,CHEMBL3787102,6.18,pEC50
CS(=O)(=O)c1cc(Cl)cc2N(Cc3nnc(CCc4ccc(Cl)cc4)n3CCC(F)(F)F)C(=O)COc12,CHEMBL1779210,6.18,pIC50
CC(C)C(=O)NC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(Cc3ccc(cc3)C4CC4)c5c(Cl)cccc25,CHEMBL3786441,6.19,pEC50
CCn1c(CCc2ccc(Cl)cc2)nnc1CN3C(=O)COc4ccc(cc34)C(F)(F)F,CHEMBL1762496,6.19,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2cccc(Cc3nc4ccccc4s3)c2,CHEMBL2018087,6.19,pIC50
COc1ccc2cc(Cc3cn([C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)c5cccc(Cl)c35)ccc2c1,CHEMBL1650493,6.2,pEC50
Cc1ccc(CCCc2cccc(c2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL507895,6.2,pEC50
Cc1cccc(n1)c2nnc(Cc3cc(ccc3Cl)[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)s2,CHEMBL590277,6.2,pIC50
CC1=CC(=NNC1=O)Cc2cc(ccc2Cl)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O,CHEMBL3679699,6.21,pIC50
CCOc1ccc(Cc2cc(ccc2Cl)[C@@H]3OC(OCc4ccccc4)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL567778,6.21,pIC50
CCc1ccc(Cc2cc([C@@H]3O[C@H]([C@H](O)CO)[C@H](O)[C@H]3O)c(OC)cc2Cl)cc1,CHEMBL2440370,6.21,pEC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2cccc(c2)c3ccccc3,CHEMBL486837,6.21,pEC50
CC(C)c1[nH]nc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1Cc3ccc(CCCC(=O)NCCO)cc3,CHEMBL2323415,6.22,pIC50
CCOc1ccc(Cc2cc(ccc2Cl)[C@@H]3OC(OC)[C@H](F)[C@H](O)[C@H]3O)cc1,CHEMBL566940,6.22,pIC50
CCc1ccc(Cc2cccc(n2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL2018080,6.22,pIC50
COc1ccc(Cc2cc(nnc2Cl)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL1213736,6.22,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(cc3)C4CC4)c2,CHEMBL1807551,6.22,pIC50
O[C@@H]1[C@@H](CNC(=O)NCCCl)O[C@H]([C@H](O)[C@H]1O)n2cc(Cc3ccc(cc3)C4CC4)c5c(Cl)cccc25,CHEMBL3787542,6.22,pEC50
CCCc1ccc(Cn2cc([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c4ccccc24)cc1,CHEMBL2064102,6.23,pEC50
CCOC(=O)CCC(=O)NC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(Cc3ccc(cc3)C4CC4)c5c(Cl)cccc25,CHEMBL3785446,6.23,pEC50
CCOc1ccc(Cc2cc(ccc2Cl)[C@]3(C)OC(OC)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL583016,6.23,pIC50
COCCCNC(=S)NC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(Cc3ccc(cc3)C4CC4)c5c(Cl)cccc25,CHEMBL3787665,6.23,pEC50
CCCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c4occc4c2Cl)cc1,CHEMBL3703923,6.24,pIC50
CCOCCOCCOc1ccc(Cc2cn([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c4cccc(Cl)c24)cc1,CHEMBL1650505,6.24,pEC50
CCc1ccc(cc1Cc2ccc3OCCOc3c2)[C@@H]4O[C@H](COC(=O)OC(C)c5ccccc5)[C@@H](O)[C@H](O)[C@H]4O,CHEMBL3648652,6.25,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3nnc(s3)c4ccc5ccccc5n4)c2,CHEMBL589545,6.25,pIC50
CC(Cc1nnc(Cc2cc(ccc2Cl)C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)s1)c4ccccc4,CHEMBL3679693,6.26,pIC50
O[C@@H]1[C@@H](CNC(=O)C2CC2)O[C@H]([C@H](O)[C@H]1O)n3cc(Cc4ccc(cc4)C5CC5)c6c(Cl)cccc36,CHEMBL3786014,6.26,pEC50
CCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c3c(CCc4ccc5OCCc5c4)n[nH]c3c1,CHEMBL382319,6.27,pIC50
Cc1ccc(Oc2cccc(c2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1,CHEMBL488839,6.27,pEC50
Cc1ccc2nc(Cc3cc(ccc3Cl)[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)nnc2c1,CHEMBL3679700,6.27,pIC50
OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(CN3C=Cc4occc4C3=O)c2,CHEMBL3660001,6.27,pIC50
OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3nnc(s3)C4CCCCC4)c2,CHEMBL591937,6.27,pIC50
CCn1c(CN2C(=O)COc3cc(Br)ccc23)nnc1SCc4ccc(Cl)cc4,CHEMBL1762494,6.28,pIC50
O[C@@H]1CO[C@H]([C@H](O)[C@H]1O)n2cc(Cc3ccc(OCC#C)cc3)c4c(Cl)cccc24,CHEMBL1650504,6.28,pEC50
CCOC(=O)CNC(=O)NC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(Cc3ccc(cc3)C4CC4)c5c(Cl)cccc25,CHEMBL3785266,6.29,pEC50
Cc1cccc(Cc2cccc(c2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1,CHEMBL486664,6.29,pEC50
CCNC(=O)c1c(O)c(Cc2ccc(OC)cc2)cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1O,CHEMBL429911,6.3,pEC50
COC(=O)[C@]1(COC(=O)c2ccc(OC)c(OC)c2)[C@H]3C[C@@H]4N(C/C/3=C/C)[C@@H]5C[C@]16c7cc(OC)ccc7N(C)[C@]46O5,CHEMBL592603,6.3,pIC50
O[C@@H]1[C@@H](CNC(=O)Cc2cccs2)O[C@H]([C@H](O)[C@H]1O)n3cc(Cc4ccc(cc4)C5CC5)c6c(Cl)cccc36,CHEMBL3786041,6.3,pEC50
CN1C(=O)CN(C1=O)c2ccc(Cc3cc(ccc3Cl)[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc2,CHEMBL3288757,6.31,pIC50
CN1C(=O)N(c2ccc(Cc3cc(ccc3Cl)C4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc2)C(C)(C)C1=O,CHEMBL3660005,6.31,pIC50
Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c3c(CCc4ccc5occc5c4)n[nH]c3c1,CHEMBL371448,6.31,pIC50
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(CNC(=O)c4ccccc4)cc3)c2,CHEMBL496518,6.31,pIC50
