SMILES,ChEMBL,target,metric
CC(=O)N[C@H]1CSCc2ccccc2CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccccc5)NC1=O)C(=O)N,CHEMBL3623063,6.22,pEC50
CC(=O)N[C@H]1CSCc2ccc(CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccccc5)NC1=O)C(=O)N)cc2,CHEMBL3623061,6.23,pEC50
C[C@@H](O)[C@H](NC(=O)CNCC(=O)O)C(=O)N[C@H]1CSCc2cccc(CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccccc5)NC1=O)C(=O)N)c2,CHEMBL3623070,6.27,pEC50
CC(=O)N[C@H]1CSCc2cccc(Cc3cccc(CSC[C@H](NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]5CCCN5C(=O)[C@H](Cc6ccccc6)NC1=O)C(=O)N)c3)c2,CHEMBL3623067,6.29,pEC50
CC(=O)N[C@H]1CSCc2ccc(Oc3ccc(CSC[C@H](NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]5CCCN5C(=O)[C@H](Cc6ccccc6)NC1=O)C(=O)N)cc3)cc2,CHEMBL3623066,6.32,pEC50
CCCCCCCCCCCCCCCC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N[C@H]3CSCc4cccc(CSCCNC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC3=O)c4,CHEMBL3621380,6.34,pEC50
CCCCCCCCCCCCCCCC(=O)N[C@H]1CSCc2cccc(CSCCNC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC1=O)C(c5ccccc5)c6ccccc6)c2,CHEMBL3621377,6.43,pEC50
NC(=N)NCCC[C@@H]1NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](CSCc2cccc(CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC1=O)C(=O)N)c2)NC(=O)CC(c4ccccc4)c5ccccc5,CHEMBL3621372,6.48,pEC50
CC(=O)N[C@H]1CSCc2cccc(CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccccc5)NC1=O)C(=O)N)c2,CHEMBL3623062,6.57,pEC50
NC(=N)NCCC[C@@H]1NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](CSCc2cccc(CSCCNC(=O)[C@H](Cc3ccccc3)NC1=O)c2)NC(=O)CC(c4ccccc4)c5ccccc5,CHEMBL3621373,6.57,pEC50
CCCCCCCCCCCCCCCCNC(=O)CN(CC(=O)N)C(=O)CCCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS\C=C/C(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](NC(=O)CNC(=O)CO)[C@@H](C)O)C(c4ccccc4)c5ccccc5,CHEMBL3393874,6.66,pEC50
CC(=O)N[C@H]1CSCc2cccc(CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC1=O)C(c5ccccc5)c6ccccc6)C(=O)NCCOCCOCCN)c2,CHEMBL3621374,6.78,pEC50
NC(=N)NCCC[C@@H]1NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSCc2cccc(CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC1=O)C(=O)N)c2)NC(=O)CC(c4ccccc4)(c5ccccc5)c6ccccc6,CHEMBL3621371,6.95,pEC50
NC(=N)NCCC[C@@H]1NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSCc2cccc(CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC1=O)C(=O)N)c2)NC(=O)CC(c4ccccc4)c5ccccc5,CHEMBL3621370,6.98,pEC50
