SMILES,ChEMBL,target,metric
CN(C)S(=O)(=O)N1CCN(CC1)c2ccnc(CO)n2,CHEMBL90488,6.0,pIC50
OCc1nccc(n1)N2CCN(CC2)c3ncnc4ccccc34,CHEMBL148822,6.05,pIC50
C[C@H](O)c1nccc(n1)N2C[C@@H](C)N([C@@H](C)C2)c3ccnc(n3)[C@H](C)O,CHEMBL284537,6.08,pIC50
OCc1nccc(n1)N2CCN(CC2)c3oc4ccccc4n3,CHEMBL148647,6.13,pIC50
OCc1nccc(n1)N2CCN(CC2)c3ccc4ccccc4n3,CHEMBL151605,6.23,pIC50
CO[C@@H](C)c1nccc(n1)N2CCN(CC2)S(=O)(=O)N(C)C,CHEMBL330334,6.31,pIC50
OCc1nccc(n1)N2CCN(CC2)c3nc(Cl)nc(Cl)n3,CHEMBL148935,6.31,pIC50
Cc1cc(nc(C)n1)N2CCN(CC2)c3ccnc(CO)n3,CHEMBL423753,6.32,pIC50
OCc1nccc(n1)N2CCN(CC2)c3nccc4ccccc34,CHEMBL358327,6.37,pIC50
OCc1nccc(n1)N2CCN(CC2)c3noc4ccccc34,CHEMBL357712,6.39,pIC50
Cc1cc(C)nc(n1)N2CCN(CC2)c3ccnc(CO)n3,CHEMBL151268,6.46,pIC50
OCc1nccc(n1)N2CCN(CC2)c3nsc4ccccc34,CHEMBL146805,6.48,pIC50
C[C@@H](O)c1nccc(n1)N2[C@H](C)CN(C[C@@H]2C)c3oc4cnccc4n3,CHEMBL345725,6.57,pIC50
OCc1nccc(n1)N2CCN(CC2)c3ccnc(CO)n3,CHEMBL348663,6.59,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3nc(C)cc(n3)c4ccccc4,CHEMBL151704,6.66,pIC50
C[C@@H]1CN(C[C@H](C)N1c2ccnc(n2)C(=O)C)c3ccnc(n3)C(=O)C,CHEMBL277816,6.67,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(C[C@@H]2C)c3nc(C)cc(CO)n3,CHEMBL151602,6.7,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3nc(cc(n3)C(F)(F)F)C(F)(F)F,CHEMBL148436,6.72,pIC50
C[C@@H](O)c1nccc(n1)N2[C@H](C)CN(C[C@@H]2C)c3cnc4ccccc4n3,CHEMBL345259,6.75,pIC50
CC(O)c1nccc(n1)N2CCN(CC2)S(=O)(=O)N(C)C,CHEMBL91846,6.76,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3oc4cccnc4n3,CHEMBL147197,6.77,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(C[C@H]2C)c3nc(C)cc(CO)n3,CHEMBL151567,6.77,pIC50
C[C@@H](O)c1nccc(n1)N2CCN([C@H](C)C2)c3nc(C)cc(CO)n3,CHEMBL148936,6.85,pIC50
C[C@@H](O)c1nccc(n1)N2C[C@@H](C)N([C@@H](C)C2)c3nc(C)cc(CO)n3,CHEMBL346682,6.89,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3cnc4cc(Cl)c(Cl)cc4n3,CHEMBL151690,6.92,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3nccc(C)n3,CHEMBL347575,6.96,pIC50
C[C@@H](O)c1nccc(n1)N2CCN([C@@H](C)C2)c3cnc4ccccc4n3,CHEMBL149409,7.0,pIC50
C[C@@H](O)c1nccc(n1)N2[C@H](C)CN(C[C@@H]2C)c3nc(C)cc(CO)n3,CHEMBL151560,7.0,pIC50
CCc1cc(CC)nc(n1)N2CCN(CC2)c3ccnc(n3)[C@@H](C)O,CHEMBL348427,7.1,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3oc4ccncc4n3,CHEMBL356692,7.1,pIC50
C[C@@H](O)c1nccc(n1)N2CCN([C@@H](C)C2)c3nc(C)cc(CO)n3,CHEMBL150803,7.1,pIC50
CC(C)c1cc(nc(n1)N2CCN(CC2)c3ccnc(n3)[C@@H](C)O)C(C)C,CHEMBL150734,7.14,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3nccc(n3)c4ccccc4,CHEMBL151394,7.17,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(C[C@@H]2C)c3ccnc(CCO)n3,CHEMBL150296,7.23,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3ccc4ccccc4n3,CHEMBL556517,7.36,pIC50
C[C@@H](O)c1nccc(n1)N2[C@H](C)CN(C[C@@H]2C)c3nc(C)nc(n3)c4ccccc4,CHEMBL139187,7.37,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3ccnc(CCO)n3,CHEMBL149981,7.4,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3noc4ccccc34,CHEMBL151764,7.43,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3cnc4ccccc4n3,CHEMBL359168,7.44,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3oc4ccccc4n3,CHEMBL150642,7.46,pIC50
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3nccc4ccccc34,CHEMBL346418,7.47,pIC50
