SMILES,ChEMBL,target,metric
COc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c3ccccc3)cc1C,CHEMBL3799908,6.0,pIC50
Cc1onc(c1)C(=O)NC(CNCc2cc(C)c(OCc3ccncc3)cc2C)c4ccccc4,CHEMBL3798106,6.0,pIC50
CCOc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c3ccccc3)cc1C,CHEMBL3799085,6.03,pIC50
COc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c3ccncc3)cc1C,CHEMBL3799254,6.07,pIC50
C[C@@H]1CN(CCN1c2ccc(cn2)[N+](=O)[O-])c3nnc(Cc4ccccc4)c5ccccc35,CHEMBL3290322,6.13,pIC50
COc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c3ccc(F)cc3)cc1C,CHEMBL3797779,6.14,pIC50
COc1cc(C)c(CNCC(NC(=O)c2cc(on2)C3CC3)c4ccccc4)cc1C,CHEMBL3798062,6.14,pIC50
Cc1onc(c1)C(=O)NC(CNCc2cc(C)c(OCC(F)(F)F)cc2C)c3ccccc3,CHEMBL3798874,6.23,pIC50
COc1cc(C)c(CNC[C@@H](NC(=O)c2cc(C)on2)c3ccccc3)cc1C,CHEMBL3798254,6.31,pIC50
CCCCOc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c3ccccc3)cc1C,CHEMBL3798814,6.64,pIC50
C[C@@H]1CN(CCN1c2ccc(cn2)C#N)c3nnc(Cc4ccccc4)c5ccc(Cl)cc35,CHEMBL3290331,6.68,pIC50
COc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c3ccc(CCCC(=O)N)cc3)cc1C,CHEMBL3799061,6.82,pIC50
COc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c3ccc(cc3)C#CCO)cc1C,CHEMBL3798147,6.82,pIC50
C[C@@H]1CN(CCN1c2ccc(cn2)C#N)c3nnc(Cc4ccccc4)c5ccc(cc35)C(F)(F)F,CHEMBL3290333,7.0,pIC50
C[C@@H]1CN(CCN1c2ccc(cn2)C#N)c3nnc(Cc4ccccc4)c5ccc(cc35)C#N,CHEMBL3290335,7.03,pIC50
