SMILES,ChEMBL,target,metric
CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,fingolimod,9.52,pEC50
CCCCCCCCc1ccc2[nH]c(nc2c1)[C@@H](N)[C@@H](C)OP(=O)(O)O.OC(=O)C(F)(F)F,CHEMBL183894,7.03,pEC50
NC(CCCCCCCCCCc1ccccc1)CCP(=O)(O)O,CHEMBL117031,7.03,pIC50
CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)C(C)(N)COP(=O)(O)O.OC(=O)C(F)(F)F,CHEMBL188881,7.04,pEC50
CC(C)(C)Cc1ccc(cc1)c2onc(n2)c3ccc(CN4CC(C4)C(=O)O)cc3,CHEMBL366181,7.05,pIC50
Cl.CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)C(N)(CO)COP(=S)(O)O,CHEMBL541890,7.05,pEC50
OC(=O)C1CN(Cc2ccc(cc2)c3noc(n3)c4ccc(cc4)[C@@H]5CCC(F)(F)C5)C1,CHEMBL195014,7.05,pIC50
CC(C)Oc1ccc(COc2ccc3c(c2)c(Cl)c4[C@@H](CC(=O)O)CCn34)cc1C(F)(F)F,CHEMBL3359523,7.07,pEC50
CCCCCCCCCc1ccc(CN2CCC(C2)P(=O)(O)O)cc1,CHEMBL184349,7.07,pIC50
CCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,CHEMBL117723,7.1,pIC50
CCCCCCCCCCCCCCC(N)CCP(=O)(O)O,CHEMBL119110,7.12,pIC50
CCC(C)(C)c1ccc(cc1)c2onc(n2)c3ccc(CN4CC(C4)C(=O)O)cc3,CHEMBL372066,7.13,pIC50
CC(C)Cc1ccc(cc1)c2onc(n2)c3ccc(CN4CC(C4)C(=O)O)cc3,CHEMBL194419,7.16,pIC50
CCCCc1ccc(cc1)c2onc(n2)c3ccc(CN4CC(C4)C(=O)O)cc3,CHEMBL193789,7.16,pIC50
