SMILES,ChEMBL,target,metric
CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,ketoconazole,7.28,pIC50
[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@]([H])(CC[C@]12C)OC(C)=O,abiraterone acetate,8.54,pIC50
CC(C)C(O)(c1ccc2cc(OCC(F)(F)F)ccc2c1)c3c[nH]nn3,CHEMBL3264609,6.0,pIC50
C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CC=C2c5oncc5,CHEMBL78215,6.0,pIC50
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5ccncc5,CHEMBL2112299,6.0,pIC50
CC(=O)[C@@]1(Br)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL2112755,6.01,pIC50
C[C@]12CC[C@H](O)CC1=CC[C@@H]3[C@@H]2CC[C@]4(C)[C@H](CC=C34)[C@@H]5CN5,CHEMBL2112782,6.01,pIC50
CC(c1ccc(cc1)c2ccsc2)n3ccnc3,CHEMBL273191,6.02,pIC50
COc1cc2cnc(cc2cc1OC)C(O)(C(C)C)c3cnn[nH]3,CHEMBL3689756,6.02,pIC50
CC(C)C(O)(c1ccc2cc(ccc2c1)c3ocnc3)c4c[nH]nn4,CHEMBL3264607,6.03,pIC50
O=C(Cc1cccnc1)OC23CC4CC(CC(C4)C2)C3,CHEMBL135037,6.03,pIC50
C(c1cc(nc2c1ccc3[nH]ccc23)c4ccccc4)n5ccnc5,CHEMBL2442756,6.04,pIC50
CC(c1ccc(cc1)c2ccccc2)n3ccnc3,CHEMBL497499,6.04,pIC50
C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CC=C2n5cnc6ccccc56,CHEMBL77789,6.04,pIC50
C\C(=C/1\CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)\C#N,CHEMBL336025,6.05,pIC50
CC(=O)Nc1cccc(c1)c2ccc(Cc3ccncc3)cc2,CHEMBL1215730,6.06,pIC50
