SMILES,ChEMBL,target,metric
CCCNC(=O)[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,CHEMBL2375599,6.0,pIC50
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(=O)C)[C@@]3(C)OC4=C([C@H](O)[C@H]23)C(=O)OC(=C4)c5cccnc5)[C@]1(C)COC(=O)c6ccccc6,CHEMBL2375698,6.05,pIC50
CCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(=O)C)[C@@]3(C)OC4=C([C@H](O)[C@H]23)C(=O)OC(=C4)c5cccnc5)[C@]1(C)COC(=O)C,CHEMBL2375693,6.05,pIC50
CC(C)CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,CHEMBL395857,6.1,pIC50
CCC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)C)[C@@]3(C)OC4=C([C@H](O)[C@H]23)C(=O)OC(=C4)c5cccnc5)OC(=O)C,CHEMBL2375696,6.11,pIC50
C[C@@]1(COC(=O)c2ccccc2)[C@H](CC[C@@]3(C)[C@H]1C[C@H](OC(=O)c4ccc(cc4)C#N)[C@@]5(C)OC6=C([C@H](O)[C@H]35)C(=O)OC(=C6)c7cccnc7)OC(=O)c8ccccc8,CHEMBL2375704,6.12,pIC50
CCCCCC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)CCCCC,CHEMBL2375703,6.17,pIC50
CC(=O)OCC1(C)C(CCC2(C)C1C=C(OC(=O)C)C3(C)OC4=CC(OC(=C4C(=O)C23)O)c5cccnc5)OC(=O)C,CHEMBL179229,6.19,pIC50
COC(=O)[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,CHEMBL2375700,6.19,pIC50
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)[C@]1(C)COC(=O)c7ccccc7,CHEMBL2375692,6.21,pIC50
CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)C)[C@@]3(C)OC4=C([C@H](O)[C@H]23)C(=O)OC(=C4)c5cccnc5)OC(=O)c6ccccc6,CHEMBL2375695,6.3,pIC50
COc1ccccc1C(=O)O[C@H]2C[C@H]3[C@]4(C)CO[C@H](O[C@H]4CC[C@]3(C)[C@H]5[C@@H](O)C6=C(O[C@]25C)C=C(OC6=O)c7cccnc7)c8ccccc8,CHEMBL2398803,6.5,pIC50
C[C@@]12CO[C@H](O[C@H]1CC[C@@]3(C)[C@H]2C[C@H](OC(=O)c4ccccc4C#N)[C@@]5(C)OC6=C([C@H](O)[C@H]35)C(=O)OC(=C6)c7cccnc7)c8ccccc8,CHEMBL2398802,6.5,pIC50
CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccccc3C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,CHEMBL2334210,6.54,pIC50
CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(O)cc3)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,CHEMBL2334211,6.57,pIC50
CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3cccc4ccccc34)[C@@]5(C)OC6=C([C@H](O)[C@H]25)C(=O)OC(=C6)c7cccnc7)OC(=O)C,CHEMBL2334536,6.57,pIC50
COc1ccccc1C(=O)O[C@H]2C[C@H]3[C@](C)(COC(=O)C)[C@H](CC[C@]3(C)[C@H]4[C@@H](O)C5=C(O[C@]24C)C=C(OC5=O)c6cccnc6)OC(=O)C,CHEMBL2334209,6.64,pIC50
CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(N)cc3)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,CHEMBL2334208,6.7,pIC50
CCCCCCCC\C=C/CCCCCCCC(=O)Nc1ccccc1,CHEMBL15611,6.77,pIC50
COc1ccc(CNC(=O)[C@]2(C)[C@H](CC[C@@]3(C)[C@H]2C[C@H](OC(=O)c4ccc(cc4)C#N)[C@@]5(C)OC6=C([C@H](O)[C@H]35)C(=O)OC(=C6)c7cccnc7)OC(=O)C)c(OC)c1,CHEMBL2375602,6.85,pIC50
C[C@@]12CO[C@H](O[C@H]1CC[C@@]3(C)[C@H]2C[C@H](OC(=O)c4ccccc4Cl)[C@@]5(C)OC6=C([C@H](O)[C@H]35)C(=O)OC(=C6)c7cccnc7)c8ccccc8,CHEMBL2398801,6.96,pIC50
CC(C)C(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)C)[C@@]3(C)OC4=C([C@H](O)[C@H]23)C(=O)OC(=C4)c5cccnc5)OC(=O)C,CHEMBL2375697,7.13,pIC50
COc1cccc(c1)C(=O)O[C@H]2C[C@H]3[C@]4(C)CO[C@H](O[C@H]4CC[C@]3(C)[C@H]5[C@@H](O)C6=C(O[C@]25C)C=C(OC6=O)c7cccnc7)c8ccccc8,CHEMBL2398800,7.16,pIC50
CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccccc3Cl)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,CHEMBL2334207,7.22,pIC50
