SMILES,ChEMBL,target,metric
CCCCCCCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,CHEMBL1627425,6.0,pIC50
CCc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1OS(=O)(=O)N,CHEMBL366014,6.0,pIC50
CCc1cc2[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CCc2cc1OS(=O)(=O)N)OS(=O)(=O)N,CHEMBL425287,6.0,pIC50
NS(=O)(=O)Oc1ccc(SCCCCCN(c2ccc(cc2)C#N)n3cnnc3)cc1,CHEMBL3622059,6.0,pIC50
NS(=O)(=O)Oc1ccc2C3=C(CCC3)C(O)Oc2c1,CHEMBL3612353,6.0,pIC50
NS(=O)(=O)Oc1ccc2CCCCc2c1,CHEMBL26036,6.0,pIC50
NS(=O)(=O)Oc1ccc2nc(oc2c1)C=C3C4CC5CC(CC3C5)C4,CHEMBL136112,6.01,pIC50
CCCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,CHEMBL1627433,6.03,pIC50
Clc1ccc(cc1)S(=O)(=O)NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)OC(=O)Cc4ccccc4,CHEMBL124349,6.04,pIC50
NS(=O)(=O)Oc1ccc(cc1Cl)C(c2ccc(cc2)C#N)n3cncn3,CHEMBL479551,6.04,pIC50
CCOc1cc2[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CCc2cc1OS(=O)(=O)N,CHEMBL366144,6.05,pIC50
Clc1ccc(cc1)S(=O)(=O)NC(=O)NN2[C@@H]3CC[C@H]2CC(C3)C(=O)OCc4ccccc4,CHEMBL3805369,6.05,pKi
Clc1ccc(cc1)S(=O)(=O)NC(=O)NN2[C@@H]3CC[C@H]2C[C@H](C3)OC(=O)Cc4ccccc4,CHEMBL333727,6.05,pKi
OP(=S)(Oc1ccc2C3=C(CCCC3)C(=O)Oc2c1)Oc4ccc5C6=C(CCCC6)C(=O)Oc5c4,CHEMBL3612348,6.07,pIC50
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)Cc5ccccc5Br,CHEMBL1627410,6.08,pIC50
CCc1cc2[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CCc2cc1OS(=O)(=O)N,CHEMBL190451,6.09,pIC50
S=C(N\N=C\c1cccc(c1)c2nnn[nH]2)NC3CCCCC3,CHEMBL228744,6.09,pIC50
CC(C)(C)OC(=O)N1CCC(CC1)C(=O)NS(=O)(=O)c2cc(cc(c2)C(F)(F)F)C(F)(F)F,CHEMBL181738,6.11,pIC50
CCCCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,CHEMBL1627417,6.11,pIC50
COP(=O)(Nc1ccc(cc1)C2=Cc3ccc(OS(=O)(=O)N)cc3OC2=O)OC,CHEMBL3819591,6.11,pIC50
NS(=O)(=O)Oc1ccc(cc1)C(=O)c2cccc(OS(=O)(=O)N)c2,CHEMBL65211,6.11,pIC50
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2NC(=O)c5cccc(c5)C(F)(F)F,CHEMBL1947226,6.13,pIC50
CCCC1=CC(=O)c2cc(OS(=O)(=O)N)ccc2O1,CHEMBL137262,6.14,pIC50
Cc1ccc(\C=N\NC(=S)NC2CCCCC2)c(C(=O)O)c1O,CHEMBL375729,6.14,pIC50
NS(=O)(=O)Oc1ccc2C=C(C(=O)Oc2c1)c3ccc(NP4(=O)OCCCO4)cc3,CHEMBL3818455,6.16,pIC50
C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(=O)(=O)N)ccc34)[C@@H]1CCC2=O,CHEMBL122708,6.17,pKi
NS(=O)(=O)Oc1ccc2OC(=CC(=O)c2c1)c3ccccc3,CHEMBL137424,6.17,pIC50
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)Cc5c(Cl)cccc5Cl,CHEMBL1627606,6.19,pIC50
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)CCc5ccccc5,CHEMBL1627612,6.21,pIC50
NS(=O)(=O)Oc1cc(CN(c2ccc(cc2)C#N)n3cnnc3)ccc1F,CHEMBL226892,6.23,pIC50
NS(=O)(=O)Oc1ccc(cc1Br)[C@H](c2ccc(cc2)C#N)n3cncn3,CHEMBL480321,6.26,pIC50
COc1cc(CN(c2ccc(cc2)C#N)n3cnnc3)cc(Cl)c1OS(=O)(=O)N,CHEMBL390717,6.27,pIC50
CCCCC(CC)CCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,CHEMBL1627627,6.28,pIC50
COc1cc2[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CCc2cc1OS(=O)(=O)N)OC(=O)N,CHEMBL389320,6.28,pIC50
FC(F)(F)c1ccc(cc1)S(=O)(=O)NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)OC(=O)Cc4ccccc4,CHEMBL332811,6.28,pKi
OC(=O)c1ccc2SC(=CC(=O)c2c1)C34CC5CC(CC(C5)C3)C4,CHEMBL186816,6.28,pKi
CCOP(=O)(Nc1ccc(cc1)C2=Cc3ccc(OS(=O)(=O)N)cc3OC2=O)OCC,CHEMBL3818079,6.29,pIC50
