SMILES,ChEMBL,target,metric
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cc(cs2)c3ccccc3,CHEMBL1232492,6.06,pKi
NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cc(cs2)c3ccccc3,CHEMBL3675601,6.07,pKi
C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cccs2)C(=O)N,CHEMBL3675586,6.08,pKi
COc1ccccc1Oc2ccc(cc2)S(=O)(=O)C3(CCC4(CCNCC4)C3)C(=O)NO,CHEMBL3417756,6.13,pIC50
NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cccs2,CHEMBL3675588,6.13,pKi
CNC(=O)c1ccc(Oc2ccc(cc2)S(=O)(=O)C3(CCC4(CCNCC4)C3)C(=O)NO)cc1OC,CHEMBL3417759,6.15,pIC50
NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cc(cs2)c3ccccc3,CHEMBL3675606,6.16,pKi
CC[C@H](NC(=O)CCc1ccc(cc1)c2csnn2)C(=O)N[C@@H](CCC(=O)O)C(=O)N,CHEMBL3670720,6.17,pKi
NC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cccs2)C(=O)N,CHEMBL3675582,6.19,pKi
NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cc(cs2)c3ccccc3,CHEMBL3675599,6.24,pKi
CC[C@H](NC(=O)[C@H](CCCOC=O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3cccc(Cl)c3)C(=O)N,CHEMBL3670697,6.26,pKi
NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3ccccc3,CHEMBL3670704,6.28,pKi
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3cccc(Cl)c3,CHEMBL3670696,6.28,pKi
NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc2ccc(cc2)c3cccs3,CHEMBL3675585,6.29,pKi
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3cccc(Cl)c3,CHEMBL3670693,6.31,pKi
CC[C@H](NC(=O)CCc1ccc(cc1)c2ccsc2)C(=O)N[C@@H](CCC(=O)O)C(=O)N,CHEMBL3675542,6.35,pKi
NCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2ccc(cc2)c3ccccc3)C(=O)N,CHEMBL3675565,6.35,pKi
NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cccs2,CHEMBL3675584,6.36,pKi
OC(=O)CC[C@H](NC(=O)CCc1ccc(cc1)c2ccccc2)C(=O)Nc3cccc(CC(=O)O)c3,CHEMBL3675554,6.36,pKi
ONC(=O)C1(CCC2(CCNCC2)C1)S(=O)(=O)c3ccc(OCCN4CCCC4=O)cc3,CHEMBL3417762,6.36,pIC50
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCc1ccc(cc1)c2ccc(cc2)c3ccccc3,CHEMBL3675575,6.37,pKi
OC(=O)CC[C@H](NC(=O)CCc1ccc(cc1)c2ccc(cc2)c3ccccc3)C(=O)N4CCCC(CC(=O)O)C4,CHEMBL3675572,6.38,pKi
CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2ccc(cc2)c3ccccc3)C(=O)N,CHEMBL3675571,6.42,pKi
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2cccs2,CHEMBL3675581,6.43,pKi
Cc1ccc(s1)c2ccc(CCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N)cc2,CHEMBL3675592,6.45,pKi
ONC(=O)C(CNS(=O)(=O)c1ccccc1)NS(=O)(=O)c2ccccc2,CHEMBL496717,6.45,pKi
COc1ccc(cc1)S(=O)(=O)NCC(NS(=O)(=O)c2ccc(OC)cc2)C(=O)NO,CHEMBL497761,6.48,pKi
OC(=O)CC[C@H](NC(=O)CCc1ccc(cc1)c2cc(cs2)c3ccccc3)C(=O)Nc4cccc(CC(=O)O)c4,CHEMBL3675603,6.5,pKi
C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3ccccc3)C(=O)N,CHEMBL3670708,6.56,pKi
NC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3ccccc3)C(=O)N,CHEMBL3670706,6.59,pKi
Cc1cc(COc2ccc(cc2)C(=O)N[C@@H]3CN(CC#C)C[C@@H]3C(=O)NO)c4ccccc4n1,CHEMBL271235,6.62,pKi
CC[C@H](NC(=O)CCc1onc(c1)c2ccc(cc2)c3ccccc3)C(=O)N[C@@H](CC(=O)O)C(=O)N,CHEMBL3670703,6.71,pKi
CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O)C(=O)NO,CHEMBL204357,6.72,pKi
COc1ccc(Oc2cccc(c2)S(=O)(=O)C3(CCC4(CCNCC4)C3)C(=O)NO)cc1,CHEMBL3417743,6.72,pIC50
ONC(=O)C1(CCC2(CCNCC2)C1)S(=O)(=O)c3ccc(NCc4ccc(OC(F)(F)F)cc4)cc3,CHEMBL3417747,6.74,pIC50
NC(=O)C(Cc1cnc[nH]1)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc2ccc(cc2)c3ccc(cc3)c4ccccc4,CHEMBL3675569,6.78,pKi
COc1cccc(CNC(=O)C2=Nc3ccc(F)c(OCCc4ccc(cc4)C(=O)O)c3C(=O)N2)c1,CHEMBL3359091,6.8,pIC50
COc1cccc(CNC(=O)C2=Nc3scc(COCc4ccc(cc4)C(=O)O)c3C(=O)N2)c1,CHEMBL3337894,6.8,pIC50
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2ccc(s2)c3ccccc3,CHEMBL3675593,6.81,pKi
OC(=O)CC[C@H](NC(=O)CCc1ccc(cc1)c2cccs2)C(=O)Nc3cccc(CC(=O)O)c3,CHEMBL3675591,6.85,pKi
C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccc(cc1)c2ccc(cc2)c3ccccc3)C(=O)N,CHEMBL3675568,6.89,pKi
NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3cccc(Cl)c3,CHEMBL3670691,6.91,pKi
NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)CCc2ccc(cc2)c3ccc(cc3)c4ccccc4,CHEMBL3675567,6.92,pKi
CC[C@H](NC(=O)CCc1onc(c1)c2ccc(cc2)c3ccccc3)C(=O)N[C@@H](CCC(=O)O)C(=O)N,CHEMBL3670701,6.94,pKi
NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)CCc1onc(c1)c2ccc(cc2)c3cccc(Cl)c3,CHEMBL3670694,6.96,pKi
CNC(=O)c1ccc(cc1)C(=O)Oc2ccc(cc2)S(=O)(=O)C3(CCC4(CCNCC4)C3)C(=O)NO,CHEMBL3417768,6.99,pIC50
