SMILES,ChEMBL,target,metric
CC(C)(NC(=O)c1cc2ccccc2s1)C(=O)N[C@@H](Cc3ccccc3)C(=O)NCCOCCOCCN,CHEMBL236659,7.0,pKi
CC(O)[C@H](NC(=O)C)C(=O)N[C@H](Cc1cn(C=O)c2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)N(C)Cc4ccccc4,CHEMBL297776,7.0,pIC50
CCN(CC)CCCNC(=O)C(Cc1ccccc1)NC(=O)C2(CCCCC2)NC(=O)c3cc4ccccc4s3,CHEMBL236873,7.0,pKi
CCN(CC)CCNC(=O)C(Cc1ccccc1)NC(=O)C2(CCCCC2)NC(=O)c3cc4ccccc4s3,CHEMBL237081,7.0,pKi
CN([C@@H]1CCN(C[C@H]1c2ccc(F)cc2)C3CCS(=O)(=O)CC3)C(=O)N(C)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL3651890,7.0,pIC50
CN1CCN(CCCNC(=O)[C@H](Cc2ccccc2)NC(=O)C3(CCCCC3)NC(=O)c4cc5ccccc5s4)CC1,CHEMBL237082,7.0,pKi
CO\N=C(/CO\C=C\c1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCC(O)(CC2)c3ccccc3)c4ccc(Cl)c(Cl)c4,CHEMBL286589,7.0,pKi
NCCCCCCCNC(=O)C(Cc1ccccc1)NC(=O)C2(CCCCC2)NC(=O)c3cc4ccccc4s3,CHEMBL428906,7.0,pKi
O=C(NCCCN1CCOCC1)[C@@H](Cc2ccccc2)NC(=O)C3(CCc4ccccc34)NC(=O)c5cc6ccccc6s5,CHEMBL394419,7.0,pKi
O=C(NCCN1CCOCC1)C(Cc2ccccc2)NC(=O)C3(CCCCC3)NC(=O)c4cc5ccccc5s4,CHEMBL237516,7.0,pKi
O=C(N[C@H](Cc1ccccc1)C(=O)NCCCN2CCOCC2)Nc3ccc(OCc4ccccc4)cc3,CHEMBL183414,7.0,pKi
CCOC(=O)Oc1c(OC)cc(cc1OC)C(=O)N2CCC(CCN3CCC(CC3)(C(=O)N)c4ccccc4)(C2)c5ccc(Cl)c(Cl)c5,CHEMBL176860,7.02,pIC50
CO\N=C(/COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCN(CC(=O)N3CCC(C3)N(C)C)CC2)c4ccc(Cl)c(Cl)c4,CHEMBL312528,7.02,pKi
O=C(NCCCN1CCOCC1)[C@@H](Cc2ccccc2)NC(=O)C3(CC3)NC(=O)c4cc5ccccc5s4,CHEMBL242848,7.02,pKi
CO\N=C(/COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCC(CN3CCCC(Cc4ccccc4)C3=O)CC2)c5ccc(Cl)c(Cl)c5,CHEMBL145314,7.04,pKi
[O-][N+](=O)c1ccc(cc1)C(=O)NC2(CCCC2)C(=O)N[C@H](Cc3ccccc3)C(=O)NCCCN4CCOCC4,CHEMBL397704,7.04,pKi
CN(Cc1ccccc1)C(=O)[C@]2(C[C@H]2CN3CCC(CC3)(NC(=O)C)c4ccccc4)c5ccc(Cl)c(Cl)c5,CHEMBL1682624,7.06,pKi
CN(C(=O)C)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)c3ccccc3)c4ccc(Cl)c(Cl)c4)CC1)c5ccccc5,CHEMBL346178,7.07,pKi
CC[C@@H](NC(=O)c1c(OCCO)c(nc2ccccc12)c3ccccc3)c4ccccc4,CHEMBL429615,7.09,pKi
CN(Cc1ccccc1)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc3cn(C)c4ccccc34)NC(=O)C[C@@H]5NC(=O)[C@@H]6C7CCC(CC7)N6C5=O,CHEMBL3144353,7.1,pIC50
Clc1ccc(cc1Cl)[C@@]2(CCN3CC(C3)N4CCOCC4)CCC(=O)N(CC5CC5)C2,CHEMBL360721,7.1,pIC50
CN([C@@H]1CN(C[C@H]1c2ccc(F)cc2)C(=O)N3CCN(CC3)S(=O)(=O)C)C(=O)N(C)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL3651896,7.11,pIC50
CN(C)S(=O)(=O)N1CCN(C[C@@H]2C[C@@]2(C(=O)N(C)Cc3ccc(F)cc3)c4ccc(Cl)c(Cl)c4)CC1,CHEMBL1682680,7.13,pKi
COc1ccccc1CC(=O)N2CCC(CCN3CCC(CC3)(C(=O)N)c4ccccc4)(C2)c5ccc(Cl)c(Cl)c5,CHEMBL172915,7.13,pIC50
Fc1ccc(NC(=O)NC2(CCCC2)C(=O)N[C@H](Cc3ccccc3)C(=O)NCCCN4CCOCC4)cc1F,CHEMBL243726,7.14,pKi
CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C2(CCCCC2)NC(=O)c3cc4ccccc4s3)C(=O)N,CHEMBL238181,7.15,pKi
CN(C(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c2cc(ccc2c3ccc(Cl)cc3)C(=O)N[C@@H]4CCCCNC4=O,CHEMBL2113740,7.16,pIC50
CO\N=C(/COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCC(CC2)C(=O)N)c3ccc(Cl)c(Cl)c3,CHEMBL356796,7.17,pKi
CO\N=C(/COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCC(CC2)N3CCC(C3)OC(=O)NC(C)C)c4ccc(Cl)c(Cl)c4,CHEMBL147924,7.17,pKi
COc1c(cc2ccccc2c1C(=O)N(C)C[C@@H](CCN3CCC(CC3)c4ccccc4[S+](C)[O-])c5ccc(Cl)c(Cl)c5)C#N,CHEMBL129321,7.17,pKi
CN(CC(CCN1CCC(CCNC(=O)C)CC1)c2ccc(Cl)c(Cl)c2)C(=O)c3ccccc3,CHEMBL58331,7.18,pKi
CN([C@H](Cc1ccc(Cl)cc1)\C=C\C(=O)NC2(CCCCC2)C(=O)N)C(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL105600,7.18,pIC50
CN(Cc1ccccc1)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C[C@@H]5NC(=O)[C@@H]6C7CCC(CC7)N6C5=O,CHEMBL3144352,7.19,pIC50
CC(C)c1ccc(Oc2ccc(NC(=O)N[C@@H](Cc3ccccc3)C(=O)NCCCN4CCOCC4)cc2)cc1,CHEMBL441115,7.2,pKi
O=C(NCCN1CCCCC1)C(Cc2ccccc2)NC(=O)C3(CCCCC3)NC(=O)c4cc5ccccc5s4,CHEMBL429631,7.2,pKi
CN([C@H](Cc1ccc2ccccc2c1)\C=C\C(=O)N[C@@H]3CCCCNC3=O)C(=O)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL103979,7.22,pIC50
CN([C@@H]1CN(C[C@H]1c2ccc(F)cc2)C(=O)NC3CCOCC3)C(=O)N(C)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL3651895,7.23,pIC50
CO\N=C(/COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCC(CC2)C(=O)N3CCCC3)c4ccc(Cl)c(Cl)c4,CHEMBL342572,7.23,pKi
CO\N=C(/COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCC(CN3CCCC(CC=C)C3=O)CC2)c4ccc(Cl)c(Cl)c4,CHEMBL144011,7.24,pKi
NC(=O)CO\N=C(/COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)\C(CCN2CCC(O)(CC2)c3ccccc3)c4ccc(Cl)c(Cl)c4,CHEMBL168584,7.24,pKi
CN(C(Cc1ccc(Cl)cc1)\C=C\C(=O)NC2CCCCNC2=O)C(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL35857,7.26,pIC50
CN(N(CCC(=O)N[C@@H]1CCCCNC1=O)Cc2ccc3ccccc3c2)C(=O)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL104348,7.26,pIC50
