SMILES,ChEMBL,target,metric
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,miglitol,6.3,pIC50
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,miglustat,6.3,pIC50
[H][C@]1(N[C@@H]2[C@@H](C)O[C@H](O[C@]3([H])[C@@H](CO)O[C@H](O[C@]4([H])[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,acarbose,6.60906506,pKi
OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,migalastat,6.59000015,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL574645,6.22,pIC50
C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c2ccc(cc2)c3ccccc3,CHEMBL3354623,6.3,pIC50
CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,CHEMBL1086997,6.34,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC(F)(F)COCc2ccc(cc2)c3ccccc3,CHEMBL3354621,6.4,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(c(F)c2)c3ccccc3,CHEMBL3354625,6.4,pIC50
CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051763,6.5,pIC50
OC[C@@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c2ccccc2,CHEMBL2374252,6.52,pIC50
[Cl-].OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1258529,6.52,pKi
CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051760,6.6,pIC50
C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c2ccc(cc2)c3ccccc3,CHEMBL3354622,6.6,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3,CHEMBL3354025,6.6,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2F)c3ccccc3,CHEMBL3354624,6.6,pIC50
CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051759,6.64,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2cccc(c2)c3ccccc3,CHEMBL3354063,6.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccccc2c3ccccc3,CHEMBL3354062,6.7,pIC50
OC[C@@]1(O)C[C@H](NC[C@@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,CHEMBL2374255,6.72,pIC50
OCC(CO)N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL3349436,6.75,pIC50
OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL3349440,6.75,pIC50
OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349439,6.8,pIC50
CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051981,7.1,pIC50
N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL222396,7.31,pIC50
