SMILES,ChEMBL,target,metric
NC(=N)C1=CC=C(OCCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,hexamidine,6.03,pKi
NC(=N)C1=CC(Br)=C(OCCCOC2=C(Br)C=C(C=C2)C(N)=N)C=C1,dibrompropamidine,6.27,pKi
NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N,nafamostat,10.69999981,pKi
NC(=O)CC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccccc1N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,CHEMBL1214092,6.01,pKi
NC(=N)c1ccc(OCCCCCCOc2ccc(cc2)C(=N)N)cc1,CHEMBL25105,6.03,pKi
COCC1CN(CC2CCN(Cc3ccccc3)CC2)C(=O)N(C1)c4cccc(c4)C(=N)N,CHEMBL3780434,6.07,pKi
NC(=N)c1cccc(c1)N2CC(COCc3ccccc3)CN(CC4CCN(Cc5ccccc5)CC4)C2=O,CHEMBL3780036,6.07,pKi
CC1CN(C2CCN(Cc3ccccc3)CC2)C(=O)N(C1)c4cccc(c4)C(=N)N,CHEMBL3780584,6.08,pKi
N[C@@H]1CC[C@H](CC1)NC(=O)c2cc(Oc3ccc(cc3)C(=N)N)cc(Oc4ccc(cc4)C(=O)N)c2,CHEMBL3289041,6.08,pKi
COC1CN(CC2CCN(Cc3ccccc3)CC2)C(=O)N(C1)c4cccc(c4)C(=N)N,CHEMBL3781626,6.09,pKi
NC(=N)c1ccc(OCc2ccc(COc3ccc(cc3)C(=N)N)cc2)cc1,CHEMBL365916,6.09,pKi
NC(=N)c1ccc2[nH]c(cc2c1)c3cccc(n3)C4(F)CCCCC4,CHEMBL3632760,6.1,pKi
N[C@@H]1CC[C@H](CC1)NC(=O)c2cc(OCc3ccc(Br)nc3)cc(Oc4ccc(cc4)C(=N)N)c2,CHEMBL3289045,6.1,pKi
CC1CCC(CC1)NC(=O)c2cc(Oc3ccc(cc3)C(=N)N)cc(Oc4ccc(cc4)C(=N)N)c2,CHEMBL3289019,6.11,pKi
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC3CCCCC3)NS(=O)(=O)Cc4ccccc4)cc1.OC(=O)C(F)(F)F,CHEMBL1215085,6.11,pKi
CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCN(CC3)c4ccccc4,CHEMBL3402440,6.12,pKi
Cc1c(C)c(c(C)c2CC(C)(C)Oc12)S(=O)(=O)N[C@@H](Cc3cccc(c3)C(=N)N)C(=O)N4CCN(CC4)C(=O)CCN=C(N)N,CHEMBL211794,6.14,pKi
NC(=N)c1ccc(Oc2cc(Oc3ccc(cc3)C(=N)N)cc(c2)C(=O)N4CCc5ccccc5C4)cc1,CHEMBL3289029,6.14,pKi
NC(=N)c1ccc(cc1)N2CCN(CC2)c3ccc(cc3)C(=N)N,CHEMBL9126,6.14,pKi
CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)NC(Cc2cccc(c2)C(=N)N)C(=O)N3CCN(CC3)C(=O)CN,CHEMBL209841,6.16,pKi
NC(=N)NCCC(=O)N1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)CCc3cccc4ccccc34,CHEMBL211549,6.16,pKi
Cc1ccc(cc1)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCN(CC3)C(=O)OCc4ccccc4,CHEMBL3402439,6.21,pKi
NCCC(=O)N1CCC(CC1)NC(=O)c2ccc(Oc3ccc(cc3)C(=N)N)nc2Oc4ccc(cc4)C(=N)N,CHEMBL3100168,6.22,pKi
NC(=N)c1ccc(Oc2cc(Oc3ccc(cc3)C(=N)N)cc(c2)C(=O)NC4CCCCC4)cc1,CHEMBL3289017,6.23,pKi
NC(=N)c1ccc(Oc2cc(Oc3ccc(cc3)C(=N)N)cc(c2)C(=O)Nc4ccc(F)cc4)cc1,CHEMBL3289030,6.23,pKi
Cc1ccc(cc1)C(=O)n2nc(nc2N)c3cccnc3,CHEMBL1413622,6.24,pIC50
NC(=N)c1cccc(c1)N2CC(CO)CN(CC3CCN(Cc4ccccc4)CC3)C2=O,CHEMBL3781354,6.24,pKi
NC(=N)c1ccc(NCCCCCCCNc2ccc(cc2)C(=N)N)cc1,CHEMBL3594082,6.25,pKi
CC1CCC(CC1)C(=O)Nc2cc(Oc3ccc(cc3)C(=N)N)cc(Oc4ccc(cc4)C(=N)N)c2,CHEMBL3289031,6.26,pKi
NC(=N)c1ccc(OCCCOc2ccc(cc2Br)C(=N)N)c(Br)c1,CHEMBL30044,6.27,pKi
CC1CN(CC2CCN(Cc3ccccc3)CC2)C(=O)N(C1)c4cccc(c4)C(=N)N,CHEMBL3781349,6.28,pKi
NC(=N)c1ccc(NCCCCCCCCNc2ccc(cc2)C(=N)N)cc1,CHEMBL3594083,6.28,pKi
NC(=N)c1cccc(c1)N2CC(CN(CC3CCN(Cc4ccccc4)CC3)C2=O)NS(=O)(=O)c5ccccc5,CHEMBL3780005,6.28,pKi
