SMILES,ChEMBL,target,metric
Cc1cccc(n1)c2nc(NCc3cccc(F)c3F)sc2c4ccc5ncnn5c4,CHEMBL2087982,7.53,pIC50
CCN(C)C(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN(C)C)/c4ccccc4)\C(=O)Nc2c1,CHEMBL1271470,7.54,pIC50
Cc1cccc(n1)c2nn(CC(=S)Nc3ccccc3F)cc2c4ccc5ncnn5c4,CHEMBL3261095,7.54,pIC50
CCCC(=O)N(C)Cc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3,CHEMBL2208004,7.55,pIC50
Cc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,CHEMBL205156,7.55,pIC50
COC(=O)c1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,CHEMBL203436,7.57,pIC50
Cc1cc(Oc2ccnc(Nc3ccc(cc3)S(=O)(=O)N)c2)c(nc1C)c4ccccn4,CHEMBL578235,7.57,pIC50
Cc1cccc(n1)c2[nH]c(CNC(=S)c3ccccc3F)nc2c4ccc5ncnn5c4,CHEMBL3261088,7.57,pIC50
Cc1cccc(n1)c2nn(CC(=O)Nc3cccc(c3)C#N)cc2c4ccc5ncnn5c4,CHEMBL3261093,7.57,pIC50
OC(=O)c1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,CHEMBL568357,7.57,pIC50
c1ccc(nc1)c2n[nH]cc2c3ccnc4ccccc34,CHEMBL261454,7.57,pIC50
CC(=O)NCCCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3,CHEMBL2208013,7.59,pIC50
Cc1cccc(n1)c2[nH]c(Cc3cccc(c3)C#N)nc2c4ccc5ncccc5c4,CHEMBL1165374,7.59,pIC50
Cc1cccc(n1)c2nc(NCc3ccc(cc3)C(=O)N)sc2c4ccc5ncnn5c4,CHEMBL2088220,7.59,pIC50
Cc1cccc(n1)c2nn(CC(=S)Nc3cccc(c3)C#N)cc2c4ccc5nccnc5c4,CHEMBL1824442,7.59,pIC50
Cc1csc(n1)c2nc(CN3CCCC3=O)[nH]c2c4ccc5ncsc5c4,CHEMBL2208003,7.59,pIC50
CC(=O)COc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,CHEMBL202943,7.6,pIC50
CC(C)c1nc(c2cccc(C)n2)c([nH]1)c3ccnc(c3)c4ccc(cc4)C(=O)NC5CCOCC5,CHEMBL585505,7.6,pIC50
CCC(=O)NCCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3,CHEMBL2208012,7.6,pIC50
Cc1cccc(n1)c2[nH]c(CNc3ccc(CC#N)cc3)nc2c4ccc5ncnn5c4,CHEMBL3260609,7.6,pIC50
Cc1cccc(n1)c2nc(Nc3ccc4[nH]ncc4c3)c5ccccc5n2,CHEMBL537968,7.6,pIC50
Cc1cccc(n1)c2nc(Nc3ccncc3)c4ccccc4n2,CHEMBL570533,7.6,pIC50
Cc1cccc(n1)c2nn(CCC(=O)Nc3ccccc3)cc2c4ccc5ncccc5c4,CHEMBL1766450,7.6,pIC50
Cc1cccc(n1)c2sc(NCc3cccc(c3)C#N)nc2c4ccc5ncnn5c4,CHEMBL2088222,7.6,pIC50
Nc1nc(Nc2ccccc2)cc(n1)c3ccc4c(N)n[nH]c4c3,CHEMBL1765876,7.6,pIC50
COc1ccc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)cc1,CHEMBL2087975,7.61,pIC50
Cc1cccc(n1)c2sc(NCc3ccccc3)nc2c4ccc5ncnn5c4,CHEMBL2088221,7.61,pIC50
CCNC(=O)c1ccc2\C(=C(\Nc3ccc(CN4CCCCC4)cc3)/c5ccccc5)\C(=O)Nc2c1,CHEMBL1271472,7.62,pIC50
CN(C)CCOc1ccc2c(ccnc2c1)c3c4CCCn4nc3c5ccccn5,CHEMBL409525,7.62,pIC50
CN1N(C)C(=C(C1=O)c2cccc(CC#N)c2)c3ccc4nccnc4c3,CHEMBL593710,7.62,pKi
COc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,CHEMBL202891,7.62,pIC50
Cc1cccc(n1)c2[nH]c(NCc3ccc(cc3)C#N)nc2c4ccc5OCOc5c4,CHEMBL445934,7.62,pIC50
Cc1cccc(n1)c2[nH]c(NCc3cccc(c3)C#N)nc2c4ccc5OCOc5c4,CHEMBL226734,7.62,pIC50
FC(F)(F)c1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,CHEMBL383523,7.62,pIC50
Cc1cccc(n1)n2nccc2c3cc4cnccc4s3,CHEMBL3704648,7.63,pIC50
Cc1cccc(n1)c2[nH]c(CNc3cccc(OC(F)(F)F)c3)nc2c4ccc5ncnn5c4,CHEMBL3260588,7.64,pIC50
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C5CCC(=O)CC5,CHEMBL2208000,7.64,pIC50
Cc1cc(C)cc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)c1,CHEMBL2088215,7.66,pIC50
Cc1ccc(Oc2ccnc(Nc3ccc(cc3)S(=O)(=O)N)c2)c(C)n1,CHEMBL585367,7.66,pIC50
Cc1cccc(n1)c2[nH]c(CNC(=S)c3cccc(c3)C(=O)N)nc2c4ccc5ncnn5c4,CHEMBL3261090,7.66,pIC50
Cc1cccc(n1)c2[nH]c(CNc3cccc(CN4CCCC4)c3F)nc2c5ccc6ncnn6c5,CHEMBL3260630,7.66,pIC50
Cc1cccc(n1)c2cc(Nc3ccncc3)c4ccccc4n2,CHEMBL560815,7.66,pIC50
Cc1cccc(n1)c2nc(NCc3ccc(Cl)c(Cl)c3)sc2c4ccc5ncnn5c4,CHEMBL2087986,7.66,pIC50
Cc1cccc(n1)c2nc(NCc3cccc(C)c3C)sc2c4ccc5ncnn5c4,CHEMBL2088214,7.66,pIC50
Cc1cccc(n1)c2nc(Nc3ccncc3)c4sccc4n2,CHEMBL556871,7.66,pIC50
Cc1cccc(n1)c2nn(CC(=O)Nc3cccc(c3)C#N)cc2c4ccc5ncccc5c4,CHEMBL1766441,7.66,pIC50
Cc1cccc(n1)c2nn3CCCc3c2c4ccc5ncn(C)c5c4,CHEMBL204966,7.66,pIC50
Cc1cccc(n1)c2sc(NCc3ccccc3F)nc2c4ccc5ncnn5c4,CHEMBL2088224,7.67,pIC50
COc1cc(Nc2cc(Oc3ccc(C)nc3C)ccn2)cc(OC)c1OC,CHEMBL574415,7.68,pIC50
Cc1cccc(n1)c2[nH]c(CNc3ccc(cc3)C(=O)N)nc2c4ccc5OCOc5c4,CHEMBL229597,7.68,pIC50
Cc1cccc(n1)c2[nH]c(CNc3cccc(C#N)c3C#N)nc2c4ccc5ncnn5c4,CHEMBL3260618,7.68,pIC50
Cc1cccc(n1)c2[nH]c(CNc3cccc(c3)C(=O)N)nc2c4ccc5OCOc5c4,CHEMBL389078,7.68,pIC50
Cc1cccc(n1)c2[nH]c(CSc3ccccc3)nc2c4ccc5ncnn5c4,CHEMBL3260565,7.68,pIC50
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C5CCOCC5,CHEMBL2208001,7.68,pIC50
