SMILES,ChEMBL,target,metric
CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23,rucaparib,6.05000019,pIC50
Brc1ccc(NC(=O)c2ccc(cc2)N3C(=O)[C@@H]4[C@H]5C[C@H](C=C5)[C@@H]4C3=O)cc1,CHEMBL551249,6.0,pEC50
COc1ccc(cc1)C2NC(=O)c3ccccc3N2,CHEMBL138007,6.0,pIC50
CC(C)CC(=O)Nc1nnc2SCCCn12,CHEMBL2425792,6.01,pIC50
O=C(CCc1ccncc1)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4,CHEMBL2417574,6.02,pIC50
Brc1ccc(CCNC(=O)c2ccccc2N3CCC(=O)NC3=O)cc1,CHEMBL3577627,6.04,pIC50
CC1=CC(=O)Nc2cc(ccc12)c3ccccc3,CHEMBL2381630,6.05,pKd
COc1cccc2c(O)nc(nc12)c3ccc(cc3)[N+](=O)[O-],CHEMBL125154,6.06,pIC50
Oc1ccc2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3,CHEMBL301624,6.06,pIC50
COc1ccc(cc1OC)c2noc(CSc3nnc(C)n3c4ccccc4)n2,CHEMBL2016863,6.07,pIC50
COc1cc(Cl)c(cc1C(=O)NCCN2CCC(CC2)C(=O)c3ccc(F)cc3)C#N,CHEMBL2419696,6.11,pIC50
COc1ccc(cc1)c2noc(CSc3nnc(c4ccncc4)n3c5ccccc5)n2,CHEMBL1443282,6.11,pIC50
Clc1ccc(cc1)C2NC(=O)c3cccnc3N2,CHEMBL3594127,6.12,pIC50
Oc1ccccc1CCC(=O)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4,CHEMBL2419693,6.12,pIC50
CCc1c(C)nc(nc1O)N2CCN(CC2)c3ccccc3F,CHEMBL2144572,6.14,pIC50
Nc1ccc(cc1)C2=Nc3ccccc3C(=O)N2,CHEMBL3827921,6.16,pIC50
COc1ccc(cc1)n2c(SCc3onc(n3)c4ccc(C)cc4)nnc2c5ccncc5,CHEMBL1552719,6.19,pIC50
COc1ccc(cc1)c2noc(CSc3nnc(C)n3c4ccc(C)cc4)n2,CHEMBL1418516,6.2,pIC50
Oc1cccc(c1)C2=CC(=O)c3ccc(O)cc3O2,CHEMBL253786,6.2,pIC50
COc1ccc(cc1)c2nc(O)c3ccccc3n2,CHEMBL336718,6.21,pIC50
Cc1ccc(cc1)c2noc(CSc3nnc(C)n3c4ccc(C)cc4)n2,CHEMBL1319888,6.23,pIC50
O=C1NC(Nc2ccccc12)c3ccccc3OCc4ccccc4,CHEMBL3594132,6.24,pIC50
Cc1ccc(cc1)C2=Nc3ccccc3C(=O)N2,CHEMBL3289109,6.27,pIC50
CCOc1ccc(cc1)n2c(SCc3onc(n3)c4ccc(OC)cc4)nnc2c5ccncc5,CHEMBL1483505,6.29,pIC50
COc1ccc2C(=O)CC(CC(=O)N[C@@H](CNC(=O)c3ccccc3N4CCC(=O)NC4=O)C(=O)N)c2c1,CHEMBL3577700,6.33,pIC50
COc1ccc(cc1)C2=CC(=O)c3ccc(O)cc3O2,CHEMBL16751,6.34,pIC50
COc1cccc2C(=O)NC(=Nc12)c3ccc(F)cc3,CHEMBL3827770,6.34,pIC50
O=C(NCc1ccccc1)Nc2nnc3SCCn23,CHEMBL2425806,6.35,pIC50
CN1CCCC2=C1C=C(NC2=O)c3ccc(Br)cc3,CHEMBL3589285,6.37,pIC50
Clc1ccc(cc1)C2NC(=O)c3ccccc3N2,CHEMBL1448672,6.38,pIC50
FC(F)(F)c1ccc(cc1)C2=NC3=C(CCOC3)C(=O)N2,CHEMBL2419894,6.42,pIC50
CC(C)c1ccc(cc1)C2NC(=O)c3cccnc3N2,CHEMBL268379,6.44,pIC50
CC(C)(C)c1ccc(cc1)C(=O)Nc2nnc3SCCCn23,CHEMBL2425790,6.45,pIC50
Cc1ccc(cc1)C2=Cc3cnccc3C(=O)N2,CHEMBL3589258,6.46,pIC50
Oc1ccc(CCC(=O)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4)cc1,CHEMBL2419695,6.46,pIC50
COc1ccc2C(=O)CC(CC(=O)N3CCN(CC3)C(=O)c4ccccc4N5CCC(=O)NC5=O)c2c1,CHEMBL3577702,6.48,pIC50
Oc1cccc(c1)C2=CC(=O)c3ccccc3O2,CHEMBL147552,6.5,pIC50
CC1=CC(=O)Nc2cc(ccc12)c3ccc(F)cc3,CHEMBL2381631,6.51,pIC50
CN1CCN(CC1)C2=NC3=C(CCCC3)C(=O)N2,CHEMBL3593716,6.52,pIC50
O=C(CCCc1ccccc1)Nc2nnc3SCCn23,CHEMBL2425805,6.52,pIC50
Cc1ccc(cc1)c2oc(CCc3nnc(c4ccncc4)n3c5ccccc5Cl)nn2,CHEMBL2325499,6.54,pIC50
CC1=CC(=O)Nc2cc(ccc12)c3ccccc3F,CHEMBL2381633,6.55,pKd
Cc1nnc(SCc2onc(n2)c3ccc(Cl)cc3)n1c4ccc(F)cc4,CHEMBL1599148,6.55,pIC50
Fc1cccc(CCC(=O)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4)c1,CHEMBL2419691,6.55,pIC50
O=C1NC(=Cc2c1sc3ccccc23)c4ccccc4,CHEMBL3344065,6.55,pIC50
COc1ccc(cc1)n2c(SCc3onc(n3)c4ccccc4)nnc2c5ccncc5,CHEMBL2016634,6.57,pIC50
O=C(Nc1nnc2SCCn12)C3CCC3,CHEMBL2425795,6.58,pIC50
Oc1cccc2C(=O)NC(=Nc12)c3ccc(F)cc3,CHEMBL3828676,6.58,pIC50
COc1ccc(cc1)C(=O)Nc2ccc(C(=O)NCC3(CCOCC3)c4ccc(OC)cc4)c(Cl)c2,CHEMBL3753510,6.59,pIC50
[O-][N+](=O)c1ccc(cc1)C2=Nc3ccccc3C(=O)N2,CHEMBL1164165,6.59,pIC50
O=C(Nc1nnc2SCCn12)c3ccccc3,CHEMBL1714359,6.6,pIC50
O=C(Cc1ccccc1)Nc2nnc3SCCn23,CHEMBL1446237,6.62,pIC50
CC(C)c1ccc(cc1)C2NC(=O)c3ccccc3N2,CHEMBL3594136,6.63,pIC50
CN(C)CC(=O)Nc1ccc2NC(=O)c3ccccc3c2c1,CHEMBL372303,6.66,pIC50
Nc1ccc(cc1)c2nc(O)c3cccc(O)c3n2,CHEMBL126167,6.66,pIC50
O=C(Nc1nnc2SCCn12)C3CCCC3,CHEMBL2425796,6.66,pIC50
O=C(CCc1ccccc1)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4,CHEMBL2419712,6.67,pIC50
COC(=O)c1ccc(cc1)C2=NC3=C(COCC3)C(=O)N2,CHEMBL2419708,6.7,pIC50
Cc1cc(NCCc2ccc(O)cc2)c3nncn3n1,CHEMBL3238252,6.7,pIC50
Clc1ccc(cc1)C2=Nc3ccccc3C(=O)N2,CHEMBL1163173,6.7,pIC50
O=C(CC1CCOCC1)Nc2nnc3SCCn23,CHEMBL2425799,6.7,pIC50
O=C(Nc1cccc2cccnc12)c3ccc(cc3)N4C(=O)[C@@H]5[C@@H]6CC[C@@H](C6)[C@@H]5C4=O,CHEMBL1956162,6.7,pEC50
O=C(Nc1cccc2cccnc12)c3ccc(cc3)N4C(=O)[C@@H]5[C@H]6C[C@H](C=C6)[C@@H]5C4=O,CHEMBL562310,6.7,pEC50
COc1ccc(cc1)c2noc(CSc3nnc(C)n3c4ccc(F)cc4)n2,CHEMBL1364326,6.71,pIC50
Cc1n[nH]c(C)c1CCC(=O)Nc2nnc3SCCn23,CHEMBL2425789,6.71,pIC50
CN1CCCC2=C1C=C(NC2=O)c3ccccc3,CHEMBL3589281,6.72,pIC50
Cc1ccc(cc1)C2=CC(=O)c3ccccc3O2,CHEMBL16861,6.72,pIC50
Oc1ccc(cc1)C2=Nc3ccccc3C(=O)N2,CHEMBL3289108,6.72,pIC50
Oc1cccc2c(O)nc(nc12)c3ccc(cc3)[N+](=O)[O-],CHEMBL338088,6.72,pIC50
O=C1Nc2ccccc2c3c1sc4ccccc34,CHEMBL3344061,6.75,pIC50
Oc1ccc(cc1O)C2=CC(=O)c3ccccc3O2,CHEMBL222556,6.75,pIC50
Oc1cccc(CCC(=O)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4)c1,CHEMBL2419694,6.75,pIC50
Oc1cccc2c(O)nc(nc12)c3ccccc3,CHEMBL341142,6.75,pIC50
COc1ccc(cc1)c2noc(CSc3nnc(c4ccncc4)n3c5ccc(OC)cc5)n2,CHEMBL1611739,6.76,pIC50
COc1cccc2C(=O)NC(=Nc12)c3ccc(C)cc3,CHEMBL3827329,6.78,pIC50
FC(F)(F)c1ccc(cc1)C2=NC3=C(CCCC3)C(=O)N2,CHEMBL2419891,6.79,pIC50
O=C(N1CCN(CC1)c2ncccc2C#N)c3cccc(CC4=NNC(=O)c5ccccc45)c3,CHEMBL3740104,6.8,pIC50
CC(C)(C)c1ccc(cc1)C2NC(=O)c3ccccc3N2,CHEMBL3594137,6.81,pIC50
CC1=CC(=O)Nc2cc(ccc12)c3cccc(F)c3,CHEMBL2381632,6.82,pIC50
Clc1ccc(cc1)C2=NC3=C(COCC3)C(=O)N2,CHEMBL2419897,6.83,pIC50
O=C1C=C(Oc2ccccc12)c3ccccc3,CHEMBL275638,6.83,pIC50
[O-][N+](=O)c1ccc(cc1)C2=CC(=O)c3ccccc3O2,CHEMBL64780,6.85,pIC50
O=C(CCc1cccnc1)Nc2nnc3SCCn23,CHEMBL2425814,6.86,pIC50
CN1CCCC2=C1C=C(NC2=O)c3ccc(Cl)cc3,CHEMBL3589284,6.87,pIC50
O=C(CCc1ccncc1)Nc2nnc3SCCn23,CHEMBL2425815,6.87,pIC50
O=C1NC(=NC2=C1COCC2)c3ccsc3,CHEMBL2419895,6.87,pIC50
COc1ccc(cc1)c2noc(CSc3nnc(C)n3c4cccc(C)c4)n2,CHEMBL1724183,6.88,pIC50
FC(F)(F)c1ccc(cc1)C2=Nc3ccccc3C(=O)N2,CHEMBL2419892,6.88,pIC50
COc1ccc(cc1)c2nc(O)c3cccc(OC)c3n2,CHEMBL340481,6.89,pIC50
FC(F)(F)c1ccc(cc1)C2=NC3CSCC3C(=O)N2,CHEMBL2419890,6.9,pIC50
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,CHEMBL608533,6.92,pKd
COc1cccc2C(=O)NC(=Nc12)c3ccc(Br)cc3,CHEMBL3827963,6.98,pIC50
O=C(CCc1ccccc1)N(CC2=Nc3ccccc3C(=O)N2)Cc4cccs4,CHEMBL2419711,6.98,pIC50
CC(C)CC(=O)Nc1nnc2SCCn12,CHEMBL1707591,6.99,pIC50
Br.Cc1cccc2C(=O)NC(=Nc12)c3ccc(CN)cc3,CHEMBL3099815,7.0,pIC50
Brc1ccc(cc1)C2=Nc3ccccc3C(=O)N2,CHEMBL2058057,7.0,pIC50
Cc1cccc2N(Cc3cccc(c3C#N)C(F)(F)F)C(=O)N(C[C@@H]4CC[C@@H](CC4)C(=O)O)C(=O)c12,CHEMBL3109649,7.0,pIC50
CC(C)C1CC2=C(CO1)c3ncccc3C(=O)N2,CHEMBL3736005,7.03,pIC50
O=C(CCCC1CCCCC1)Nc2nnc3SCCn23,CHEMBL2425804,7.05,pIC50
COc1cccc2c(O)nc(nc12)c3ccc(cc3)C(F)(F)F,CHEMBL123798,7.06,pIC50
O=C(CCc1occc1)Nc2nnc3SCCn23,CHEMBL2425816,7.06,pIC50
COc1ccc(cc1)C2=NC3=C(COCC3)C(=O)N2,CHEMBL2419900,7.07,pIC50
Oc1ccc(cc1)c2nc(O)c3cccc(O)c3n2,CHEMBL127335,7.07,pIC50
Brc1ccc(cc1)C2=NC3=C(COCC3)C(=O)N2,CHEMBL2419898,7.09,pIC50
Cc1c(F)ccc2N(Cc3cccc(c3C#N)C(F)(F)F)C(=O)N(C[C@@H]4CC[C@H](CC4)C(=O)O)C(=O)c12,CHEMBL3109648,7.1,pIC50
Cc1ccc(cc1)C2=Nc3c(sc4ccccc34)C(=O)N2,CHEMBL3344071,7.1,pIC50
OC(=O)[C@@H]1CC[C@@H](CN2C(=O)N(Cc3cccc(c3C#N)C(F)(F)F)c4ccccc4C2=O)CC1,CHEMBL3109647,7.1,pIC50
Fc1ccc(CCC(=O)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4)cc1,CHEMBL2419692,7.11,pIC50
FC(F)(F)c1ccc(cc1)C2=NC3=C(COCC3)C(=O)N2,CHEMBL2419893,7.13,pIC50
CC(C)c1ccc(cc1)C2=CC(=O)c3ccccc3O2,CHEMBL2431867,7.14,pIC50
O=C1NC(=NC2=C1CCCC2)N3CCN(Cc4ccncc4)CC3,CHEMBL3593715,7.15,pIC50
O=C(Nc1nnc2SCCn12)C3CCCCC3,CHEMBL2425797,7.16,pIC50
Fc1ccccc1CCC(=O)N(CC2=NC3=C(COCC3)C(=O)N2)Cc4cccs4,CHEMBL2419718,7.19,pIC50
CS(=O)(=O)c1ccc(cc1)C2=NC3=C(COCC3)C(=O)N2,CHEMBL2419709,7.2,pIC50
O=C(Nc1cccc2cccnc12)c3ccc(cc3)N4C(=O)[C@@H]5[C@@H]6C[C@H](C=C6)[C@@H]5C4=O,CHEMBL2016633,7.2,pIC50
COc1cccc2C(=O)NC(=Nc12)c3ccc(Cl)cc3,CHEMBL3098936,7.21,pIC50
Cc1ccc(cc1)C2=NC3=C(COCC3)C(=O)N2,CHEMBL2419896,7.21,pIC50
