SMILES,ChEMBL,target,metric
C[C@@H](O)[C@H](N)C(=O)NCc1cccc(c1)c2ccc3c(N)nc(Cl)nc3c2,CHEMBL2316962,6.03,pKi
CC(C)[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)\C=C\c1cccc(c1)c2cc(N)ncn2,CHEMBL2316967,6.22,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(N)nc(Cl)cc3c2,CHEMBL2311922,6.33,pKi
C[C@@H](O)[C@H](N)C(=O)NNc1cccc(c1)c2ccc3c(N)nc(Cl)nc3c2,CHEMBL2316963,6.4,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3C(=O)NCc3c2,CHEMBL2311928,7.04,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(N)nc(C)nc3c2,CHEMBL2311921,7.14,pKi
CC[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)\C=C\c1cccc(c1)c2cc(N)ncn2,CHEMBL2316966,7.5,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL1163068,7.82,pIC50
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)OC[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)n2cnc3c(N)ncnc23,CHEMBL2311917,7.87,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(N)nc(N)nc3c2,CHEMBL2311919,8.0,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)N1CCc2ccc(cc2C1)c3ncnc4[nH]ccc34,CHEMBL2311927,8.28,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)\C=C\c1cccc(c1)c2cc(N)ncn2,CHEMBL2311925,8.39,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(N)ncnc3c2,CHEMBL2311918,8.48,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1ccc2ccc(cc2c1)c3cc(N)ncn3,CHEMBL2311924,8.52,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1ccc2ccc(cc2c1)c3ncnc4[nH]ccc34,CHEMBL2311926,8.75,pKi
C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(N)nc(Cl)nc3c2,CHEMBL2311920,8.92,pKi
