SMILES,ChEMBL,target,metric
NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1,pemetrexed,6.4685,pIC50
CCc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Br)cc3,CHEMBL371666,6.0,pIC50
CN(CCN(CC1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)C(=O)NC1=O)c3c(C)nc(N)nc3O)c4ccc(cc4)C(=O)NC(CCC(=O)O)C(=O)O,CHEMBL2368784,6.0,pIC50
CN(Cc1ccc2NC(=NC(=O)c2c1)C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL225071,6.0,pIC50
CN(Cc1cnc2NC(=NC(=O)c2n1)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL158990,6.0,pKi
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Cl)cc3,CHEMBL142176,6.0,pIC50
Cc1nc(N)nc2[nH]cc(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c12,CHEMBL439973,6.0,pIC50
Cc1sc2N=C(N)NC(=O)c2c1Sc3cc(Cl)cc(Cl)c3,CHEMBL492839,6.0,pIC50
Nc1nc(O)c2c(CCc3ccc(Br)cc23)n1,CHEMBL306308,6.0,pIC50
Nc1nc(O)c2c(ccc3ccc(Cl)cc23)n1,CHEMBL306775,6.0,pIC50
ONC1=NC(=O)N(C=C1)[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2,CHEMBL1161227,6.0,pKd
CC1=Nc2ccc(CN(CCCO)c3ccc(cc3F)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL104670,6.01,pIC50
Cc1nc(O)c2c(Sc3ccncc3)cccc2n1,CHEMBL163096,6.02,pKi
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3nnc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL1097931,6.03,pIC50
CN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(C)c3,CHEMBL320470,6.03,pIC50
Cc1ccccc1[S+]([O-])c2ccc(cc2C(F)(F)F)N(CC#C)Cc3ccc4nc(C)nc(O)c4c3,CHEMBL157702,6.04,pKi
Cc1ncc([N+](=O)[O-])n1CCSc2oc(nn2)c3ccnc(N)c3,CHEMBL2348566,6.04,pIC50
