SMILES,ChEMBL,target,metric
CC1CC(NCc2ccccc2)C(O)C(O)C1O,CHEMBL96392,6.0,pIC50
C[C@@H]1C[C@@H](N)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2114287,6.0,pKi
CCCCNC1CC(C)C(O)C(O)C1O,CHEMBL319008,6.04,pIC50
CCCCCC[C@H]1N[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,CHEMBL2442775,6.05,pIC50
CC1N=C(NN)[C@@H](O)[C@H](O)C1O,CHEMBL313893,6.09,pKi
CCCCCCCCCCN[C@H]1CC(C)[C@@H](O)C(O)[C@@H]1O,CHEMBL116366,6.16,pIC50
CC1C(O)[C@@H](O)C(O)C1NCc2ccccc2,CHEMBL85171,6.17,pKi
C[C@H]1[C@@H](O)[C@@H](O)[C@H](O)CN1CCCCCCNS(=O)(=O)c2cccc3c(cccc23)N(C)C,CHEMBL205277,6.3,pKi
C[C@@H]1NC[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL314772,6.39,pIC50
CCCCCCCNC1CC(C)C(O)C(O)C1O,CHEMBL95110,6.57,pIC50
CC1CC(NCCc2ccccc2)C(O)C(O)C1O,CHEMBL316609,6.62,pIC50
CCCCCCCCCNC1CC(C)C(O)C(O)C1O,CHEMBL95106,6.62,pIC50
CC1CC(N)[C@@H](O)[C@H](O)C1O,CHEMBL314277,6.64,pKi
CC1SC(O[C@@H]2C(O)C(O)C(CO)OC2OCC=C)C(O)[C@H](O)C1O,CHEMBL85817,6.68,pKi
CC1NC(CN)(CO)C(O)C(O)C1O,CHEMBL326403,6.69,pIC50
CC1NC(CO)(CNC(=O)CNC(=O)OCc2ccccc2)C(O)C(O)C1O,CHEMBL115930,6.7,pIC50
C[C@@H]1C[C@H](N)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2115269,6.7,pKi
C[C@@H]1N[C@H](CC(=O)Nc2c(C)cc(C)cc2C)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442785,6.7,pIC50
C[C@@H]1N[C@H](CC(=O)NCc2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442778,6.72,pIC50
CCNC1CC(C)C(O)C(O)C1O,CHEMBL316082,6.75,pKi
C[C@@H]1N[C@H](CC(=O)Nc2c(F)cc(F)cc2F)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442774,6.75,pIC50
CC1NC(CO)(CNC(=O)CN)C(O)C(O)C1O,CHEMBL115828,6.77,pIC50
CC1N=CC(O)C1O,CHEMBL85846,6.8,pKi
CCCCNC(=O)C[C@H]1N[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,CHEMBL2442780,6.89,pIC50
CC1NC(CO)(C#N)C(O)C(O)C1O,CHEMBL114487,6.91,pIC50
CCCCCCCCNC1CC(C)C(O)C(O)C1O,CHEMBL314757,6.96,pIC50
C[C@@H]1N[C@H](CCCc2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442776,7.07,pIC50
C[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL87474,7.1,pKi
C[C@@H]1N[C@H](CC(=O)Nc2ccccc2C)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442781,7.24,pIC50
CC1NC(CO)(CNC(=O)[C@@H](N)CO)C(O)C(O)C1O,CHEMBL539176,7.25,pIC50
C[C@@H]1N[C@H](CC(=O)Nc2ccc(F)cc2F)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442773,7.46,pIC50
C[C@@H]1N[C@H](CC(=O)Nc2cccc(F)c2)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442787,7.51,pIC50
C[C@@H]1N[C@H](CC(=O)Nc2cccc(C)c2)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442782,7.52,pIC50
C[C@@H]1N[C@H](CC(=O)Nc2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442777,7.52,pIC50
COc1ccc(NC(=O)C[C@H]2N[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,CHEMBL2442779,7.59,pIC50
C[C@@H]1N[C@H](CC(=O)Nc2ccc(C)cc2C)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442784,7.72,pIC50
CC1CN[C@@H](N)[C@H](O)C1O,CHEMBL85218,7.8,pKi
C[C@@H]1N[C@H](CC(=O)Nc2ccc(C)cc2)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442783,7.82,pIC50
C[C@@H]1N[C@H](CC(=O)Nc2ccc(F)cc2)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442788,7.85,pIC50
CC1C(O)C(O)C(O)C(CO)N1CC=O,CHEMBL114103,7.96,pIC50
CC1NC(C(O)C1O)S(=O)(=O)O,CHEMBL84647,8.0,pKi
C[C@@H]1N[C@H](CC(=O)Nc2ccccc2F)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2442786,8.1,pIC50
CC1N=C(CO)[C@@H](O)[C@H](O)C1O,CHEMBL85773,8.16,pKi
CC1NC[C@@H](O)[C@H](O)C1O,CHEMBL87463,8.22,pKi
CC1NC(CO)[C@@H](O)[C@@H](O)[C@@H]1O,CHEMBL69294,8.24,pKi
