SMILES,ChEMBL,target,metric
COc1ccc(cc1OC)[C@@H]2[C@@H](C(C)C)[C@H]3[C@@H]2C4=C(OC3(C)C)c5ccccc5NC4=O,CHEMBL3261026,6.0,pEC50
COc1ccc(cc1OC)[C@@H]2[C@@H](C3CC3)[C@H]4[C@@H]2C5=C(CC4(C)C)c6ccccc6N(C)C5=O,CHEMBL3261255,6.0,pEC50
CC[C@@H]1[C@H]([C@@H]2[C@H]1C(C)(C)OC3=C2C(=O)Nc4ccccc34)c5cc(OC)c(OC)c(OC)c5,CHEMBL3261020,6.1,pEC50
COc1cc(cc(OC)c1OC)[C@@H]2[C@@H](C(C)C)[C@H]3[C@@H]2C4=C(OC3(C)C)c5ccccc5NC4=O,CHEMBL3261022,6.1,pEC50
COc1cc(cc(OC)c1OC)[C@@H]2[C@@H](C3CC3)[C@H]4[C@@H]2C5=C(OC4(C)C)c6ccccc6N(C)C5=O,CHEMBL3261254,6.1,pEC50
COc1ccc(cc1OCCCO)[C@@H]2[C@@H](C3CC3)[C@H]4[C@@H]2C5=C(OC4(C)C)c6ccccc6NC5=O,CHEMBL3261030,6.1,pEC50
COc1cc(cc(OC)c1OC)[C@@H]2[C@@H](C3CC3)[C@H]4[C@@H]2C5=C(OC4(C)C)c6ccccc6NC5=O,CHEMBL3261032,6.2,pEC50
COc1cc(cc(OC)c1OC)[C@@H]2[C@@H](C3CCCC3)[C@H]4[C@@H]2C5=C(OC4(C)C)c6ccccc6NC5=O,CHEMBL3261035,6.2,pEC50
COc1ccc(cc1OC)[C@@H]2[C@@H](C3CC3)[C@H]4[C@@H]2C5=C(OC4(C)C)c6ccccc6NC5=O,CHEMBL3261031,6.2,pEC50
Cl.CCCCCC(=O)O[C@@H]1[C@@H](Cn2cc(CN(CCN)CCN)nn2)O[C@H](O[C@H]3O[C@H](Cn4cc(CN(CCN)CCN)nn4)[C@@H](OC(=O)CCCCC)[C@H](OC(=O)CCCCC)[C@H]3OC(=O)CCCCC)[C@@H](OC(=O)CCCCC)[C@H]1OC(=O)CCCCC,CHEMBL3360821,6.22,pIC50
Cl.CCCCCC(=O)O[C@@H]1[C@@H](Cn2cc(CNC(=S)NCCN)nn2)O[C@H](O[C@H]3O[C@H](Cn4cc(CNC(=S)NCCN)nn4)[C@@H](OC(=O)CCCCC)[C@H](OC(=O)CCCCC)[C@H]3OC(=O)CCCCC)[C@@H](OC(=O)CCCCC)[C@H]1OC(=O)CCCCC,CHEMBL3360820,6.22,pIC50
COc1ccc(cc1OCCO)[C@@H]2[C@@H](C(C)C)[C@H]3[C@@H]2C4=C(OC3(C)C)c5ccccc5NC4=O,CHEMBL3261029,6.3,pEC50
COc1ccc(cc1OC)[C@@H]2[C@@H](C3CCCC3)[C@H]4[C@@H]2C5=C(OC4(C)C)c6ccccc6NC5=O,CHEMBL3261034,6.41,pEC50
CCOC(=O)C1=CCCCCC1S(=O)(=O)Nc2ccc(F)cc2Cl,CHEMBL375048,6.62,pIC50
CCOC(=O)C1=CCCCC1S(=O)(=O)Nc2ccc(Cl)cc2F,CHEMBL224563,6.8,pIC50
CCOC(=O)C1=CCCC1S(=O)(=O)Nc2ccc(F)cc2Cl,CHEMBL224199,6.96,pIC50
CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](O[C@H]2O[C@H](CO)[C@@H](OC(=O)C[C@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](O)[C@@H]2OC)O[C@H](CO)[C@H]1OP(=O)(O)O,CHEMBL3354641,7.51,pEC50
CCOC(=O)C1=CCCCC1S(=O)(=O)Nc2ccc(F)cc2Cl,CHEMBL426184,8.5,pIC50
CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](O[C@H]2O[C@H](COP(=O)(O)O)[C@@H](OC(=O)C[C@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](O)[C@@H]2OC)O[C@H](CO)[C@H]1OP(=O)(O)O,CHEMBL3354639,9.4,pEC50
CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](O[C@H]2O[C@H](COP(=O)(O)O)[C@@H](OC(=O)C[C@H](CCCCCCCCCCC)OC(=O)CCCCCCCCC)[C@H](O)[C@@H]2OC)O[C@H](CO)[C@H]1OP(=O)(O)O,CHEMBL3354640,10.1,pEC50
