SMILES,ChEMBL,target,metric
CC(N)CC1=CC=C(O)C=C1,hydroxyamfetamine,5.52870846,pEC50
NCCC1=CC=C(O)C=C1,tyramine,7.16,pEC50
CN[C@H](C)CC1=CC=CC=C1,levmetamfetamine,5.48,pEC50
C(N(C1CC1)c2ccccc2)c3c[nH]cn3,CHEMBL2206406,7.0,pKi
CC(C)N(Cc1c[nH]cn1)c2nccc(Cl)n2,CHEMBL2206389,7.0,pKi
NC(=N)N\N=C\c1c(Cl)cccc1Cl,CHEMBL420,7.05,pEC50
CCN(Cc1c[nH]cn1)c2nccc(OC)n2,CHEMBL2206390,7.08,pKi
Cc1cccc(C)c1CC2=NCCN2,CHEMBL71033,7.09,pKi
COc1ccc(cc1)N(Cc2c[nH]cn2)C(C)C,CHEMBL2206382,7.1,pKi
C(N(c1ccccc1)c2ccccc2)c3c[nH]cn3,CHEMBL2206405,7.16,pKi
CC(C)N(Cc1ncc[nH]1)c2cccc(Cl)c2,CHEMBL2206371,7.17,pKi
Cc1ccccc1[C@H]2COC(=N2)N,CHEMBL3781461,7.17,pEC50
NC1=N[C@H](CO1)c2ccccc2,CHEMBL3781899,7.17,pEC50
C(Nc1ccccc1)c2c[nH]cn2,CHEMBL2206401,7.19,pKi
CCN(C[C@H]1COC(=N1)N)c2ccccc2,CHEMBL3779993,7.23,pEC50
CCN(Cc1c[nH]cn1)c2ccccc2,CHEMBL2206403,7.32,pKi
C[C@@]1(COC(=N1)N)c2ccc(Br)cc2,CHEMBL3684833,7.39,pEC50
CC(C)N(Cc1c[nH]cn1)c2ccccc2Cl,CHEMBL2206889,7.4,pKi
Cc1cccc(C)c1Cc2ncc[nH]2,CHEMBL2206396,7.44,pKi
C(N1CCc2ccccc12)c3c[nH]cn3,CHEMBL2206407,7.46,pKi
CC(C)(C)N(Cc1c[nH]cn1)c2cccc(Cl)c2,CHEMBL2206386,7.48,pKi
C(N(Cc1c[nH]cn1)c2ccccc2)c3ccccc3,CHEMBL348369,7.5,pKi
NC1=N[C@H](CO1)c2ccc(Cl)c(Cl)c2,CHEMBL3680154,7.51,pEC50
CCN(C[C@H]1COC(=N1)N)c2cccc(Cl)c2,CHEMBL3780932,7.54,pEC50
CN(C[C@H]1COC(=N1)N)c2cccc(Cl)c2,CHEMBL3781589,7.57,pEC50
NC1=N[C@@H](CCCc2ccccc2)CO1,CHEMBL3780421,7.57,pEC50
NC1=N[C@@H](CCc2ccccc2)CO1,CHEMBL3680146,7.57,pEC50
CCc1cc(Cl)ccc1[C@H]2COC(=N2)N,CHEMBL3684912,7.59,pEC50
CCc1cccc(CC)c1Cc2ncc[nH]2,CHEMBL2206397,7.62,pKi
NC1=N[C@H](CO1)c2ccccc2Cl,CHEMBL3680116,7.64,pEC50
CC(C)N(Cc1c[nH]cn1)c2ccccc2,CHEMBL2206404,7.66,pKi
NC1=N[C@H](CO1)c2cccc(Cl)c2,CHEMBL3684805,7.68,pEC50
C(c1ccccc1)c2c[nH]cn2,CHEMBL494421,7.7,pKi
CC(C)N(Cc1c[nH]cn1)c2ccccc2F,CHEMBL2206378,7.75,pKi
CC[C@@H](C[C@H]1COC(=N1)N)c2ccccc2,CHEMBL3684869,7.75,pEC50
NC1=N[C@@H](CCc2cccc(Cl)c2)CO1,CHEMBL3684834,7.75,pEC50
Cc1c(F)cccc1[C@H]2COC(=N2)N,CHEMBL3781694,7.77,pEC50
NC1=N[C@]2(CCc3cccc(Cl)c3C2)CO1,CHEMBL3780993,7.82,pEC50
CC(C)N(Cc1c[nH]cn1)c2ccc(F)cc2,CHEMBL2206380,7.89,pKi
C(N1CCCc2ccccc12)c3c[nH]cn3,CHEMBL2206408,7.92,pKi
CC(C)N(Cc1c[nH]cn1)c2cccc(F)c2,CHEMBL2206379,7.92,pKi
COc1cccc(n1)N(Cc2c[nH]cn2)C(C)C,CHEMBL2206388,7.92,pKi
NC1=N[C@H](CO1)c2ccc(Cl)cc2C3CC3,CHEMBL3684915,7.92,pEC50
CN(Cc1c[nH]cn1)c2cccc(Cl)c2,CHEMBL2206384,7.96,pKi
CN(Cc1c[nH]cn1)c2ccccc2,CHEMBL2206402,7.96,pKi
Cc1cc(Cl)ccc1[C@H]2COC(=N2)N,CHEMBL3781675,7.96,pEC50
NC1=N[C@@H](CCOc2ccccc2)CO1,CHEMBL3652684,8.05,pEC50
CC(C)N(Cc1c[nH]cn1)c2ccc(Cl)cc2,CHEMBL2206375,8.22,pKi
COc1cccc(c1)N(Cc2c[nH]cn2)C(C)C,CHEMBL2206381,8.3,pKi
CC(C)N(Cc1c[nH]cn1)c2cc(Cl)cc(Cl)c2,CHEMBL2206377,8.4,pKi
CC(C)N(Cc1c[nH]cn1)c2ccc(Cl)c(Cl)c2,CHEMBL2206376,8.4,pKi
CC(C)N(Cc1c[nH]cn1)c2cccc(Cl)c2,CHEMBL2206890,8.4,pKi
C(Cc1c[nH]cn1)c2ccccc2,CHEMBL2206400,8.7,pKi
CCN(Cc1c[nH]cn1)c2cccc(Cl)c2,CHEMBL2206385,8.7,pKi
