SMILES,ChEMBL,target,metric
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,levomenthol,4.5999999,pEC50
OC(=O)c1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)c3ncccc3Cl,CHEMBL3353578,5.01,pIC50
OC1(COc2ccc(C#N)c(F)c2)CN(C1)S(=O)(=O)c3ccc(Cl)cc3Cl,CHEMBL3218118,5.02,pIC50
Cc1cc2[nH]ncc2cc1c3ccccc3C(F)(F)F,CHEMBL3298923,5.04,pIC50
FC(F)(F)c1ccccc1c2ccc3[nH]ncc3c2,CHEMBL3298242,5.05,pIC50
CC(C)N([C@@H]1CCC[C@H](N)C1)C(=O)c2ccccc2OCc3ccccc3,CHEMBL2442031,5.06,pIC50
OC(=O)c1ccc(cc1)S(=O)(=O)N(Cc2ccccn2)c3ncc(cc3Cl)C(F)(F)F,CHEMBL3352829,5.08,pIC50
CCN(C1CCCC(N)C1)C(=O)c2ccccc2OCc3ccc(cc3)C#N,CHEMBL2442010,5.17,pIC50
FC(F)(F)Oc1cc2[nH]ncc2cc1c3ccccc3C(F)(F)F,CHEMBL3299024,5.19,pIC50
COc1ccc(cc1)C(C)N(Cc2cccc(c2)C(=O)O)C(=O)c3cnc4ccccc4c3,CHEMBL3577901,5.21,pIC50
OC1(COc2ccc(cc2)C#N)CCN(CC1)S(=O)(=O)c3ccc(Cl)cc3Cl,CHEMBL3218114,5.32,pIC50
FC(F)(F)c1ccccc1c2cc3cn[nH]c3cc2OCC4CC4,CHEMBL3299022,5.36,pIC50
OC(=O)c1ccc(cc1)S(=O)(=O)N(CCN2CCOCC2)c3ncc(cc3Cl)C(F)(F)F,CHEMBL3353591,5.43,pIC50
CC(N(Cc1cccc(c1)C(=O)O)C(=O)c2ccc3OCCc3c2)c4ccc(F)cc4,CHEMBL3577884,5.44,pIC50
C[C@@H](N(Cc1ccc(F)c(c1)C(=O)O)C(=O)c2cnc3ccccc3c2)c4ccc(F)cc4,CHEMBL3577891,5.48,pIC50
CN([C@@H]1CCC[C@H](N)C1)C(=O)c2ccccc2OCc3ccccc3,CHEMBL2442036,5.5,pIC50
OC(=O)c1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)c3ccc(cn3)C(F)(F)F,CHEMBL3353586,5.53,pIC50
OC(=O)c1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)c3ncc(cc3C#N)C(F)(F)F,CHEMBL3353585,5.61,pIC50
