SMILES,ChEMBL,target,metric
NC(=N)c1cccc(C[C@H](NS(=O)(=O)c2cccc(c2)c3ccc(Cl)cc3Cl)C(=O)N4CCC(CC4)NC(=O)NC5CCCCC5)c1,CHEMBL3219103,6.03,pKi
NCCC(=O)Nc1cccc(c1)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCC(CC3)NC(=O)NC4CCCCC4,CHEMBL3219097,6.1,pKi
CNC(=O)CCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(OC)cc4OC,CHEMBL3219086,6.11,pKi
CNC(=O)CCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4cccc(Cl)c4Cl,CHEMBL3219080,6.13,pKi
NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(Cl)c(Cl)c4,CHEMBL3219083,6.24,pKi
CCNC(=O)NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(NC(=O)CCN)c3,CHEMBL3219092,6.34,pKi
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC3CCCCC3)NS(=O)(=O)Cc4ccccc4)cc1.OC(=O)C(F)(F)F,CHEMBL1215085,6.34,pKi
CCOc1ccc(c(Cl)c1)c2cccc(c2)S(=O)(=O)N[C@@H](Cc3cccc(c3)C(=N)N)C(=O)N4CCC(CCN)CC4,CHEMBL3219085,6.4,pKi
CNC(=O)CCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(Cl)cc4Cl,CHEMBL3219078,6.46,pKi
COc1ccc(c(OC)c1)c2cccc(c2)S(=O)(=O)N[C@@H](Cc3cccc(c3)C(=N)N)C(=O)N4CCC(CCN)CC4,CHEMBL3219087,6.51,pKi
NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4cccc(Cl)c4Cl,CHEMBL3219081,6.68,pKi
NC(=N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(cc3)C(=N)N.OC(=O)C(F)(F)F,CHEMBL1215083,6.72,pKi
CNC(=O)NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(OC)cc4OC,CHEMBL3219100,6.75,pKi
NC(=N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(cc3)C(=N)N,CHEMBL1229259,6.77,pKi
NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(Cl)cc4Cl,CHEMBL3219079,6.96,pKi
CNC(=O)NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(Cl)cc4Cl,CHEMBL3219101,7.14,pKi
