SMILES,ChEMBL,target,metric
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,diclofenac,6.0,pKd
O=C1NC(=O)\C(=C\c2cccc3ccccc23)\S1,CHEMBL1348329,6.08,pIC50
FC(F)(F)c1cccc(\C=C\2/SC(=O)NC2=O)c1,CHEMBL183906,6.09,pIC50
Oc1cc(cc(c1O)[N+](=O)[O-])C(=O)c2ccccc2F,CHEMBL1256291,6.12,pIC50
Oc1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],CHEMBL168276,6.13,pIC50
Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2,CHEMBL28,6.19,pIC50
O=C1C2C(Oc3[nH]c4ccccc4c3C2(C#N)C#N)c5ccccc15,CHEMBL3695462,6.23,pIC50
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,CHEMBL898,6.24,pKd
Cc1ccc(O)c(Nc2ccccc2C(=O)O)c1Cl,CHEMBL3695461,6.3,pIC50
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,CHEMBL509,6.32,pKd
CC1(C)NC(=O)C(=C(SCc2ccccc2)S1)C#N,CHEMBL1835582,6.36,pIC50
CCOc1ccccc1c2onc(n2)c3ccncc3,CHEMBL1581319,6.48,pIC50
COc1c(Br)cc(\C=C\2/SC(=O)NC2=O)cc1Br,CHEMBL591504,6.52,pIC50
Cc1n[nH]c(C)c1CCCOc2ccccc2F,CHEMBL3695460,6.53,pIC50
OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,CHEMBL63323,6.54,pIC50
COc1ccc(\C=N\n2c(S)nnc2C(F)(F)F)cc1O,CHEMBL3695459,6.56,pIC50
Cc1c(Cl)cccc1Nc2ccccc2C(=O)O,CHEMBL121626,6.82,pKd
Clc1ccc(Cl)c(C(=O)Nc2nnc[nH]2)c1Cl,CHEMBL394034,6.92,pKd
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,CHEMBL457,7.0,pKd
COc1cc(C=O)ccc1Oc2ccccc2,CHEMBL241453,7.06,pKd
Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3,CHEMBL151,7.16,pKd
Oc1ccccc1c2oc(S)nn2,CHEMBL240165,7.38,pKd
OC(=O)c1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,CHEMBL240808,7.57,pKd
OC(=O)c1ccc(Oc2ccccc2)c(O)c1,CHEMBL241454,7.57,pKd
Oc1cc(C=O)ccc1Oc2ccc(Cl)cc2Cl,CHEMBL240804,7.86,pKd
Oc1cc(CCl)ccc1Oc2ccc(Cl)cc2Cl,CHEMBL240805,8.24,pKd
OCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,CHEMBL240806,9.52,pKd
COc1cc(ccc1Oc2ccc(Cl)cc2Cl)C(=O)O,CHEMBL438498,9.7,pKd
