SMILES,ChEMBL,target,metric
NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1,pemetrexed,6.42,pKi
CO[C@H](CCCC1=C(N)N=C(N)NC1=O)c2ccc(cc2)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL452324,6.07,pKi
Nc1nc(N)c(SCCCc2cccc(c2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)n1,CHEMBL84045,6.08,pKi
NC1=Nc2[nH]c(CCCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL590740,6.2,pIC50
NC1=NC(=C(CCCC(C(=O)c2oc3ccccc3n2)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1)N,CHEMBL257691,6.22,pKi
NC1=NC2=C(C[C@@H](CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CN2)C(=O)N1,CHEMBL34412,6.66,pIC50
Nc1nc(O)c2CC(CCc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)CNc2n1,CHEMBL170101,6.66,pIC50
CS[C@H](CCCC1=C(N)N=C(N)NC1=O)c2ccc(cc2)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL453090,6.68,pKi
CS[C@@H](CCCC1=C(N)N=C(N)NC1=O)c2ccc(cc2)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL452322,6.75,pKi
Nc1nc(N)c(CCCNc2cnc(s2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)n1,CHEMBL294768,6.85,pIC50
Nc1nc(N)c(CCCC(C(=O)C(F)(F)F)c2ccc(cc2)C(=O)NC(CCc3nnn[nH]3)C(=O)O)c(O)n1,CHEMBL424683,6.89,pKi
Nc1nc(N)c2c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)coc2n1,CHEMBL3628347,7.0,pIC50
Nc1nc(N)c2c(CCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)coc2n1,CHEMBL3628345,7.09,pIC50
NC1=Nc2[nH]c(CCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL1834488,7.17,pKi
NC1=Nc2[nH]cc(CCCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c2C(=O)N1,CHEMBL3409335,7.21,pIC50
Nc1nc(N)c(SCCCc2ccc(cc2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)n1,CHEMBL84904,7.42,pKi
Nc1nc(N)c(SCCCc2ccc(s2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)n1,CHEMBL85871,7.46,pKi
Nc1nc(O)c2SC(CCc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)CNc2n1,CHEMBL315076,7.46,pKi
NC1=Nc2sc(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL522455,7.49,pIC50
Cc1cc(sc1CCCSc2c(N)nc(N)nc2O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL315627,7.5,pKi
Nc1nc(N)c(CCCC(C(=O)C(F)(F)F)c2ccc(cc2)C(=O)NC(CCC(=O)O)C(=O)O)c(O)n1,CHEMBL379094,7.52,pKi
Nc1nc(N)c(SCC2CCc3cc(sc3C2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)n1,CHEMBL309415,7.52,pKi
Nc1nc(O)c2SC(CCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CNc2n1,CHEMBL84163,7.55,pKi
NC1=Nc2sc(CCCCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL491298,7.58,pIC50
NC1=Nc2sc(CCCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL491129,7.63,pIC50
NC1=Nc2[nH]c(CCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL192632,7.75,pIC50
Cc1cc(sc1CCC2CNc3nc(N)nc(O)c3S2)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL82390,7.82,pKi
NC1=NC(=C(CCCC(C(=O)C(F)(F)F)c2ccc(cc2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1)N,CHEMBL451818,7.82,pKi
CCc1cc(CCCSc2c(N)nc(N)nc2O)sc1C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL84605,7.85,pKi
NC1=NC(=C(CCCC(C=O)c2ccc(cc2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1)N,CHEMBL451819,7.85,pKi
NC1=Nc2sc(CCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL490934,7.86,pIC50
NC1=Nc2sc(CCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL491104,7.88,pIC50
NC1=Nc2[nH]c(CCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3628344,7.89,pKi
NC1=Nc2[nH]c(CCCc3ccc(s3)C(=O)N[C@@H](CCCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3335605,7.92,pIC50
NC1=Nc2[nH]c(CCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3086867,8.02,pIC50
NC1=Nc2[nH]c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3628346,8.04,pKi
Cc1cc(CCCSc2c(N)nc(N)nc2O)sc1C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL84935,8.07,pKi
NC1=Nc2[nH]c(CCCCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL526928,8.07,pIC50
NC1=Nc2[nH]c(CCCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL502528,8.14,pIC50
NC1=Nc2[nH]c(CCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL365307,8.17,pIC50
NC1=Nc2[nH]c(CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3086866,8.26,pIC50
Nc1nc(O)c2SC(CCc3cccc(c3)C(=O)NC(CCC(=O)O)C(=O)O)CNc2n1,CHEMBL82181,8.47,pKi
Nc1nc(O)c2SC(CCc3ccc(s3)C(=O)N[C@H](CCC(=O)O)C(=O)O)CNc2n1,CHEMBL85436,8.52,pKi
NC1=Nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3086865,8.54,pIC50
NC1=Nc2[nH]c(CCCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL2158682,8.69,pIC50
Cc1cc(sc1CCC2CNc3nc(N)nc(O)c3S2)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHEMBL82261,8.7,pKi
NC1=Nc2[nH]c(CCCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL2158681,8.75,pIC50
Nc1nc(O)c2NC(CCCc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)CNc2n1,CHEMBL279302,10.85,pIC50
