SMILES,ChEMBL,target,metric
Fc1ccc2c(\C=C\c3cccnc3)c[nH]c2c1,CHEMBL355606,6.06,pKi
Brc1cccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)c1,CHEMBL3628554,6.12,pIC50
Clc1cccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)c1,CHEMBL3628551,6.15,pIC50
Fc1ccc2c(\C=C\c3nnn[nH]3)c[nH]c2c1,CHEMBL1812545,6.21,pIC50
Cc1ccccc1Cn2nnc3C(=O)c4ccccc4C(=O)c23,CHEMBL1442185,6.25,pIC50
OC(=O)c1ccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)cc1,CHEMBL3628594,6.51,pIC50
COC1CCN(CC1)C(=O)c2ccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)cc2,CHEMBL3628603,6.68,pIC50
CCN(CC)C(=O)c1ccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)cc1,CHEMBL3628596,6.74,pIC50
CC(=O)N1CCN(CC1)C(=O)c2ccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)cc2,CHEMBL3628600,6.75,pIC50
OC(=O)c1cccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)c1,CHEMBL3628593,6.78,pIC50
CCN(CC)C(=O)Cc1ccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)cc1,CHEMBL3628604,6.84,pIC50
O=C(N1CCOCC1)c2ccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)cc2,CHEMBL3628601,6.94,pIC50
CN1CCN(CC1)C(=O)c2ccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)cc2,CHEMBL3628602,6.97,pIC50
CCN(CC)C(=O)c1cccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)c1,CHEMBL3628595,7.05,pIC50
CC(=O)N1CCN(CC1)C(=O)c2cccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)c2,CHEMBL3628597,7.23,pIC50
O=C(N1CCOCC1)c2cccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)c2,CHEMBL3628598,7.32,pIC50
CN1CCN(CC1)C(=O)c2cccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)c2,CHEMBL3628599,7.52,pIC50
