SMILES,ChEMBL,target,metric
CCOC(=O)[C@@H](N)CC1=CC=C(C=C1)C1=NC(N)=NC(O[C@H](C2=C(C=C(Cl)C=C2)N2C=CC(C)=N2)C(F)(F)F)=C1,telotristat ethyl,7.79587984,pIC50
COc1ccc(CNc2ccc(nn2)c3ccc(C[C@H](N)C(=O)O)cc3)cc1OC4CCCC4,CHEMBL511960,6.01,pIC50
N[C@@H](Cc1ccc(cc1)C(=O)\N=C(/N)\Nc2ccccc2c3ccccc3)C(=O)O,CHEMBL3800600,6.01,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(N)n3)N4CCC5(CCNC(C5)C(=O)O)CC4)C(F)(F)F,CHEMBL3764344,6.02,pIC50
N[C@@H](Cc1ccc(cc1)c2cnc(NCc3cocc3)cn2)C(=O)O,CHEMBL459441,6.02,pIC50
C[C@@H](Nc1nc(N)nc(n1)c2ccc(CC(N)C(=O)O)nc2)c3ccc4ccccc4c3,CHEMBL518792,6.05,pIC50
CN1CC2(CCN(CC2)c3cc(O[C@H](c4ccc(Cl)cc4n5ccc(C)n5)C(F)(F)F)nc(N)n3)C[C@H]1C(=O)O,CHEMBL3764524,6.06,pIC50
C[C@@H](Nc1nc(N)nc(n1)N2CCC(C[C@H](N)C(=O)O)CC2)c3ccc4ccccc4c3,CHEMBL460677,6.11,pIC50
Cc1ccn(n1)c2ccccc2CN\C(=N\C(=O)c3ccc(C[C@H](N)C(=O)O)cc3)\N,CHEMBL3800567,6.18,pIC50
CNc1nc(N[C@H](C)c2ccc3ccccc3c2)nc(n1)c4ccc(C[C@H](N)C(=O)O)cc4,CHEMBL584707,6.22,pIC50
N[C@@H](Cc1ccc(cc1)C(=O)\N=C(/N)\NCCCc2ccccc2c3ccccc3)C(=O)O,CHEMBL3798821,6.22,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(O)n3)N4CCC5(CC4)CNC(C5)C(=O)O)C(F)(F)F,CHEMBL3764555,6.23,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(N)n3)N4C5CCC4CN(C[C@H](N)C(=O)O)C5)C(F)(F)F,CHEMBL3765608,6.29,pIC50
N[C@@H](Cc1ccc(cc1)C(=O)\N=C(/N)\NCc2ccccc2n3cccn3)C(=O)O,CHEMBL3797650,6.3,pIC50
N[C@@H](Cc1ccc(cc1)c2nc(N)nc(NCc3ccccc3)n2)C(=O)O,CHEMBL576031,6.3,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(N)n3)N4CC5CCC4CN5C[C@H](N)C(=O)O)C(F)(F)F,CHEMBL3764208,6.35,pIC50
N[C@@H](Cc1ccc(cc1)C(=O)\N=C(/N)\NCc2cccc(c2)c3ccccc3)C(=O)O,CHEMBL3798788,6.39,pIC50
C[C@@H](Oc1cc(nc(N)n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc4ccccc4c3,CHEMBL470085,6.42,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(N)n3)N4CC5CCC(C4)C5NCC(=O)O)C(F)(F)F,CHEMBL3764448,6.44,pIC50
N[C@@H](Cc1ccc(cc1)C(=O)\N=C(/N)\NCc2ccccc2n3nccn3)C(=O)O,CHEMBL3798951,6.48,pIC50
N[C@@H](Cc1ccc(cc1)c2nc(N)nc(NC(c3ccc4ccccc4c3)C(F)(F)F)n2)C(=O)O,CHEMBL584068,6.48,pIC50
N[C@@H](Cc1ccc(cc1)c2nc(N)nc(OC(c3ccc4ccccc4c3)C(F)(F)F)n2)C(=O)O,CHEMBL568848,6.5,pIC50
CC(C)C(Nc1nc(N)nc(n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc4ccccc4c3,CHEMBL569515,6.6,pIC50
N[C@@H](Cc1ccc(cc1)c2cnc(NCC3CCCCC3)cn2)C(=O)O,CHEMBL459440,6.62,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(N)n3)N4CCCN(C[C@H](N)C(=O)O)CC4)C(F)(F)F,CHEMBL3765770,6.68,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3ccnc(c3)N4CCC5(CC4)CNC(C5)C(=O)O)C(F)(F)F,CHEMBL3765094,6.68,pIC50
C[C@@H](Nc1nc(N)nc(n1)c2ccc(CC(N)C(=O)O)c(F)c2)c3ccc4ccccc4c3,CHEMBL469479,6.7,pIC50
CC(Nc1ncnc(n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc4ccccc4c3,CHEMBL584286,6.72,pIC50
N[C@@H](Cc1ccc(cc1)c2cnc(NCc3cnc4ccccc4c3)cn2)C(=O)O,CHEMBL459855,6.72,pIC50
N[C@@H](Cc1ccc(cc1)c2cc(OC(c3ccc4ccccc4c3)C(F)(F)F)nc(N)n2)C(=O)O,CHEMBL470086,6.75,pIC50
N[C@@H](Cc1ccc(cc1)C(=O)\N=C(/N)\NCc2ccccc2c3ccccc3)C(=O)O,CHEMBL3798415,6.78,pIC50
N[C@@H](Cc1ccc(cc1)c2nc(N)nc(NCc3ccc(cc3)c4ccc(cc4)C(F)(F)F)n2)C(=O)O,CHEMBL569490,6.8,pIC50
CCC(Nc1nc(N)nc(n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc4ccccc4c3,CHEMBL572349,6.82,pIC50
N[C@@H](Cc1ccc(cc1)c2nc(N)nc(NCc3ccc(Oc4ccccc4)cc3)n2)C(=O)O,CHEMBL569480,6.82,pIC50
Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(Oc4ccccc4)n3)N5CCC6(CC5)CNC(C6)C(=O)O)C(F)(F)F,CHEMBL3764908,6.89,pIC50
N[C@@H](Cc1ccc(cc1)C(=O)\N=C(/N)\NCc2ccccc2N3CCC3)C(=O)O,CHEMBL3798356,6.89,pIC50
CC(C)CC(Nc1nc(N)nc(n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc4ccccc4c3,CHEMBL585141,6.92,pIC50
N[C@@H](Cc1ccc(cc1)c2nc(N)nc(NCC3CCCCC3)n2)C(=O)O,CHEMBL567037,6.92,pIC50
N[C@@H](Cc1ccc(cc1)c2nc(N)nc(NCc3ccc(cc3)C(F)(F)F)n2)C(=O)O,CHEMBL567453,6.92,pIC50
