SMILES,ChEMBL,target,metric
CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,losartan,8.43,pKd
CCCC1=NC2=C(C=C(C=C2C)C2=NC3=C(C=CC=C3)N2C)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C(O)=O,telmisartan,9.48,pIC50
CNCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(O)=O,saralasin,9.82,pKi
CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(=O)c5ccccc5,CHEMBL286134,7.0,pIC50
CCCCOC(=O)NS(=O)(=O)c1ccc(Cc2cccc(OC)c2)cc1c3ccc(Cn4c(CC)nc5c(C)cc(C)nc45)cc3,CHEMBL290214,7.0,pIC50
CCCc1nc(CN(Cc2ccccc2)C(=O)c3ccccc3)c(C(=O)O)n1Cc4ccc(cc4)c5ccccc5S(=O)(=O)NC(=O)OCC(C)C,CHEMBL71069,7.0,pIC50
CCCCN(Cc1ccccc1)Cc2nc(CCC)n(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)c2C(=O)O,CHEMBL304137,7.05,pIC50
CCCCN(Cc1nc(CCC)n(Cc2ccc(cc2)c3ccccc3S(=O)(=O)NC(=O)CCC)c1C(=O)O)C(=O)CCC,CHEMBL304620,7.05,pIC50
CCCCOC(=O)NS(=O)(=O)c1ccccc1c2ccc(Cn3c(CCC)nc(CN4CCN(CC4)c5ccccn5)c3C(=O)O)cc2,CHEMBL308361,7.05,pIC50
CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1c2ccc(CN3C(=Nc4ccc(NC(=O)c5ccccc5)cc4C3=O)CCC)cc2,CHEMBL409843,7.07,pKi
CCCCOC(=O)NS(=O)(=O)c1sc(CCOC)cc1c2ccc(Cn3ccnc3)cc2,CHEMBL217752,7.07,pKi
CCCCS(=O)(=O)NC(=O)c1sc(CC(C)C)cc1c2ccc(Cn3ccnc3)cc2,CHEMBL386718,7.1,pKi
CCCc1nc(CN2CCN(CC2)c3ccc(F)cc3)c(C(=O)O)n1Cc4ccc(cc4)c5ccccc5c6nn[nH]n6,CHEMBL306216,7.1,pIC50
CCCc1nc(CN2CCN(CC2)c3ncccn3)c(C(=O)O)n1Cc4ccc(cc4)c5ccccc5c6nn[nH]n6,CHEMBL309165,7.1,pIC50
CCCc1nc2c(C)cc(NC(=O)CC)cc2n1Cc3ccc(cc3)c4ccccc4C(=O)O,CHEMBL2435823,7.11,pIC50
CCCc1nc2c(C)cc(NC(=O)Cc3ccccc3)cc2n1Cc4ccc(cc4)c5ccccc5C(=O)O,CHEMBL2435827,7.11,pIC50
CO\C(=C/1\NC(=O)[C@@H](NC(=O)c2csc(n2)c3cc(O)c(nc3c4csc(n4)[C@@H]5COC(=O)c6c7CO[C@@H]([C@H](NC(=O)c8csc1n8)c9nc(cs9)C(=O)N5)[C@H](O[C@H]%10C[C@](C)(O)[C@@H]([C@H](C)O%10)N(C)C)C(=O)OCc%11cccc(c7%11)n6O)c%12nc(cs%12)C(=O)NCCNC(=O)CN(C)C)[C@@H](C)O)\C,CHEMBL507053,7.11,pIC50
CCCCS(=O)(=O)NS(=O)(=O)c1sc(CC(C)C)cc1c2ccc(Cn3ccnc3)cc2,CHEMBL385714,7.12,pKi
