SMILES,ChEMBL,target,metric
CN1CCN(CC2=CC=C(NC(=O)C3=CC=C(C)C(=C3)C#CC3=CN=C4C=CC=NN34)C=C2C(F)(F)F)CC1,ponatinib,9.43179798,pIC50
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,dasatinib,9.60000038,pIC50
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1,imatinib,8.96,pKd
CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F,nilotinib,8.44,pKd
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,bosutinib,10.54,pKd
CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=N3)=C2)=CC(=C1)C(F)(F)F,radotinib,7.51427841,pIC50
CCC(=O)Nc1ccc(cn1)C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(C)CC4)c(c3)C(F)(F)F,CHEMBL1784628,7.54,pIC50
CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4ccc5[nH]ncc5c4)cc2C(F)(F)F)CC1,CHEMBL2316579,7.54,pIC50
CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc(N)s4)cc2C(F)(F)F)CC1,CHEMBL1784640,7.54,pIC50
CN1CCN(Cc2ccc(NC(=O)c3ccc(C4CC4)c(c3)C#Cc5cnc6[nH]ncc6c5)cc2C(F)(F)F)CC1,CHEMBL2316585,7.54,pIC50
Cc1cn(cn1)c2cccc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)c2,CHEMBL2311808,7.54,pKd
CN(C)CCCNC(=O)c1cc2cc(NC(=O)c3ccccc3Br)cnc2[nH]1,CHEMBL3347647,7.55,pIC50
CNN=Nc1ccc(cc1C(F)(F)F)C(=O)Nc2ccc(C)c(Nc3nccc(n3)c4cccnc4)c2,CHEMBL230065,7.55,pIC50
COC(=O)c1cc2cc(NC(=O)c3c(C)cccc3Cl)cnc2[nH]1,CHEMBL3347638,7.55,pIC50
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1,nintedanib,7.55,pKd
Cc1ccc(cc1C#Cn2cnc3c(NC4CC4)cccc23)C(=O)Nc5cc(on5)C(F)(F)F,CHEMBL1171280,7.55,pIC50
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,CHEMBL2324926,7.57,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.57,pKd
COC[C@@H](C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685188,7.57,pKi
Cc1cc(cc2nnc(Nc3ccc(cc3)S(=O)(=O)NCCN4CCCC4)nc12)c5c(Cl)ccc(O)c5Cl,CHEMBL400303,7.57,pKi
Cc1ccc(F)cc1c2ccc3cc(NS(=O)(=O)C)ncc3c2,CHEMBL3685070,7.57,pKi
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(c2)C(F)(F)F)cc1C#Cc4cnc5ccccn45,CHEMBL2324931,7.57,pIC50
Fc1ccc(NC(=O)C2CCOCC2)cc1c3ccc4cc(NC(=O)C5CC5)ncc4c3,CHEMBL3685196,7.57,pKi
O=C(Nc1cc2ccc(OC3CCCCC3)cc2cn1)C4CC4,CHEMBL3685082,7.57,pKi
CN1CCCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(c3)n4cc(cn4)c5cccnc5)CC1,CHEMBL3597615,7.58,pIC50
CC(C)n1nc(c2cc(O)cc(Br)c2)c3c(N)ncnc13,CHEMBL1242285,7.59,pIC50
CN(C)[C@H]1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cncnc5)c3)C1,CHEMBL206834,7.59,pIC50
COc1cc(ccc1N)c2nn(C3CCCC3)c4ncnc(N)c24,CHEMBL1241581,7.59,pIC50
Cc1ccc(F)cc1c2ccc3cc(NC(=O)c4ccc(F)cc4)ncc3c2,CHEMBL3685006,7.59,pKi
Cc1ccc(cc1C#Cc2cnc3ccccn23)C(=O)Nc4cc(cc(c4)C(F)(F)F)n5ccnc5,CHEMBL1172586,7.59,pIC50
Cc1ccc(cc1C#Cc2cnc3ccccn23)C(=O)Nc4cc(cc(c4)C(F)(F)F)n5cnc(CN6CCCC6)c5,CHEMBL1171038,7.59,pIC50
Brc1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689693,7.6,pKi
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,CHEMBL574738,7.6,pKd
CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nc(cs4)c5cccnc5)c3)CC1,CHEMBL1908391,7.6,pKd
CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5,CHEMBL402548,7.6,pIC50
C[C@H](Nc1nc(Nc2cn(C)cn2)c3cc[nH]c3n1)c4ncc(F)cn4,CHEMBL3116050,7.6,pIC50
C[S+]([O-])c1cc(C)c(cn1)c2ccc3cc(NC(=O)C4CC4F)ncc3c2,CHEMBL3689724,7.6,pKi
Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(\C=C\N4CNc5c(NC6CC6)ncnc45)c3)cc(c2)C(F)(F)F,CHEMBL1077317,7.6,pIC50
C1COc2cc3c(Nc4cccc(c4)c5ccccc5)ncnc3cc2O1,CHEMBL3040806,7.62,pIC50
CN1CCN(Cc2cc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5ccccn45)cc(c2)C(F)(F)F)CC1,CHEMBL1171282,7.62,pIC50
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,crizotinib,7.62,pIC50
