SMILES,ChEMBL,target,metric
C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N,tofacitinib,7.25181198,pIC50
CC1CCN(CC1N(C)c2ncnc3[nH]ccc23)C(=O)C4CCC(=O)C4,CHEMBL1630795,7.54,pIC50
CS(=O)(=O)c1ccc(cc1)c2cccn3nc(Nc4cccc(c4)N5CCN(CC(=O)N)CC5)nc23,CHEMBL3642404,7.54,pIC50
Cc1cc(NC(=O)c2cnn3ccc(N)nc23)n(n1)c4ccccc4C,CHEMBL3670397,7.54,pKi
FC(F)(F)CN1CCCC(C1)NC(=O)Nc2cnc3[nH]ccc3n2,CHEMBL3335678,7.54,pIC50
Fc1cc(NCCOc2cccc(NC3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c2)ccn1,CHEMBL3114774,7.54,pIC50
C[C@]1(O)CC[C@@H](Nc2c(cnn3cccc23)C(=O)N)C1(C)C,CHEMBL3359914,7.55,pIC50
Fc1ccc2OCCC(N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56)c2c1,CHEMBL1081190,7.55,pIC50
Fc1cccc2[C@@H](CCOc12)N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56,CHEMBL1081377,7.55,pIC50
O=C(CC#N)N1CCC[C@H](C1)N2C(=O)Nc3cnc4[nH]ccc4c23,CHEMBL3593590,7.55,pIC50
CS(=O)(=O)CCN1CCC(CC1)c2cccc(Nc3nc4c(cccn4n3)c5ccc(cc5)S(=O)(=O)C)c2,CHEMBL3642411,7.56,pIC50
CN1CCN(CC1)c2cc(Oc3ccccc3Cl)nc(n2)n4cnc5ccncc45,CHEMBL218439,7.57,pIC50
CS(=O)(=O)N1CCC[C@@H](C1)Nc2nccnc2c3cnc4[nH]ccc4n3,CHEMBL3357978,7.57,pIC50
CS(=O)(=O)c1ccc(cc1)c2cccn3nc(Nc4ccc(cc4)N5CCCCC5)nc23,CHEMBL3642262,7.57,pIC50
C[C@H]1CCCC[C@H]1N2C(=O)Nc3cnc4[nH]ccc4c23,CHEMBL3593580,7.57,pIC50
FC(F)(F)c1cnc(nc1C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)N5CCC(=O)CC5,CHEMBL1235315,7.57,pIC50
Nc1n[nH]c2C(=CN(C(=O)c12)c3ccccc3Cl)c4ccccn4,CHEMBL3764463,7.57,pIC50
O=C1Nc2ccc(cc2/C/1=C/c3ccc[nH]3)c4cccnc4,CHEMBL323994,7.57,pIC50
OCC1(O)Cn2c3ccccc3c4c5CNC(=O)c5c6c7ccccc7n(C1)c6c24,CHEMBL234718,7.57,pIC50
CS(=O)(=O)c1ccc(cc1)c2cccc3nc(Nc4ccc(CN5CCS(=O)(=O)CC5)cc4)nn23,CHEMBL3642340,7.58,pIC50
C(Nc1ccnc2oc(c3ccccc3)c(c4ccccc4)c12)[C@@H]5CCCO5,CHEMBL240429,7.59,pIC50
CN(c1ccc(cc1)c2cccn3nc(Nc4cccc(c4)N5CCN(C)CC5)nc23)S(=O)(=O)C,CHEMBL3642296,7.59,pIC50
C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)Nc4cc(C)ns4,CHEMBL1630789,7.59,pIC50
