SMILES,ChEMBL,target,metric
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,dasatinib,9.52,pKd
C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5,CHEMBL478629,7.53,pIC50
Cl.CC(CCCC(C)(C)O)Nc1nc(Nc2cc(C)[nH]n2)cc(C)c1C#N,CHEMBL1778662,7.62,pKi
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,CHEMBL509032,7.64,pKd
CNc1nccc(n1)c2cccnc2Oc3cc(ccc3C)C(=O)Nc4cccc(c4)C(F)(F)F,CHEMBL218632,7.66,pIC50
Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5ccccc5Cl,CHEMBL268825,7.66,pIC50
CCOC(=O)CN1CCN(CCCc2c3CCCCc3[nH]c2\C=C\4/C(=O)Nc5ccc(cc45)S(=O)(=O)NC)CC1,CHEMBL291759,7.7,pIC50
CCS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN(C)C)\c2c1,CHEMBL59042,7.7,pIC50
CCS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN5CCC(O)CC5)\c2c1,CHEMBL298566,7.7,pIC50
CN(C)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,CHEMBL605003,7.7,pIC50
Cc1cccc(C)c1c2cc(C)c3nc(Nc4oc(cc4)C(=O)NCCN5CCCC5)nnc3c2,CHEMBL3648058,7.74,pIC50
O=C(N1CCNCC1)c2ccc(\C=C\c3n[nH]c4ccccc34)cc2,CHEMBL1908397,7.75,pKd
CCN1CCN(Cc2ccc(cc2)c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)CC1,CHEMBL587723,7.76,pIC50
Cc1cccc(C)c1c2cc(C)c3nc(Nc4cccc(c4)S(=O)(=O)N)nnc3c2,CHEMBL218597,7.79,pIC50
Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5c(Cl)cccc5Cl,CHEMBL230686,7.89,pKi
CN(C)CC1CCN(CCn2nc(c3cnc4[nH]ccc4c3)c5c(N)ncnc25)CC1,CHEMBL3823861,7.92,pIC50
CCS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN5CCN(CC(=O)O)CC5)\c2c1,CHEMBL300853,8.0,pIC50
CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCC(=O)N)\c2c1,CHEMBL56569,8.0,pIC50
CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN(C)C)\c2c1,CHEMBL52513,8.0,pIC50
CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN5CCC(O)CC5)\c2c1,CHEMBL55496,8.0,pIC50
CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN5CCN(C)CC5)\c2c1,CHEMBL293712,8.0,pIC50
CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN5CCN(CC(=O)O)CC5)\c2c1,CHEMBL292930,8.0,pIC50
CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCCN5CCN(CCO)CC5)\c2c1,CHEMBL56109,8.0,pIC50
CN1CCN(CCOc2ccc(Nc3nnc4cc(cc(C)c4n3)c5c(C)cccc5C)cc2)CC1,CHEMBL230614,8.11,pIC50
Cc1cccc(C)c1c2cc(C)c3nc(Nc4nc(cs4)C(=O)NCCN5CCCC5)nnc3c2,CHEMBL3648061,8.14,pIC50
CN1CCN(CCOc2cc(OC3CCOCC3)c4c(Nc5c(Cl)ccc6OCOc56)ncnc4c2)CC1,CHEMBL217092,8.21,pIC50
Cc1cc(cc2nnc(Nc3ccc(OCC[N+]4([O-])CCCC4)cc3)nc12)c5c(Cl)cccc5Cl,CHEMBL256101,8.22,pKi
Cc1cc(cc2nnc(Nc3ccc(cc3)C(=O)N4CCNCC4)nc12)c5cc(O)ccc5Cl,CHEMBL250214,8.28,pIC50
Cc1cc(cc2nnc(Nc3ccc(CCCN4CCCC4)cc3)nc12)c5cc(O)ccc5Cl,CHEMBL250213,8.32,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,8.36,pIC50
Cc1cc(cc2nnc(Nc3ccc(cc3)S(=O)(=O)C4CCNCC4)nc12)c5cc(O)ccc5Cl,CHEMBL250625,8.39,pIC50
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,bosutinib,8.4,pKd
Cc1cccc(C)c1c2cc(C)c3nc(Nc4cccc(OCCN5CCCC5)c4)nnc3c2,CHEMBL218549,8.43,pIC50
Cc1cccc(C)c1c2cc(C)c3nc(Nc4ccc(cc4)S(=O)(=O)NCCN5CCCC5)nnc3c2,CHEMBL231218,8.51,pIC50
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1,CHEMBL457614,8.52,pIC50
