SMILES,ChEMBL,target,metric
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCNCCCN)OS(=O)(=O)O,CHEMBL508583,6.0,pIC50
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)O,CHEMBL168,6.0,pIC50
CCCCCCCCCCCCCCCC(=O)C1=C(O)OC(C)(C)OC1=O,CHEMBL3427131,6.0,pIC50
CCOC(=O)c1ccc(CCC2=C(c3ccccc3)c4ccccc4C(=O)C2=O)cc1,CHEMBL292444,6.0,pIC50
CCc1cc(CC(NC(=O)C)C(=O)NCCCCC(=O)N[C@@H](CCCCN)C(=O)O)ccc1N(C(=O)C(=O)O)c2ccccc2C(=O)O,CHEMBL292849,6.0,pKi
CN(C)c1ccc(cc1)c2sc(C(=O)O)c(OCC(=O)O)c2Br,CHEMBL379196,6.0,pKi
CN1CCc2c(C1)sc(NC(=O)C(=O)O)c2C(=O)O,CHEMBL136044,6.0,pKi
CNc1nc(N)nc2nc(c3ccccc3C(F)(F)F)c(cc12)S(=O)(=O)C,CHEMBL2206072,6.0,pIC50
COC(=O)C(Cc1ccc(cc1)C(F)(F)P(=O)(O)O)(Cc2ccc(cc2)C(F)(F)P(=O)(O)O)C(=O)OCc3ccccc3,CHEMBL8725,6.0,pIC50
COC(=O)N[C@H](Cc1ccc(cc1)N(C(=O)C(=O)O)c2ccccc2C(=O)O)C(=O)NCCCCOc3cc(cc(O)c3C(=O)OC)c4ccccc4,CHEMBL541952,6.0,pKi
COC(=O)Nc1ccc(cc1)c2sc(C(=O)O)c(OCC(=O)O)c2Br,CHEMBL385276,6.0,pKi
COC(c1ccc(C)cc1)c2cnn3c(cc4c(Cl)cccc4c23)c5ccccc5,CHEMBL3219384,6.0,pIC50
N[C@@H](Cc1ccc(OC(F)(C(=O)O)C(=O)O)cc1)C(=O)O,CHEMBL431555,6.0,pIC50
OC(=O)C(=O)Nc1sc2CCCCc2c1C(=O)O,CHEMBL138152,6.0,pKi
OC(=O)C(=O)Nc1sc2CN(Cc3ccccc3)CCc2c1C(=O)O,CHEMBL138951,6.0,pKi
OC(=O)C(=O)Nc1sc2CN(Cc3ccccn3)CCc2c1C(=O)O,CHEMBL138277,6.0,pKi
OC(=O)COc1c(Br)c(sc1C(=O)O)c2cccc(O)c2,CHEMBL213662,6.0,pKi
OC(=O)COc1c(F)cc(cc1F)S(=O)(=O)N(Cc2ccccc2)Cc3ccc(cc3)C(F)(F)P(=O)(O)O,CHEMBL198496,6.0,pIC50
OC(=O)COc1ccc(CC2=C(c3ccccc3C(=O)C2=O)n4ccc5ccccc45)cc1,CHEMBL57841,6.0,pIC50
OC(=O)COc1ccc(cc1)S(=O)(=O)N(Cc2ccc(cc2)C(F)(F)P(=O)(O)O)Cc3cccs3,CHEMBL197929,6.0,pIC50
OC(=O)c1ccc(cc1O)c2ccc(CC3=C(Oc4cc(O)ccc4C3=O)c5ccc(O)cc5)cc2,CHEMBL495142,6.0,pIC50
OC(=O)c1cccc(NC(=O)c2nc(sc2c3ccccc3)[C@H](Cc4ccc(OCc5ccccc5)cc4)NC(=O)CCc6c[nH]c7ccccc67)c1,CHEMBL2436032,6.0,pIC50
CCCOc1c2Cc3cccc(Cc4cccc(Cc5cc(cc(Cc1ccc2)c5O)C(P(=O)(O)O)P(=O)(O)O)c4OCCC)c3O,CHEMBL611611,6.01,pKi
Clc1ccc2sc(N[C@@H](Cc3ccc(cc3)C4CC(=O)NS4(=O)=O)c5nc6ccccc6[nH]5)nc2c1,CHEMBL246452,6.01,pIC50
OC(=O)[C@@H](Cc1ccccc1)Oc2ccc(cc2)c3ccc(cc3)c4ccsc4Cc5ccccc5,CHEMBL3350941,6.01,pIC50
CC(C)CC\C=C\c1oc(C)c(CCOc2ccc3C[C@H](N(Cc3c2)C(=O)\C=C\C=C(C)C)C(=O)O)n1.CC(C)(C)N,CHEMBL1935608,6.02,pIC50
CNc1nc(N)nc2nc(ccc12)c3cc(Cl)ccc3Cl,CHEMBL2205519,6.02,pIC50
COC(=O)c1ccc(COc2ccc(\C=C/3\N(Cc4ccccc4)C(=O)N(Cc5ccc(cc5)C(=O)OC)C3=O)cc2)cc1,CHEMBL3628484,6.02,pIC50
CC(=O)N[C@@H](Cc1ccc(cc1)[C@@H]2CC(=O)NS2(=O)=O)c3nc4ccccc4[nH]3,CHEMBL377905,6.03,pIC50
CC1(C)CN=C(N1)C(Cc2ccc(cc2)C3CC(=O)NS3(=O)=O)NS(=O)(=O)c4cccc(c4)C(F)(F)F,CHEMBL253268,6.03,pIC50
