SMILES,ChEMBL,target,metric
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@@H](O)CC(=O)O)[C@H]13,CHEMBL390573,6.0,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@H](O)CC(=O)O)[C@H]13,CHEMBL226343,6.05,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@H](O)c4ccccc4)[C@H]13,CHEMBL225822,6.05,pIC50
CC1(C)CCC[C@]2(C)[C@@H](CCCO)[C@H]3CC[C@@H]2[C@@H]13,CHEMBL390747,6.05,pIC50
CC(C)(C)[C@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL2448549,6.1,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2\C=C\CO)[C@H]13,CHEMBL225521,6.1,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2\C=C/CO)[C@H]13,CHEMBL390748,6.16,pIC50
C[C@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL389042,6.16,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@@H](O)C=C)[C@H]13,CHEMBL374178,6.22,pIC50
CC1(C)CCC[C@]2(C)[C@@H](CCO)[C@H]3CC[C@@H]2[C@@H]13,CHEMBL225520,6.3,pIC50
CC[C@@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL449400,6.3,pIC50
CC[C@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL389256,6.3,pIC50
C[C@@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL226039,6.3,pIC50
CC(C)[C@@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL225768,6.4,pIC50
CC(C)[C@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL225769,6.4,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@H](O)CC=C)[C@H]13,CHEMBL225767,6.4,pIC50
CCOC(=O)C[C@@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL390574,6.4,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@@H](O)CCO)[C@H]13,CHEMBL389041,6.52,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@H](O)C=C)[C@H]13,CHEMBL226088,6.52,pIC50
CCOC(=O)C[C@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL226344,6.52,pIC50
CC(C)(C)[C@@H](O)[C@H]1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,CHEMBL376839,6.7,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@@H](O)CC=C)[C@H]13,CHEMBL374179,6.7,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@@H](O)CCl)[C@H]13,CHEMBL226038,6.7,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@H](O)CCO)[C@H]13,CHEMBL226514,6.7,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@H](O)CCl)[C@H]13,CHEMBL388191,6.7,pIC50
CC1(C)CCC[C@]2(C)[C@@H](CO)[C@H]3CC[C@@H]2[C@@H]13,CHEMBL388140,7.0,pIC50
CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]([C@@H]2[C@@H](O)c4ccccc4)[C@H]13,CHEMBL376840,7.27,pIC50
