SMILES,ChEMBL,target,metric
NC(=O)c1cc2c(Oc3ccc(cc3)C(O)CO)cncc2s1,CHEMBL115462,6.03,pIC50
OCCNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,CHEMBL119523,6.06,pIC50
NC(=O)c1cc2c(Oc3cccc(Cl)c3)cncc2s1,CHEMBL325893,6.07,pIC50
Cc1ccc(Sc2cncc3sc(cc23)C(=O)N)c(C)c1,CHEMBL6830,6.11,pIC50
NC(=O)c1cc2c(Oc3ccccc3CC=C)cncc2s1,CHEMBL325286,6.11,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)C(F)(F)CO)cncc2s1,CHEMBL324824,6.33,pIC50
CCOCCOCCOCC1(CC1)c2ccc(Oc3cncc4sc(cc34)C(=O)NC)cc2,CHEMBL115960,6.38,pIC50
CNC(=O)c1cc2c(Oc3ccc(OC(F)(F)F)cc3)cncc2s1,CHEMBL118300,6.43,pIC50
NC(=O)c1cc2c(Oc3ccc(Cl)cc3Br)cncc2s1,CHEMBL119599,6.48,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)n4cncn4)cncc2s1,CHEMBL119705,6.62,pIC50
CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,CHEMBL118074,6.7,pIC50
NC(=O)c1cc2c(Oc3ccc(CO)cc3)cncc2s1,CHEMBL118022,6.72,pIC50
COc1ccc2sc(C(=O)N)c(OC(C)C)c2c1,CHEMBL6248,6.76,pIC50
CCOCCOCCOCC(F)(F)c1ccc(Oc2cncc3sc(cc23)C(=O)NC)cc1,CHEMBL115431,6.77,pIC50
CCc1ccc(Oc2cncc3sc(cc23)C(=O)N)cc1,CHEMBL119732,6.85,pIC50
CN(C)C(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,CHEMBL324133,6.89,pIC50
CNC(=O)c1cc2c(Oc3ccc(COCCOCCOC)cc3)cncc2s1,CHEMBL117279,6.92,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)C#N)cncc2s1,CHEMBL115971,7.04,pIC50
NC(=O)c1cc2c(Oc3ccc(cc3)C#N)cncc2s1,CHEMBL117198,7.07,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)c4ccccc4)cncc2s1,CHEMBL115637,7.1,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)C4(CO)CC4)cncc2s1,CHEMBL118089,7.13,pIC50
NC(=O)c1cc2c(Oc3ccc(N)cc3)cncc2s1,CHEMBL117936,7.19,pIC50
NC(=O)c1cc2c(Oc3ccc(Br)cc3)cncc2s1,CHEMBL116070,7.32,pIC50
COCc1ccc(Oc2cncc3sc(cc23)C(=O)N)cc1,CHEMBL119183,7.64,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)n4ccnc4)cncc2s1,CHEMBL325184,7.72,pIC50
NC(=O)c1cc2c(Oc3ccc(cc3)n4ccnc4)cncc2s1,CHEMBL326120,7.77,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)c4cccs4)cncc2s1,CHEMBL117894,8.22,pIC50
CNC(=O)c1cc2c(Oc3ccc(cc3)n4cccn4)cncc2s1,CHEMBL119039,8.3,pIC50
