SMILES,ChEMBL,target,metric
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)CCC3=C)\CCC[C@]12C,colecalciferol,9.68,pEC50
C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1,paricalcitol,8.7,pEC50
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C,calcitriol,8.4,pEC50
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@@H](O)C1CC1,calcipotriene,9.51,pKd
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)[C@@]([H])(OCCCO)[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O,eldecalcitol,8.0,pKd
CCn1c(ccc1C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)C(=O)N(CCC#N)CCC#N,CHEMBL3746404,7.01,pEC50
CCn1c(ccc1C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)C(=O)NCCCN(C)C,CHEMBL3747675,7.02,pEC50
CCN(CC)CCNC(=O)c1ccc(n1CC)C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2,CHEMBL3746078,7.04,pEC50
CCC(CC)(c1ccc(OCC(O)CO)c(C)c1)c2ccc(OCC(=O)C(C)(C)C)c(C)c2,CHEMBL1270254,7.05,pEC50
C[C@H](\C=C(/C)\C=C\C(=O)NO)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@H](O)C[C@H](O)C3)\CCC[C@]12C,CHEMBL1164992,7.06,pIC50
C[C@H](COCC(=C)C(C)(C)C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C,CHEMBL239748,7.07,pIC50
CCC(CC)(c1ccc(OC[C@H](O)CO)c(C)c1)c2ccc(OC[C@@H](O)C(C)(C)C)c(C)c2,CHEMBL272502,7.08,pEC50
CCn1c(ccc1C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)C(=O)NCCN(C)C,CHEMBL3747383,7.11,pEC50
CCN(CC)CCCNC(=O)c1ccc(n1CC)C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2,CHEMBL3747730,7.15,pIC50
CC(C)[C@H](O)CC[C@](C)(O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C,CHEMBL3623498,7.18,pEC50
C[C@H](COCc1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CHEMBL239117,7.2,pIC50
CCC(O)(CC)C(F)(F)CC[C@@H](C)C1=CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](C(F)F)C3=C)\CCC[C@]12C,CHEMBL220140,7.3,pIC50
CC\C(=C/C=C/C(O)(CC)CC)\c1cccc(OCc2ccc(CO)c(CO)c2)c1,CHEMBL2171446,7.31,pEC50
C[C@H](COCC#CC(C)(C)C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C,CHEMBL239332,7.33,pIC50
C[C@H](OCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C,CHEMBL333950,7.39,pEC50
CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c2ccc(OCC(=O)C(C)(C)C)c(C)c2,CHEMBL197946,7.4,pEC50
CCC(CC)(c1ccc(OCC(O)CO)c(C)c1)c2ccc(OCC(O)C(C)(C)C)c(C)c2,CHEMBL197589,7.4,pEC50
CC[Si](CC)(c1ccc(OCC2CO2)c(C)c1)c3ccc(OCC(=O)C(C)(C)C)c(C)c3,CHEMBL2334341,7.4,pEC50
C[C@@H](CO[C@H](C)[C@H]1CC[C@H]2\C(=C\C=C3C[C@@H](O)C(=C)[C@H](O)C3)\CCC[C@]12C)C(C)(C)O,CHEMBL2436597,7.42,pIC50
CCn1c(ccc1C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)C(=O)NCCCN(C)C,CHEMBL3746465,7.43,pEC50
