SMILES,ChEMBL,target,metric
NC(=N)c1ccc(CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CC4CCCCC4)NCC(=O)O)cc1,CHEMBL3115899,6.01,pIC50
NC(=N)c1ccc(CNC(=O)C(CCC2CCNCC2)NC(=O)[C@@H](CC3CCCCC3)NCC(=O)O)cc1,CHEMBL3115894,6.04,pIC50
NC(=N)c1ccc(CNC(=O)[C@@H](NC(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C3CCNCC3)cc1,CHEMBL3115892,6.05,pKi
N[C@H](CC1CCCCC1)C(=O)NC(CCC2CCNCC2)C(=O)NCc3ccc(cc3)C(=N)N,CHEMBL3115896,6.05,pKi
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(NC(=O)CCN4CCN(CC4)CCC(=O)Nc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)c3)cc1.OC(=O)C(F)(F)F,CHEMBL2315244,6.06,pKi
NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc3cc[n+]([O-])cc3)NS(=O)(=O)Cc4ccccc4)cc1,CHEMBL3660184,6.07,pKi
CCS(=O)(=O)c1ccc2NC(=O)CCCc3ccc(cc3C)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)NCc1c2,CHEMBL3594314,6.08,pKi
NC(=N)c1ccc(CNC(=O)C2(Cc3ccccc3C2)NC(=O)[C@H](NCC(=O)O)C4CCCCC4)cc1,CHEMBL215295,6.09,pIC50
CC(C)[C@@H](NCC(=O)O)C(=O)NC1(Cc2ccccc2C1)C(=O)NCc3ccc(cc3)C(=N)N,CHEMBL426333,6.1,pIC50
COC(=O)N1CCC(CCC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC3CCNCC3)C(=O)NCc4ccc(cc4)C(=N)N)CC1,CHEMBL3660189,6.1,pKi
NC(=N)NCCC[C@H](NC(=O)[C@@H](CC1CCCCC1)NCCC(=O)O)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL3115906,6.1,pKi
CC(C)C[C@@H](NCC(=O)O)C(=O)NC1(Cc2ccccc2C1)C(=O)NCc3ccc(cc3)C(=N)N,CHEMBL380157,6.13,pIC50
CC(C)[C@@H](NCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL212789,6.15,pIC50
NC(=N)c1ccc(CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC3CCCCC3)NCC(=O)O)cc1,CHEMBL3115897,6.17,pIC50
NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc3ccncc3)NS(=O)(=O)Cc4ccccc4)cc1,CHEMBL3660191,6.22,pKi
COC(=O)c1cccc(CS(=O)(=O)N[C@H](CCCc2ccccc2)C(=O)N[C@@H](CCC3CCNCC3)C(=O)NCc4ccc(cc4)C(=N)N)c1,CHEMBL3660190,6.24,pKi
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(CNC(=O)Cc4ccc(CC(=O)NCc5cccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)c5)cc4)c3)cc1,CHEMBL2016868,6.25,pKi
NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc3ccccc3)NS(=O)(=O)Cc4ccccc4)cc1,CHEMBL3660186,6.26,pKi
N[C@H](C1CCCCC1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL3115905,6.3,pKi
NC(=N)NCCC[C@H](NC(=O)[C@@H](CC1CCCCC1)NCC(=O)O)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL3115904,6.33,pIC50
CC(C)[C@@H](NCC(=O)O)C(=O)NC1(Cc2cccc3cccc(C1)c23)C(=O)NCc4ccc(cc4)C(=N)N,CHEMBL215357,6.37,pIC50
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CN4CCN(CC4)CC(=O)Nc5cccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)c5)cc3)cc1.OC(=O)C(F)(F)F,CHEMBL2315242,6.38,pKi
NC(=N)c1ccc(CNC(=O)C(CC2CCNCC2)NC(=O)[C@@H](CC3CCCCC3)NCC(=O)O)cc1,CHEMBL3115893,6.4,pKi
NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCC3CCNCC3)NS(=O)(=O)Cc4ccccc4)cc1,CHEMBL3660173,6.4,pKi
