SMILES,ChEMBL,target,metric
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC,nifedipine,6.30000019,pIC50
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,nitrendipine,6.0,pIC50
COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,diltiazem,6.42,pKi
CNCCN1C(=O)[C@H](OC(=O)C)[C@@H](Cc2c1cccc2C(F)(F)F)c3ccc(OCCOC)cc3,CHEMBL164760,5.24,pKd
COc1ccccc1[C@@H]2Cc3cc(Cl)ccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,CHEMBL348940,5.24,pKd
COc1ccc(cc1)[C@@H]2Cc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,CHEMBL89099,5.29,pKd
COc1cccc(c1)[C@@H]2Cc3cc(Cl)ccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,CHEMBL354353,5.46,pKd
CCOC(=O)c1cccc2N(CCN(C)C)C(=O)[C@H](OC(=O)C)[C@@H](Cc12)c3ccc(OC)cc3,CHEMBL163719,5.7,pKd
COc1ccc(cc1OC)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)[C@@H]2C,CHEMBL410539,5.7,pKd
COc1ccc(cc1)[C@@H]2Cc3c(OC)cccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,CHEMBL165217,5.75,pKd
COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)CC#C)C(=O)[C@@H]2OC(=O)C,CHEMBL167147,5.75,pKd
COc1ccc(cc1)[C@@H]2Cc3cc(OC)ccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,CHEMBL354933,5.8,pKd
C[C@@H]1[C@@H](Cc2c(cccc2C(F)(F)F)N(CCN(C)C)C1=O)c3ccc(O)cc3,CHEMBL167512,5.8,pKd
COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(=O)OCc4ccccc4)N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,CHEMBL164917,5.85,pKd
COc1ccc(cc1)[C@@H]2Cc3cc(Cl)ccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,CHEMBL315809,5.85,pKd
CSc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)[C@@H]2C,CHEMBL167384,5.96,pKd
CCc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)[C@@H]2C,CHEMBL165049,6.0,pKd
[I-].COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CC[N+](C)(C)C)C(=O)[C@@H]2C,CHEMBL352750,6.08,pKd
COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)[C@@H]2O,CHEMBL351235,6.18,pKd
COc1ccc(cc1)[C@@H]2Cc3ccccc3N(CCN(C)C)C(=O)[C@@H]2C,CHEMBL98189,6.19,pKi
CC[C@@H]1[C@@H](Cc2c(cccc2C(F)(F)F)N(CCN(C)C)C1=O)c3ccc(OC)cc3,CHEMBL349193,6.22,pKd
COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(C(C)CN(C)C)C(=O)[C@@H]2C,CHEMBL167987,6.22,pKd
CNc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)[C@@H]2C,CHEMBL355684,6.24,pKd
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2C,CHEMBL262509,6.27,pKi
CCCN(C)CCN1C(=O)[C@H](OC(=O)C)[C@@H](Cc2c1cccc2C(F)(F)F)c3ccc(OC)cc3,CHEMBL165444,6.28,pKd
COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)CC=C)C(=O)[C@@H]2OC(=O)C,CHEMBL164134,6.38,pKd
COc1ccc(cc1)[C@@H]2Cc3c(OC)cccc3N(CCN(C)C)C(=O)[C@@H]2C,CHEMBL168099,6.4,pKd
COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CC(C)N(C)C)C(=O)[C@@H]2C,CHEMBL349753,6.5,pKd
CCC[C@@H]1[C@@H](Cc2ccccc2N(CCN(C)C)C1=O)c3ccc(OC)cc3,CHEMBL350321,6.6,pKd
COc1ccc(cc1)[C@@H]2Cc3c(cccc3C(F)(F)F)N(CCN(C)CCCCc4ccccc4)C(=O)[C@@H]2OC(=O)C,CHEMBL163771,6.66,pKd
