SMILES,ChEMBL,target,metric
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,mibefradil,6.6021,pIC50
CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,bepridil,5.1487,pKi
COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,verapamil,4.4854,pKi
Fc1ccc(cc1)C(N2CCN(C\C=C\c3ccccc3)CC2)c4ccc(F)cc4,flunarizine,5.44,pKd
CC1Cc2ccccc2N1S(=O)(=O)c3cccc(c3)C(=O)NCC4CCCCC4,CHEMBL3589094,5.3,pIC50
CC(C)(C)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2337983,5.31,pIC50
Fc1cc(F)cc(NC(=O)N2CCC3(CC2)C(N(C3=O)c4cccc(Cl)c4)c5ccccn5)c1,CHEMBL1210766,5.46,pIC50
Fc1cccc(c1)N2CC3(CCN(CC3)C(=O)Nc4cc(F)cc(F)c4)C2c5ccc(Cl)cc5,CHEMBL1210444,5.46,pIC50
CC(C)(C)NC(=O)NCCN1CCOC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1,CHEMBL2338408,5.48,pIC50
COC(=O)[C@H](CO)NC(=O)N1CCC2(CC1)C(N(C2=O)c3cccc(F)c3)c4ccc(Cl)cc4,CHEMBL1210441,5.48,pIC50
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c3ccc(Cl)cc3)C(=O)OC,CHEMBL1210027,5.5,pIC50
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C2c3ccc(Cl)cc3)c4cccc(F)c4)C(=O)OC,CHEMBL1210266,5.5,pIC50
CC(C)(C)C(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2338398,5.52,pIC50
CC1CC(C)CN(C1)C(=O)c2cccc(c2)S(=O)(=O)N3C(C)Cc4ccccc34,CHEMBL1486348,5.52,pIC50
CC(C)(C)S(=O)(=O)CCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2338403,5.62,pIC50
Fc1cc(F)cc(NC(=O)N2CCC3(CC2)C(N(C3=O)c4cccc(c4)C#N)c5ccccn5)c1,CHEMBL1209968,5.62,pIC50
Cl.Fc1ccccc1NS(=O)(=O)c2cc(C(=O)N3CCN4CCC[C@@H]4C3)c(Cl)cc2F,CHEMBL3589557,5.64,pIC50
Fc1cc(F)cc(NC(=O)N2CCC3(CC2)C(N(C4CC4)C3=O)c5ccc(Cl)cc5)c1,CHEMBL1210265,5.65,pIC50
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]4CC[C@H]1c5nccnc45,CHEMBL3609821,5.69,pIC50
[O-][n+]1ccccc1C2N(C(=O)C23CCN(CC3)C(=O)Nc4ccc(F)c(F)c4)c5cccc(Cl)c5,CHEMBL1210767,5.82,pIC50
CC(C)(C)C(=O)NCCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2338399,5.89,pIC50
CCC(C)NC(=O)N1CCC2(CC1)C(N(C2=O)c3cccc(F)c3)c4ccc(Cl)cc4,CHEMBL1210443,5.9,pIC50
CC(C)(C)NC(=O)NCCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2338402,5.92,pIC50
CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,CHEMBL2337981,5.92,pIC50
CC(C)(C)OC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2338401,5.92,pIC50
Fc1cccc(c1)N2C(c3ccc(Cl)cc3)C4(CCN(CC4)C(=O)Nc5cccc(c5)C#N)C2=O,CHEMBL1210506,5.98,pIC50
CC(C)(C)NC(=O)CN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2337984,6.0,pIC50
CC(C)N1CC2(CCN(CC2)C(=O)Nc3cc(F)cc(F)c3)C1c4ccc(F)cc4,CHEMBL1210203,6.0,pIC50
CN1C(c2ccc(Cl)cc2)C3(CCN(CC3)C(=O)Nc4cc(F)cc(F)c4)C1=O,CHEMBL1210139,6.04,pIC50
CC(C)(C)CS(=O)(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2338404,6.05,pIC50
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(N(C2=O)c3cccc(F)c3)c4ccc(Cl)cc4)C(=O)OC,CHEMBL1210267,6.06,pIC50
Clc1cccc(c1)N2C(c3ccccn3)C4(CCN(CC4)C(=O)Nc5cccc(c5)C#N)C2=O,CHEMBL1210693,6.07,pIC50
COC(=O)[C@H](C)NC(=O)N1CCC2(CC1)C(N(C2=O)c3cccc(F)c3)c4ccc(Cl)cc4,CHEMBL1210985,6.08,pIC50
CC(C)(C)NC(=O)NCCN1CC(C1)NC(=O)c2cc(Cl)cc(Cl)c2,CHEMBL2337977,6.1,pIC50
CC(C)(C)NC(=O)NCCN1CCC(C1)NC(=O)c2cc(Cl)cc(Cl)c2,CHEMBL2337978,6.1,pIC50
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(N(C)C2=O)c3ccc(Cl)cc3)C(=O)OC,CHEMBL1210138,6.1,pIC50
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C3CC3)C2c4ccc(Cl)cc4)C(=O)OC,CHEMBL1210984,6.15,pIC50
Fc1ccc(NC(=O)N2CCC3(CC2)C(N(C3=O)c4cccc(Cl)c4)c5ccccn5)cc1F,CHEMBL1210692,6.19,pIC50
CC(C)(C)NC(=O)NCCN1CCC(O)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,CHEMBL2337980,6.22,pIC50
Fc1cccc(c1)N2C(c3ccc(Cl)cc3)C4(CCN(CC4)C(=O)Nc5cc(F)cc(F)c5)C2=O,CHEMBL1210505,6.23,pIC50
CO[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c4ccc(F)cc14,CHEMBL3609825,6.25,pIC50
Fc1cc(F)cc(NC(=O)N2CCC3(CC2)C(N(C3=O)c4cncc(Cl)c4)c5ccccn5)c1,CHEMBL1210835,6.29,pIC50
CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,CHEMBL2338406,6.3,pIC50
CC(C)(C)NC(=O)NCCN1CCCC(C1)NC(=O)c2cc(Cl)cc(Cl)c2,CHEMBL2337979,6.3,pIC50
CC(C)(C)NC(=O)NCCN1CCCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1,CHEMBL2338407,6.3,pIC50
CC(C)(C)NC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL2338400,6.3,pIC50
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]4CC[C@H]1c5ccccc45,CHEMBL3608945,6.37,pIC50
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C)C2c3ccc(Cl)cc3)C(=O)OC,CHEMBL1210136,6.39,pIC50
