SMILES,ChEMBL,target,metric
CC(C)C[C@H](CN)CC(O)=O,pregabalin,7.0969,pIC50
NCC1(CC(O)=O)CCCCC1,gabapentin,7.26,pIC50
CC(C)(Cc1ccccc1)NCc2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2,CHEMBL79342,5.0,pIC50
CC(CCCN1CCCC1)Nc2c3ccccc3nc4ccccc24,CHEMBL299681,5.0,pIC50
CN(CCc1ccccc1)Cc2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2,CHEMBL315405,5.0,pIC50
C[C@@H](NCCc1ccccc1)c2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2,CHEMBL83372,5.0,pIC50
CCN(CC)CCCCC(C)Nc1c2ccccc2nc3ccccc13,CHEMBL59089,5.22,pIC50
CC(CCCN1[C@H](C)CCC[C@@H]1C)Nc2c3ccccc3nc4ccccc24,CHEMBL293816,5.23,pIC50
CC(C)NCCCC(C)Nc1c2ccccc2nc3ccccc13,CHEMBL56754,5.29,pIC50
CCCOc1ccc(cc1)n2c(C)c3c(C)nnc(C)c3c2C,CHEMBL439916,5.29,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4ccccc4Cl)c3c2C,CHEMBL23400,5.36,pIC50
COc1ccccc1CCNCc2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2,CHEMBL309390,5.5,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(N4CCN(C)CC4)c3c2C,CHEMBL383342,5.53,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(OC)c3c2C,CHEMBL25675,5.66,pIC50
CCOc1ccccc1n2c(C)c3c(C)nnc(C)c3c2C,CHEMBL287053,5.73,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4ccc(OC(F)(F)F)cc4)c3c2C,CHEMBL24611,5.76,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(N4CCOCC4)c3c2C,CHEMBL202001,5.77,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4cccc(Cl)c4)c3c2C,CHEMBL24612,5.8,pIC50
CC(Cc1ccccc1)NCc2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2,CHEMBL311519,5.86,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4ccc(cc4)c5ccccc5)c3c2C,CHEMBL24711,5.9,pIC50
CCN(CC)CCCC(Nc1c2ccccc2nc3ccccc13)c4ccccc4,CHEMBL56880,5.96,pIC50
CCN(CC)CCCC(C)Nc1cc(nc2ccccc12)c3ccccc3,CHEMBL59208,6.02,pIC50
COc1ccc(CCNCc2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2)cc1,CHEMBL315485,6.08,pIC50
CCN(CC)CCC[C@@H](C)Nc1c2CCCCc2nc3CCCCc13,CHEMBL300325,6.12,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4ccccc4OC)c3c2C,CHEMBL283223,6.13,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(N4CC(C)CC(C)C4)c3c2C,CHEMBL202544,6.15,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(NCc4ccc(OC)cc4)c3c2C,CHEMBL202255,6.15,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4ccc(Cl)cc4)c3c2C,CHEMBL26121,6.15,pIC50
C[C@@H](Cc1ccccc1)NCc2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2,CHEMBL79964,6.16,pIC50
Fc1ccc(CCNCc2cccc(COc3nn4c(nnc4c5ccccc35)C(F)(F)F)n2)cc1,CHEMBL420593,6.2,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4ccc(OC)cc4OC)c3c2C,CHEMBL278347,6.22,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(CC(C)CC(C)(C)C)c3c2C,CHEMBL23426,6.24,pIC50
CCOc1ccc(cc1)n2c(C)c3c(C)nnc(c4ccc(F)cc4)c3c2C,CHEMBL281221,6.28,pIC50
