SMILES,ChEMBL,target,metric
COc1cc(c2cnn(CCC(=O)O)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681776,7.54,pIC50
Cc1cc(c2cnn(CCCCC(=O)O)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681792,7.55,pIC50
Cn1cc(cn1)c2cc(OCCCO)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681654,7.55,pIC50
CC(C)(C)CCc1cc(c2cnn(c2)C(CO)CO)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681844,7.57,pIC50
Cc1cc(c2cnn(CCCC(=O)O)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681727,7.57,pIC50
OC(=O)C1(CCCC1)n2cc(cn2)c3cc(F)cc4c3c5ccccc5C4(O)C(F)(F)F,CHEMBL3681737,7.57,pIC50
CC(=O)c1cc(cc2c1c3ccccc3C2(O)C(F)(F)F)c4cnn(CCO)c4,CHEMBL3681773,7.59,pIC50
CN(C)C(=O)CCOc1cc(c2cnn(C)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681656,7.59,pIC50
CN(CCOc1cc(c2cnn(C)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C(=O)C(C)(C)C,CHEMBL3681672,7.59,pIC50
Cc1cc(c2cnn(CC(=O)N)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681702,7.59,pIC50
Cc1cc(c2cnn(CCC(=O)O)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681726,7.59,pIC50
COc1cc(c2cnn(CCCC(=O)O)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681777,7.6,pIC50
C\C=C\c1cc(c2cnn(c2)C(CO)CO)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681833,7.6,pIC50
Cc1cc(cc2c1c3ccccc3C2(O)C(F)(F)F)C(=O)N4CCC4,CHEMBL3671676,7.6,pIC50
OCCCCCOc1cc(c2cncnc2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3676752,7.6,pIC50
OCCCCOc1cc(c2cncnc2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3676774,7.6,pIC50
Cn1cc(cn1)c2cc(OCCCCO)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3676772,7.62,pIC50
OCCn1cc(cn1)c2cc(OCCN3CCCC3=O)cc4c2c5ccccc5C4(O)C(F)(F)F,CHEMBL3681681,7.62,pIC50
CC(C)Cc1cc(c2cnn(c2)C(CO)CO)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681830,7.64,pIC50
CC(CCOc1cc(c2cnn(C)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C(=O)O,CHEMBL3681765,7.64,pIC50
CN(CCOc1cc(c2cncnc2)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C(=O)C,CHEMBL3676768,7.64,pIC50
CN(CCOc1cc(c2cncnc2)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C(=O)CO,CHEMBL3676770,7.64,pIC50
OCCn1cc(cn1)c2cc(OCC(=O)N3CCC3)cc4c2c5ccccc5C4(O)C(F)(F)F,CHEMBL3681692,7.64,pIC50
CC(CO)(CO)n1cc(cn1)c2cc(F)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681847,7.66,pIC50
CN(CCOc1cc(c2cnn(C)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C(=O)C(C)(C)CO,CHEMBL3639805,7.66,pIC50
Cn1cc(cn1)c2cc(OCCN3CCCC3=O)cc4c2c5ccccc5C4(O)C(F)(F)F,CHEMBL3676758,7.66,pIC50
OC1(Cn2cc(cn2)c3cc(F)cc4c3c5ccccc5C4(O)C(F)(F)F)CCCCC1,CHEMBL3681732,7.66,pIC50
OCC(CO)n1cc(cn1)c2cc(F)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681783,7.66,pIC50
CCOc1cc(c2cnn(CCCC(=O)O)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681770,7.68,pIC50
CCn1cc(cn1)c2cc(C(=O)C)c3c4ccccc4C(O)(c3c2)C(F)(F)F,CHEMBL3681775,7.68,pIC50
CN(CCOc1cc(c2cnn(C)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C(=O)C,CHEMBL3676769,7.68,pIC50
CN(CCOc1cc(c2cnn(C)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C(=O)CO,CHEMBL3676771,7.68,pIC50
OCCn1cc(cn1)c2cc(c3cnn(CCO)c3)c4c5ccccc5C(O)(c4c2)C(F)(F)F,CHEMBL3681768,7.68,pIC50
OC[C@H](O)Cn1cc(cn1)c2cc(F)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681754,7.68,pIC50
CC(C)(C)C(=O)N1CCN(CC1)c2cc(c3cccnc3)c4c5ccccc5C(O)(c4c2)C(F)(F)F,CHEMBL3676633,7.7,pIC50
CCn1cc(cn1)c2cc(C(=O)N)c3c4ccccc4C(O)(c3c2)C(F)(F)F,CHEMBL3681722,7.7,pIC50
CCn1cc(cn1)c2cc(OCCCC(=O)O)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681742,7.7,pIC50
CN(C)C(=O)CCCOc1cc(c2cnn(C)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3676773,7.7,pIC50
Cn1cc(cn1)c2cc(OCC(=O)N3CC(O)C3)cc4c2c5ccccc5C4(O)C(F)(F)F,CHEMBL3681674,7.7,pIC50
OC1(c2ccccc2c3c(cc(OCCN4CCCC4=O)cc13)c5cn[nH]c5)C(F)(F)F,CHEMBL3681687,7.7,pIC50
OCC(CO)(CO)n1cc(cn1)c2cc(F)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681854,7.7,pIC50
OCCn1cc(cn1)c2cc(F)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681700,7.7,pIC50
OCCn1cc(cn1)c2cc(cc3c2c4ccccc4C3(O)C(F)(F)F)C(=O)N5CCCC5,CHEMBL3681675,7.7,pIC50
CCOc1cc(c2cnn(CCC(=O)O)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681769,7.72,pIC50
CN(C)C(=O)CCCOc1cc(c2cncnc2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3676775,7.72,pIC50
Cc1cc(c2cnn(c2)C(CO)(CO)CO)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3686492,7.72,pIC50
Cc1cc(c2cnn(c2)C(CO)CO)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681791,7.72,pIC50
Cn1cc(cn1)c2cc(OCC(=O)N3CC(CO)C3)cc4c2c5ccccc5C4(O)C(F)(F)F,CHEMBL3681641,7.72,pIC50
Cn1cc(cn1)c2cc(OCCCC(=O)O)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681651,7.72,pIC50
Cn1cc(cn1)c2cc(c3cnn(C)c3)c4c5ccccc5C(O)(c4c2)C(F)(F)F,CHEMBL3681767,7.72,pIC50
CC(C)n1cc(cn1)c2cc(OCCCC(=O)O)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681741,7.75,pIC50
Cc1cc(c2cnn(CC(CO)CO)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681842,7.75,pIC50
Cn1cc(cn1)c2cc(OCC(=O)N)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681668,7.75,pIC50
Cn1cc(cn1)c2cc(OCCCc3nnn[nH]3)cc4c2c5ccccc5C4(O)C(F)(F)F,CHEMBL3681761,7.75,pIC50
NC(=O)COc1cc(c2cnn(CCO)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681676,7.75,pIC50
OC[C@@H](O)Cn1cc(cn1)c2cc(F)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681753,7.75,pIC50
CC(C)(C)Cn1cc(cn1)c2cc(CO)c3c4ccccc4C(O)(c3c2)C(F)(F)F,CHEMBL3681832,7.77,pIC50
Cc1cc(c2cnn(CCO)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681688,7.77,pIC50
Cn1cc(cn1)c2cc(Cl)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3676634,7.77,pIC50
Cn1cc(cn1)c2cc(OCCCCC(=O)O)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681740,7.77,pIC50
OCC1(CCCCC1)n2cc(cn2)c3cc(F)cc4c3c5ccccc5C4(O)C(F)(F)F,CHEMBL3681733,7.77,pIC50
OCc1cc(cc2c1c3ccccc3C2(O)C(F)(F)F)c4cnn(CC5CCCCC5)c4,CHEMBL3681845,7.77,pIC50
CC(C)(C)Cn1cc(cn1)c2cc(C(=O)N)c3c4ccccc4C(O)(c3c2)C(F)(F)F,CHEMBL3681829,7.8,pIC50
CNC(=O)Cn1cc(cn1)c2cc(F)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681710,7.8,pIC50
Cn1cc(cn1)c2cc(OCCC34CC5CC(CC(O)(C5)C3)C4)cc6c2c7ccccc7C6(O)C(F)(F)F,CHEMBL3681728,7.8,pIC50
OCC1(CCCC1)n2cc(cn2)c3cc(F)cc4c3c5ccccc5C4(O)C(F)(F)F,CHEMBL3681736,7.8,pIC50
CC(=Cc1cc(c2cnn(c2)C(CO)CO)c3c4ccccc4C(O)(c3c1)C(F)(F)F)C,CHEMBL3681843,7.82,pIC50
CNC(=O)Cn1cc(cn1)c2cc(C)cc3c2c4ccccc4C3(O)C(F)(F)F,CHEMBL3681707,7.82,pIC50
Cc1cc(c2cnn(c2)C3(CO)CCCC3)c4c5ccccc5C(O)(c4c1)C(F)(F)F,CHEMBL3681734,7.82,pIC50
NC(=O)Cn1cc(cn1)c2cc(OCCC34CC5CC(CC(O)(C5)C3)C4)cc6c2c7ccccc7C6(O)C(F)(F)F,CHEMBL3681729,7.82,pIC50
NC(=O)c1cc(cc2c1c3ccccc3C2(O)C(F)(F)F)c4cnn(CC5CCCCC5)c4,CHEMBL3681841,7.82,pIC50
OCCn1cc(cn1)c2cc(OCCC34CC5CC(CC(O)(C5)C3)C4)cc6c2c7ccccc7C6(O)C(F)(F)F,CHEMBL3681730,7.82,pIC50
OCCCCOc1cc(c2cnn(CCO)c2)c3c4ccccc4C(O)(c3c1)C(F)(F)F,CHEMBL3681809,7.85,pIC50
Cn1cc(cn1)c2cc(OCC(C)(C)O)cc3c2c4ccccc4[C@]3(O)C(F)(F)F,CHEMBL3673093,8.13,pIC50
CC(C)(O)COc1cc(c2cnn(CCO)c2)c3c4ccccc4[C@@](O)(c3c1)C(F)(F)F,CHEMBL3673094,8.17,pIC50
CC(C)(C(=O)N)n1cc(cn1)c2cc(F)cc3c2c4ccccc4[C@]3(O)C(F)(F)F,CHEMBL3673095,8.29,pIC50
NC(=O)Cn1cc(cn1)c2cc(OCCC34CC5CC(CC(O)(C5)C3)C4)cc6c2c7ccccc7[C@]6(O)C(F)(F)F,CHEMBL3673092,8.29,pIC50
CC(C)(O)CCOc1cc(c2cnn(c2)C(C)(C)C(=O)N)c3c4ccccc4[C@@](O)(c3c1)C(F)(F)F,CHEMBL3673096,8.31,pIC50
CC(C)(O)CCCOc1cc(c2cnn(c2)C(C)(C)C(=O)N)c3c4ccccc4[C@@](O)(c3c1)C(F)(F)F,CHEMBL3673097,8.38,pIC50
