SMILES,ChEMBL,target,metric
OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO,dipyridamole,6.0,pKi
CCOc1ccccc1c2ccc(cc2)c3nc4ccc(F)cc4c(C(=O)NCCOCCN)c3C,CHEMBL2335123,6.0,pIC50
CN(CCc1ccccn1)c2nc(nc3CCN(Cc23)C(=O)Nc4ccccc4)c5cccc(Br)c5,CHEMBL2205223,6.0,pKi
COC1=CN(C)N=C(C1=O)c2ccnn2c3ccccc3,CHEMBL3813937,6.0,pIC50
COc1cccc(c1)c2nccnc2C3CN(C3)c4ccc5cccc(C)c5n4,CHEMBL3691502,6.0,pIC50
Cc1c(Cl)nc(nc1NCc2cccnc2)C3CC3,CHEMBL3622884,6.0,pKi
Cc1c(Cl)nc(nc1NCc2cncs2)C3CC3,CHEMBL3622887,6.0,pKi
Cc1cc2c3ccccc3cc(CCc4nc5ccccc5n4C)n2n1,CHEMBL3317692,6.0,pIC50
Cc1ccc(CCC(C)(C)O)cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5,CHEMBL3693325,6.0,pIC50
Cc1ccc(cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5)C6(O)CCOCC6,CHEMBL3693365,6.0,pIC50
Cc1nc2c3c(Br)cccc3nc(SCC#N)n2n1,CHEMBL1779379,6.0,pIC50
Cc1nc2c3ccccc3nc(SCc4ncc[nH]4)n2n1,CHEMBL1779390,6.0,pIC50
Nc1nc2c3ccccc3nc(c4ccccc4Br)n2n1,CHEMBL1779257,6.0,pIC50
OCC1CCN(CC1)c2cccnc2OC3CN(C3)c4ccc5ccccc5n4,CHEMBL3356650,6.0,pIC50
Cc1ccc2nc(C)c3nnc(c4cc(OCCCO)ccc4Cl)n3c2n1,CHEMBL3693284,6.01,pIC50
Cn1c2ccccc2c3cc(cnc13)C4(COc5ncccc5c6cncnc6)CC4,CHEMBL3262302,6.01,pIC50
CCCc1nc(C)c2c(OCCCc3ccccc3)nc4ccc(OC)nc4n12,CHEMBL1085039,6.02,pIC50
CCCc1nc(N)c(Cc2ccc3oc4ccccc4c3c2)c5cc(OC)c(OC)cc15,CHEMBL3643884,6.02,pIC50
CN(C(=O)c1ccc(OCc2ccc3ccccc3n2)cc1)c4ccccc4,CHEMBL2419549,6.02,pIC50
OC1CCN(CC1)c2nccnc2C3CN(C3)C(=O)c4nc5ccccc5n4CC(F)(F)F,CHEMBL3682189,6.02,pIC50
O\N=C\c1nc2c3ccccc3nc(SCC#N)n2n1,CHEMBL1779273,6.02,pIC50
CC(C)C(O)c1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23,CHEMBL3693378,6.03,pIC50
Fc1ccc(cc1)C2=C(C=CC(=O)N2)c3ccc(OCc4nc5ccccc5s4)cc3,CHEMBL3634852,6.03,pIC50
CN(C(=O)c1ccc2ncsc2c1)c3ccc(OCc4oc5ccccc5n4)cc3,CHEMBL2419547,6.04,pIC50
O=C(N1CCC(CC1)c2ncccc2N3CCc4ccccc34)c5nc6ccccc6[nH]5,CHEMBL3682149,6.04,pIC50
OC[C@@H]1CCCN1c2nccnc2C3CN(C3)C(=O)c4nc5ccccc5[nH]4,CHEMBL3682218,6.04,pIC50
CC(Nc1nc(nc(Cl)c1C)C2CC2)c3ccncc3,CHEMBL3621555,6.05,pKi
Cc1cc(Cl)cn2cc(CSc3nc(cn3C)c4ccccc4)nc12,CHEMBL3700161,6.05,pIC50
Cc1cc2c3ccccc3cc(CCc4nc(cn4C)c5ccccc5)n2n1,CHEMBL3317691,6.05,pIC50
Cc1nc2ccc(nc2n3c(nnc13)c4cc(CCC(C)(C)O)ccc4Cl)C5CC5,CHEMBL3693326,6.05,pIC50
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCOC5)C6CC6,CHEMBL3693357,6.05,pIC50
FC(F)(F)Cn1c(nc2ccccc12)C(=O)N3CC(C3)c4nccnc4c5ccccc5,CHEMBL3682159,6.05,pIC50
CC(C)CC(=O)N1CCc2nc(nc(N(C)CCc3ccccn3)c2C1)c4ccncc4,CHEMBL2205210,6.06,pKi
CC1CCN(C1)c2cccnc2C3CN(C3)c4ccc5ccccc5n4,CHEMBL3687088,6.06,pIC50
CCCNc1nc(nc(Cl)c1C)C2CC2,CHEMBL3621548,6.06,pKi
CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1,vardenafil,6.06,pIC50
CN(CCc1ccccn1)c2nc(nc3CCN(Cc23)C(=O)Nc4ccccc4)c5ccccn5,CHEMBL2205219,6.06,pKi
COc1cc(C)c2nc3[nH]nc(C)c3c(CN4CCC(CC4)C(F)(F)F)c2c1,CHEMBL1939910,6.06,pKi
COc1ccc(Br)cc1Cc2nccc3cc(OC)c(OCCF)cc23.OC(=O)C(=O)O,CHEMBL1821781,6.06,pIC50
Clc1ccc(N[C@@H]2C[C@H](C2)Oc3ncccc3C4CCOCC4)nc1,CHEMBL3647662,6.06,pIC50
FC(F)(F)c1ccc(N[C@@H]2C[C@@H](C2)Oc3ncccc3C4CCOCC4)nc1,CHEMBL3647669,6.06,pIC50
N#Cc1ccc(N[C@@H]2C[C@H](C2)Oc3ncccc3C4CCOCC4)nc1,CHEMBL3647668,6.06,pIC50
CC(C)Cc1nc2ccc(OCc3ccc4ccccc4n3)cc2n1c5ccccc5,CHEMBL3094200,6.07,pIC50
CN(CCc1ccccn1)c2nc(nc3CCN(Cc23)S(=O)(=O)C)c4ccncc4,CHEMBL2205209,6.07,pKi
COc1cc(C)c2nc3[nH]nc(C)c3c(N4CCNCC4)c2c1,CHEMBL1939782,6.07,pIC50
COc1cc2CCn3cnc(c4cscn4)c3c2cc1OC,CHEMBL2017068,6.07,pKi
Cc1ccc2nc(C)c3nnc(c4cccc(OCCCO)c4)n3c2n1,CHEMBL3693295,6.07,pIC50
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OCC(C)(C)O)ccc4F)C5CC5,CHEMBL3693305,6.07,pIC50
Fc1cnc(C2CN(C2)C(=O)c3nc4ccccc4[nH]3)c(c1)c5ccccc5,CHEMBL3682144,6.07,pIC50
Cn1cc(nc1CSc2nc3ncccc3[nH]2)c4ccccc4,CHEMBL3700160,6.08,pIC50
Nn1cc(nc1SCc2cn3cc(Cl)ccc3n2)c4ccccc4,CHEMBL3700159,6.08,pIC50
O=C(N1CC(C1)c2nccnc2c3ccccc3)c4ccccn4,CHEMBL3682153,6.08,pIC50
COC[C@H]1CCCN1c2nccnc2C3CN(C3)c4ccc5ccccc5n4,CHEMBL3687024,6.09,pIC50
COc1cc2ncnc(N3CC[C@H](C3)Oc4ccccc4C(F)(F)F)c2cc1OC,CHEMBL428445,6.09,pKi
COc1ccc(OC)c(c1)c2nnc3SCC(=Nn23)c4ccc(OC)c(OC)c4,CHEMBL252387,6.09,pIC50
C[C@H](O)COc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(nc4n23)C5CC5,CHEMBL3693294,6.09,pIC50
Cc1c(Cl)nc(nc1NCc2ccon2)C3CC3,CHEMBL3622882,6.09,pKi
Cn1cc(nc1CSc2nc3ccccn3n2)c4cccc(Cl)c4,CHEMBL3700158,6.09,pIC50
CC(C)c1cnc2c(c1)nc(C)c3nnc(c4cc(OCC(C)(C)O)ccc4Cl)n23,CHEMBL3693312,6.1,pIC50
COc1cc(C)c2nc3[nH]nc(C)c3c(CN4CCCCC4)c2c1,CHEMBL1939906,6.1,pKi
COc1cc2nc(SCC#N)n3nc(C)nc3c2cc1OC,CHEMBL1779387,6.1,pIC50
Brc1ccc(cc1)c2cc(NC(=O)c3nc(ccc3Nc4cncnc4)C5CC5)on2,CHEMBL3642226,6.11,pIC50
COc1cccc(Oc2nccnc2C3CN(C3)C(=O)c4nc5ccccc5[nH]4)c1,CHEMBL3691524,6.11,pIC50
Cn1cc(cn1)n2cnc3ccc(OCc4ccc5ccccc5n4)cc23,CHEMBL3094204,6.11,pIC50
COc1cc(OC)nc(n1)N2CCN(CC2)C(=O)c3nc(oc3CN)c4ccc(OC)c5nc(ccc45)C(F)(F)F,CHEMBL401345,6.12,pIC50
Cn1c(CCCCOC2=CN(CC3CC3)N=C(C2=O)c4ccnn4c5ccccc5)nc6ccccc16,CHEMBL3815110,6.12,pIC50
Cn1ncc(C(=O)N2CCC2)c1C(=O)NC(C)(C)Cc3onc(n3)c4ccccc4,CHEMBL3649544,6.12,pIC50
CCN(C(=O)c1ccncc1)c2ccc(OCc3ccc4ccccc4n3)cc2,CHEMBL2419563,6.13,pIC50
O=C(Nc1nnc(s1)c2cnccn2)c3nc(ccc3Nc4cncnc4)C5CC5,CHEMBL3642218,6.13,pIC50
OCCNc1nccnc1C2CN(C2)C(=O)c3nc4ccccc4[nH]3,CHEMBL3682209,6.13,pIC50
Oc1c(C#N)c(nc2ccncc12)c3ccc(cc3)c4cncnc4,CHEMBL1957372,6.13,pIC50
CCc1nc(C)c2c(OC(C)C)nc3ccc(OC)nc3n12,CHEMBL1083168,6.14,pIC50
O=C(N1CC(C1)c2nccnc2Oc3ccccc3)c4nc5ccccc5[nH]4,CHEMBL3691526,6.14,pIC50
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCC5O)ccc4Cl)C6CC6,CHEMBL3693314,6.15,pIC50
Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc3nc(n[nH]3)c4ccncc4,CHEMBL3649533,6.15,pIC50
Brc1cccnc1Oc2ccc(Nc3nc4ccccc4s3)cc2,CHEMBL3690199,6.16,pIC50
CCCC1=C2C=C(OC)C(=CC2=C(Cc3cc4cc(C)ccc4nc3N(C)C)C(=O)N1)OC,CHEMBL3643856,6.16,pIC50
CNC(=O)c1c(NC(=O)c2nc(cnc2Nc3cncnc3)N4CCN(C)CC4)cnn1C,CHEMBL3690061,6.16,pIC50
Cc1c(Cl)nc(nc1NCc2cocc2)C3CC3,CHEMBL3621549,6.17,pKi
Cc1nc2ccc(nc2n3c(nnc13)c4cc(CCC(C)(C)O)ccc4F)C5CC5,CHEMBL3693323,6.17,pIC50
C(Oc1ccc2c(c1)sc3nnc(c4ccncc4)n23)c5ccc6ccccc6n5,CHEMBL3094136,6.18,pIC50
CC(C)N1CCCN(CC1)c2nccnc2C3CN(C3)c4ccc5ccccc5n4,CHEMBL3687011,6.18,pIC50
CCCCN(C(=O)c1ccncc1)c2ccc(OCc3ccc4ccccc4n3)cc2,CHEMBL2419556,6.18,pIC50
CN(C(=O)c1ccccc1)c2ccc(OCc3ccc4ccccc4n3)cc2,CHEMBL2419557,6.18,pIC50
COc1cc2ncnc(N3CCOC(C3)c4ccccc4Cl)c2cc1OC,CHEMBL3659670,6.18,pIC50
Cc1ccc(cc1)c2nc(CCNC(=O)c3c(cnn3C)C(=O)N4CCC4)c(C)s2,CHEMBL3649565,6.18,pIC50
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5COCCC5O)ccc4Cl,CHEMBL3693316,6.18,pIC50
Cn1c(Cl)nc(C(=O)N2CCC2)c1C(=O)NCCc3nc4ccccc4n3C,CHEMBL3649532,6.18,pIC50
COc1cc(CNc2ccc(cc2)c3c(cnn3C)c4ccncc4)nc5ccccc15,CHEMBL3218032,6.19,pIC50
COc1cncc(c1)c2nccnc2C3CN(C3)C(=O)c4nc5ccccc5[nH]4,CHEMBL3682168,6.19,pIC50
OC(=O)c1cccnc1Oc2ccc(Nc3nc4ccccc4s3)cc2,CHEMBL3690198,6.19,pIC50
COc1cc2CCn3cnc(c4ccccc4Cl)c3c2cc1OC,CHEMBL2017074,6.2,pKi
COc1ccc(OC)c(c1)c2nnc3SCC(=Nn23)c4ccc(OC)c(O[C@@H]5CCOC5)c4,CHEMBL564209,6.2,pIC50
COc1ccc2ccc(CSc3ccc(cc3)c4c(cnn4C)c5ccncc5)nc2c1,CHEMBL3218030,6.2,pIC50
COc1cccc2ccc(CSc3ccc(cc3)c4nn(C)cc4c5ccncc5)nc12,CHEMBL3218045,6.2,pIC50
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5CCOCC5O)ccc4F)C6CC6,CHEMBL3693373,6.2,pIC50
CCCc1nc(C)c2c(NS(=O)(=O)CCC)nc3ccc(OC)nc3n12,CHEMBL1085376,6.21,pIC50
CCc1nc(C)c2c(SC)nc3ccc(OC)nc3n12,CHEMBL1084005,6.21,pIC50
O=C(Nc1onc(c1)c2ccccc2)c3nc(ccc3Nc4cncnc4)C5CC5,CHEMBL3642215,6.21,pIC50
CC(C)c1nc2ccc(OCc3ccc4ccccc4n3)cc2n1c5ccncc5,CHEMBL3094297,6.22,pIC50
COc1ccc(c2oc(CN)c(n2)C(=O)N3CCC(O)(CC3)c4ccccc4)c5ccc(nc15)C(F)(F)F,CHEMBL437020,6.22,pIC50
COc1ccc2nc(CSc3ccc(cc3)c4c(cnn4C)c5ccncc5)ccc2c1,CHEMBL3218029,6.22,pIC50
COc1cccc(c1)[C@@H]2CN(CCN2)c3ncnc4cc(OC)c(OC)cc34,CHEMBL3659662,6.22,pIC50
Cn1cc(cn1)c2ccc(cc2)c3nc4ccncc4c(O)c3C#N,CHEMBL1957461,6.22,pIC50
COc1cc2nncc(c3ccc(Cl)nc3)c2cc1OC,CHEMBL1956213,6.23,pIC50
COc1ccc2nc3[nH]nc(C)c3c(N4CCNCC4)c2c1,CHEMBL1939783,6.23,pKi
Cc1ccc(nc1)N2CC(C2)c3nccnc3N4CCC(CO)CC4,CHEMBL3687094,6.23,pIC50
Cc1ccc2c(c1)nc(CCc3nc(C)c4ccccn34)n2c5ccccc5,CHEMBL3288408,6.23,pIC50
Cc1nc(C)c(CNc2nc(OCCC3CCCCN3)nc(Cl)c2C)s1,CHEMBL3622895,6.23,pKi
Clc1cccc2nc([nH]c12)C(=O)N3CC(C3)c4nccnc4c5cccnc5,CHEMBL3682182,6.23,pIC50
Cn1c2ccccc2c3cc(CCOc4ncccc4c5ccc(Cl)cc5)cnc13,CHEMBL3262296,6.23,pIC50
N#Cc1ccc(N[C@@H]2C[C@@H](C2)Oc3ncccc3C4CCOCC4)nc1,CHEMBL3647660,6.23,pIC50
Cn1cc(nc1CSc2nc3ccccn3n2)c4ccc(F)cc4,CHEMBL3700156,6.24,pIC50
Cn1cc(nc1SCc2nc3ccccc3n2c4ccccc4)c5ccccc5,CHEMBL3700157,6.24,pIC50
FC(F)(F)Cn1c(nc2ccccc12)C(=O)N3CC(C3)c4nccnc4N5CCCCC5,CHEMBL3682188,6.24,pIC50
O=C(Nc1cnccc1C(=O)N2CC3(COC3)C2)c4nc(ccc4Nc5cncnc5)C6CC6,CHEMBL3685511,6.24,pIC50
