SMILES,ChEMBL,target,metric
COC1=C(Cl)C=C(CNC2=NC(=NC=C2C(=O)NCC2=NC=CC=N2)N2CCC[C@H]2CO)C=C1,avanafil,8.28399658,pIC50
CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1,vardenafil,9.1549,pIC50
CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4,sildenafil,9.0,pIC50
[H][C@]12CC3=C(NC4=C3C=CC=C4)[C@]([H])(N1C(=O)CN(C)C2=O)C1=CC=C2OCOC2=C1,tadalafil,8.0,pKi
CCCOC1=CC=C(C=C1C1=NC(=O)C2=C(N1)C(CCC)=NN2C)S(=O)(=O)NCCC1CCCN1C,udenafil,8.08354568,pIC50
OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO,dipyridamole,6.28,pIC50
CCCOC1=CC=C(C=C1C1=NC2C(N(CC)C=C2CCC)C(=O)N1)S(=O)(=O)N1CCN(CCO)CC1,mirodenafil,9.46852112,pIC50
CCCCCOc1ccccc1c2nc3ccc[nH]c3n2,CHEMBL28871,6.0,pIC50
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](N2C1=O)c5ccccc5OC,CHEMBL504118,6.0,pIC50
CCCCOc1ccccc1c2nc3ccc[nH]c3n2,CHEMBL32183,6.0,pIC50
CCCOc1ccccc1C2=Nc3nc[nH]c3C(=O)N2,CHEMBL42713,6.0,pIC50
CCCOc1ccccc1C2=Nc3nn[nH]c3C(=O)N2,CHEMBL28079,6.0,pIC50
CCCc1n[nH]c2c(O)nc(nc12)c3ccccc3O,CHEMBL300416,6.0,pIC50
CCCc1nn(C)c2C(=O)NC(=Nc12)c3ccccc3O,CHEMBL525436,6.0,pIC50
CCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)[C@@H]2c5ccc(Cl)cc5Cl)C1=O,CHEMBL1650868,6.0,pIC50
COCc1nc2N3[C@H]4CCC[C@H]4N=C3N(C)C(=O)c2n1Cc5ccccc5,CHEMBL308199,6.0,pIC50
COc1cc(cc(OC)c1OC)c2cnc3c(nccn23)N4CCOCC4,CHEMBL3262027,6.0,pIC50
COc1cc2c(OCc3ccc4OCOc4c3)ncnc2c(OC)c1OC,CHEMBL63637,6.0,pIC50
COc1cc2cc3COC(=O)c3c(c4cc(OC)c(OC)c(OC)c4)c2cc1OC,CHEMBL284006,6.0,pIC50
COc1ccc(CNc2ncnc3c(OC)c(OC)c(OC)cc23)cc1,CHEMBL125435,6.0,pIC50
Cl.CCCCCOc1ccccc1c2nc3cc[nH]cc3n2,CHEMBL542813,6.0,pIC50
Cl.CCOc1cc2cc(CO)c(CO)c(c3ccnc(c3)N4N=C(c5cccnc5)c6ccccc6C4=O)c2cc1OC,CHEMBL537465,6.0,pIC50
Cl.Clc1cccc(Nc2nc(nc3ccccc23)c4ccccc4)c1,CHEMBL553820,6.0,pIC50
CC1=NN(Cc2ccccc2)C(=O)c3nc(CCc4ccccc4)n5nc(cc5c13)c6ccccc6,CHEMBL195282,6.01,pIC50
CCCc1nn(C)c2C(=O)NC(=Nc12)c3ccccc3OCC4CC4,CHEMBL52141,6.02,pIC50
OCc1ccc2ncnc(NCc3ccc4OCOc4c3)c2c1,CHEMBL68337,6.03,pIC50
CC1=NN(Cc2ccccc2)C(=O)c3nc(C)n4nc(cc4c13)c5ccc(N)cc5,CHEMBL195603,6.04,pIC50
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@H](N2C1=O)c5ccc(cc5)C#N,CHEMBL141975,6.04,pIC50
CCCc1nc(C)c2c(C)nc3ccc(OC)nc3n12,CHEMBL1086110,6.04,pIC50
CCc1cc(C(=O)C)c(O)cc1OCc2cccc(c2)C(=O)NCC(=O)O,CHEMBL363889,6.04,pIC50
Nc1nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c2n1S(=O)(=O)c5ccc(Cl)cc5,CHEMBL357921,6.05,pIC50
ONC(=O)C1(CC1)c2csc(NC(=O)c3cccc(COc4ccccc4)n3)n2,CHEMBL188628,6.05,pIC50
CCOc1ccc(cc1C2=Nc3c(nc4ccccn34)C(=O)N2)S(=O)(=O)N5CCN(C)CC5,CHEMBL554480,6.06,pIC50
CCN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](N2C1=O)c5ccc(Cl)cc5Cl,CHEMBL1650675,6.07,pIC50
CCOc1ccccc1c2nc(O)c3nc4cc(C)ccn4c3n2,CHEMBL195618,6.07,pIC50
CN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)[C@@H]2c5ccc(Cl)cc5Cl)C1=O,CHEMBL1650864,6.07,pIC50
COC(=O)c1ccc(Nc2nc(nc3ccccc23)c4ccccc4)cc1,CHEMBL120099,6.07,pIC50
Cl.Cl.C(Cc1ccccc1)Nc2nc(nc3ccccc23)n4ccnc4,CHEMBL555171,6.07,pIC50
FC(F)(F)c1cccc(c1)c2oc(CN3CCc4c([nH]c5ccccc45)C3c6ccc7OCOc7c6)cc2,CHEMBL350400,6.07,pKi
COc1cc2ncnc(NCc3ccc4OCOc4c3)c2cc1OC,CHEMBL66913,6.08,pIC50
Nc1nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c2n1Cc5ccccc5,CHEMBL142782,6.08,pIC50
ONC(=O)C(Cc1ccccc1)c2csc(NC(=O)c3cccc(COc4ccccc4)n3)n2,CHEMBL189520,6.08,pIC50
COc1cc(OC)c2ncnc(NCc3ccc4OCOc4c3)c2c1,CHEMBL68072,6.09,pIC50
COc1ccc(CNc2nnc(Cl)c3cc(Cl)ccc23)cc1Cl,CHEMBL115997,6.09,pIC50
CS(=O)(=O)c1ccc2ncnc(NCc3ccc4OCOc4c3)c2c1,CHEMBL294731,6.09,pIC50
CCCCCCc1nc2N3[C@H]4CCC[C@H]4N=C3N(C)C(=O)c2n1Cc5ccccc5,CHEMBL303385,6.1,pIC50
CCCc1nc2C(=O)N(C)C3=N[C@@H]4CCC[C@@H]4N3c2[nH]1,CHEMBL275204,6.1,pIC50
Cl.CCOc1cc2c(c(CO)c(CO)cc2cc1OC)c3ccnc(c3)N4N=C(c5cccnc5)c6ccccc6C4=O,CHEMBL552877,6.1,pIC50
Clc1cccc(CNc2nc(nc3ccccc23)c4ccccc4)c1,CHEMBL118717,6.1,pIC50
Clc1ccccc1CNc2nc(nc3ccccc23)c4ccccc4,CHEMBL333093,6.1,pIC50
ONC(=O)Cc1csc(NC(=O)C2C=CN(c3ccccc3)c4ccccc24)n1,CHEMBL190948,6.1,pIC50
CCCc1nn(C)c2C(=O)NC(=Nc12)c3ccccc3NS(=O)(=O)C,CHEMBL52245,6.11,pIC50
COc1cc2c(NCc3ccc4OCCOc4c3)ncnc2c(OC)c1OC,CHEMBL331407,6.11,pIC50
Cc1nc(NC(=O)c2cccc(COc3ccccc3)n2)sc1C(=O)NO,CHEMBL189566,6.11,pIC50
NC(=O)c1ccc2ncnc(NCc3ccc4OCOc4c3)c2c1,CHEMBL63428,6.11,pIC50
CCCOc1ccc(cc1C2=NC(=C(Cl)C(=O)N2)CC)S(=O)(=O)N3CCN(C)CC3,CHEMBL1915518,6.12,pKd
Cl.COc1cccc(Nc2nc(nc3ccccc23)c4ccccc4)c1,CHEMBL541845,6.12,pIC50
CC1=C(C=C(C#N)C(=O)N1)c2ccncc2,CHEMBL189,6.13,pIC50
Clc1ccc(CNc2nc(nc3ccccc23)c4ccccc4)cc1,CHEMBL118781,6.13,pIC50
O=C(N1CCc2c([nH]c3ccccc23)C1c4ccc5OCOc5c4)c6oc(cc6)c7ccccc7,CHEMBL350993,6.13,pIC50
C(Nc1nc(nc2ccccc12)c3cccs3)c4ccccc4,CHEMBL117108,6.14,pIC50
COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](N1C(=O)CCl)c4c(Cl)cccc4Cl,CHEMBL1650861,6.14,pIC50
COc1ccc(cc1OC2CCCC2)C3CNC(=O)C3,CHEMBL63,6.14,pIC50
COc1ccc2ncnc(NCc3ccc4OCOc4c3)c2c1OC,CHEMBL308657,6.14,pIC50
CCOc1ccccc1c2nc(O)c3nc4ccc(Br)c(C)n4c3n2,CHEMBL194005,6.15,pIC50
CC(=CCc1c(O)cc(O)c2C(=O)C(=C(Oc12)c3ccc(O)c(O)c3)O)C,CHEMBL193059,6.16,pIC50
CC1(C)C(=O)Nc2nc(nc(I)c12)n3nc(Cc4ccccc4F)c5cc(F)ccc35,CHEMBL3703685,6.16,pIC50
CC1(C)C(=O)Nc2nc(nc(I)c12)n3nc(Cc4ccccc4F)c5ccccc35,CHEMBL3703683,6.16,pIC50
CCOC(=O)c1sc(Nc2nc(cc(n2)N3CCC(O)CC3)N4CCC(O)CC4)nc1C,CHEMBL474228,6.16,pIC50
OC(=O)c1ccc(CSc2nc(cc(c2C#N)C(F)(F)F)c3cccs3)cc1,CHEMBL203287,6.16,pIC50
CCc1cc(C(=O)C)c(O)cc1OCc2cccc(c2)C(=O)NC(CO)C(=O)O,CHEMBL424817,6.17,pIC50
CCCc1c(OCc2ccc3OCOc3c2)ccc4C(=O)C=C(Oc14)C(=O)O,CHEMBL332624,6.19,pIC50
CCN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](N2C1=O)c5ccccc5Br,CHEMBL1099244,6.19,pIC50
