SMILES,ChEMBL,target,metric
Cc1nc2c(c(F)c(F)cc2n1Cc3ccc(cc3)B(O)O)[N+](=O)[O-],CHEMBL3770101,6.28,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(cc3)n4cccc4)[N+](=O)[O-],CHEMBL3770506,6.48,pIC50
CC(c1ccccc1)n2c(C)nc3c(c(C)c(C)cc23)[N+](=O)[O-],CHEMBL3771173,6.6,pIC50
Cc1nc2cc(Cl)c(Cl)cc2n1Cc3ccc(cc3)B(O)O,CHEMBL3769502,6.61,pIC50
Cc1nc(Cn2c(C)nc3c(c(Cl)c(Cl)cc23)[N+](=O)[O-])cs1,CHEMBL3770961,6.62,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1CCc3ccc(cc3)B(O)O)[N+](=O)[O-],CHEMBL3771117,6.69,pIC50
OB(O)c1ccc(Cn2c(nc3c(cccc23)[N+](=O)[O-])C(F)(F)F)cc1,CHEMBL3771148,6.69,pIC50
Cc1n[nH]c(C)c1CCn2c(C)nc3c(c(Cl)c(Cl)cc23)[N+](=O)[O-],CHEMBL3770307,6.72,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(Cl)nc3)[N+](=O)[O-],CHEMBL3770766,6.73,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(cc3)C#N)[N+](=O)[O-],CHEMBL3770701,6.78,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(C=O)cc3)[N+](=O)[O-],CHEMBL3770193,6.88,pIC50
COC(=O)c1ccc(Cn2c(C)nc3c(c(Cl)c(Cl)cc23)[N+](=O)[O-])cc1,CHEMBL3770808,7.02,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1C(=O)c3ccccc3)[N+](=O)[O-],CHEMBL3770403,7.02,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1c3ccccc3)[N+](=O)[O-],CHEMBL3770930,7.07,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccccc3B(O)O)[N+](=O)[O-],CHEMBL3770096,7.09,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(cc3)n4cccn4)[N+](=O)[O-],CHEMBL3770659,7.13,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1S(=O)(=O)c3ccccc3)[N+](=O)[O-],CHEMBL3770789,7.13,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(cc3)C(=O)O)[N+](=O)[O-],CHEMBL3769653,7.14,pIC50
COc1ccc(Cn2c(C)nc3c(c(C)c(C)cc23)[N+](=O)[O-])cc1,CHEMBL3771138,7.24,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccccc3)[N+](=O)[O-],CHEMBL3769687,7.31,pIC50
CN1CC(=O)OB(OC(=O)C1)c2ccc(Cn3c(C)nc4c(c(Cl)c(Cl)cc34)[N+](=O)[O-])cc2,CHEMBL3771105,7.33,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(cc3)B(O)O)[N+](=O)[O-],CHEMBL3771237,7.34,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3cccc(c3)B(O)O)[N+](=O)[O-],CHEMBL3770446,7.34,pIC50
COc1ccc(Cn2c(C)nc3c(c(Cl)c(Cl)cc23)[N+](=O)[O-])cc1,CHEMBL3771227,7.39,pIC50
CC(=O)Oc1ccc(Cn2c(C)nc3c(c(Cl)c(Cl)cc23)[N+](=O)[O-])cc1,CHEMBL3769727,7.47,pIC50
OB(O)c1ccc(Cn2c(nc3c(c(Cl)c(Cl)cc23)[N+](=O)[O-])C4CC4)cc1,CHEMBL3769835,7.57,pIC50
Cc1nc2c(c(Cl)c(Cl)cc2n1Cc3ccc(O)cc3)[N+](=O)[O-],CHEMBL3771039,7.68,pIC50
Cc1ccc(Cn2c(C)nc3c(c(Cl)c(Cl)cc23)[N+](=O)[O-])cc1,CHEMBL3771346,7.72,pIC50
