model_name,f1,roc_auc,accuracy
15_hydroxyprostaglandin_dehydrogenase_nad_,0.9285714285714286,0.9993327773144288,0.9967453213995118
1_25_dihydroxyvitamin_d_3_24_hydroxylase_mitochondrial,1.0,1.0,1.0
1_acyl_sn_glycerol_3_phosphate_acyltransferase_beta,1.0,1.0,1.0
2_acylglycerol_o_acyltransferase_2,0.967741935483871,0.99984783931832,0.9984650805832692
3_beta_hydroxysteroid_dehydrogenase_delta_5_4_isomerase_type_1,0.8888888888888891,0.9946236559139784,0.9896907216494846
3_beta_hydroxysteroid_delta_8_delta_7_isomerase,0.5714285714285715,0.9525,0.9901315789473684
3_phosphoinositide_dependent_protein_kinase_1,0.97196261682243,0.9652919278996864,0.998430141287284
4_hydroxyphenylpyruvate_dioxygenase,0.967741935483871,1.0,0.9982238010657194
5_hydroxytryptamine_receptor_1a,0.886046511627907,0.9899540712307876,0.9937535853145516
5_hydroxytryptamine_receptor_1b,0.9395348837209304,0.987036513860596,0.9965888218315404
5_hydroxytryptamine_receptor_1d,0.9625,0.9985070120849384,0.997893997893998
5_hydroxytryptamine_receptor_1f,0.8823529411764706,0.9978213507625272,0.9941262848751836
5_hydroxytryptamine_receptor_2a,0.931909212283044,0.9940484461118059,0.9965489240763296
5_hydroxytryptamine_receptor_2b,0.9015544041450776,0.9847390405220946,0.99449115685706
5_hydroxytryptamine_receptor_2c,0.9377777777777778,0.9945992948761032,0.99672131147541
5_hydroxytryptamine_receptor_3a,0.8876404494382022,0.9851176830200212,0.9933288859239492
5_hydroxytryptamine_receptor_4,0.9659863945578232,0.9942328414663648,0.9980252764612956
5_hydroxytryptamine_receptor_5a,0.85,0.9930955120828538,0.9918144611186904
5_hydroxytryptamine_receptor_6,0.9623865110246432,0.9985049447235554,0.9979835905993604
5_hydroxytryptamine_receptor_7,0.9285714285714286,0.996618429431218,0.9961435775734204
5_nucleotidase,1.0,1.0,1.0
6_phosphofructo_2_kinase_fructose_2_6_bisphosphatase_4,1.0,1.0,1.0
72_kda_type_iv_collagenase,0.9699074074074074,0.9967470775183798,0.9984285282562708
7_8_dihydro_8_oxoguanine_triphosphatase,0.7999999999999999,0.8764705882352941,0.9831460674157304
abelson_tyrosine_protein_kinase_2,0.5714285714285715,0.9842105263157896,0.9747899159663864
acetylcholinesterase,0.902116402116402,0.9886511774660596,0.9946044476850164
acetylcholine_receptor_subunit_alpha,0.6666666666666666,0.9671361502347418,0.972972972972973
acetylcholine_receptor_subunit_beta,0.6666666666666666,0.9825000000000002,0.9807692307692308
acetylcholine_receptor_subunit_delta,0.8571428571428571,0.9451923076923076,0.9925373134328358
acetyl_coa_carboxylase_1,0.98,0.9998429577780767,0.998888271261812
acetyl_coa_carboxylase_2,0.9896907216494846,0.9996400213301484,0.999439304737875
acetyl_coenzyme_a_transporter_1,1.0,1.0,1.0
acid_ceramidase,1.0,1.0,1.0
acid_sensing_ion_channel_3,0.6,0.991150442477876,0.982608695652174
activated_cdc42_kinase_1,0.9523809523809524,0.9893765238592824,0.99812382739212
activin_receptor_type_1,0.8,0.995,0.9807692307692308
acyl_coa_desaturase,0.9613259668508288,0.9995435882396071,0.9977101733725876
adenosine_deaminase,0.6,0.8794964028776977,0.9858156028368794
adenosine_kinase,0.9850746268656716,0.9999708794408854,0.9990421455938696
adenosine_receptor_a3,0.0,0.5875,0.9519230769230768
adenosylhomocysteinase,0.9166666666666666,0.9400897609852834,0.9947575360419396
adenylate_cyclase_type_1,1.0,1.0,1.0
alcohol_dehydrogenase_class_3,1.0,1.0,1.0
aldehyde_dehydrogenase_dimeric_nadp_preferring,0.8571428571428571,0.7962499999999999,0.9903846153846154
aldehyde_dehydrogenase_mitochondrial,0.9189189189189191,0.9891122278056952,0.9951219512195122
aldose_reductase,0.979591836734694,0.992892110115074,0.9987908101571948
aldo_keto_reductase_family_1_member_b10,0.875,0.9996408045977012,0.99438202247191
aldo_keto_reductase_family_1_member_c1,0.8,0.9976525821596244,0.9864864864864864
aldo_keto_reductase_family_1_member_c2,1.0,1.0,1.0
aldo_keto_reductase_family_1_member_c3,0.9708737864077671,0.9999329646388472,0.9983388704318936
alkaline_phosphatase_tissue_nonspecific_isozyme,0.9316770186335404,0.9963609898107716,0.9794776119402984
alk_tyrosine_kinase_receptor,0.9863013698630138,0.9989903867257802,0.9992250064582796
alpha_1a_adrenergic_receptor,0.9476190476190476,0.9971519327642347,0.9970682302771856
alpha_1b_adrenergic_receptor,0.9230769230769232,0.9988761534814168,0.99581589958159
alpha_1d_adrenergic_receptor,0.96875,0.9992787849093584,0.998012718600954
alpha_1_6_mannosyl_glycoprotein_2_beta_n_acetylglucosaminyltransferase,1.0,1.0,1.0
alpha_2a_adrenergic_receptor,0.9,0.9824412074881828,0.9948186528497408
alpha_2b_adrenergic_receptor,0.8,0.9656940760389036,0.9908256880733946
alpha_2c_adrenergic_receptor,0.9393939393939394,0.9995437016102916,0.9961813842482099
alpha_ketoglutarate_dependent_dioxygenase_alkb_homolog_3,1.0,1.0,1.0
amiloride_sensitive_amine_oxidase_copper_containing_,0.4,0.6877637130801687,0.9634146341463414
amiloride_sensitive_sodium_channel_subunit_alpha,1.0,1.0,1.0
amine_oxidase_flavin_containing_a,0.8469387755102041,0.9742267433289103,0.9912459877443828
amine_oxidase_flavin_containing_b,0.9487750556792872,0.9965486751573708,0.9970569417786308
aminopeptidase_n,0.9,1.0,0.9935691318327974
amp_deaminase_3,0.923076923076923,0.8663723916532906,0.9945945945945946
androgen_receptor,0.953560371517028,0.9974362344076836,0.9973679592911036
angiopoietin_1_receptor,0.9090909090909092,0.9942775817594212,0.9958053691275168
angiotensin_converting_enzyme_2,0.9473684210526316,1.0,0.9974025974025974
angiotensin_converting_enzyme,0.9736842105263158,0.9999879505006568,0.9982736296935693
apelin_receptor,0.8,0.9545454545454544,0.9230769230769232
arachidonate_12_lipoxygenase_12s_type,0.983050847457627,0.9950429610046264,0.9924050632911392
arachidonate_15_lipoxygenase,0.927536231884058,0.9982754372998276,0.9956140350877192
arachidonate_5_lipoxygenase_activating_protein,0.9633507853403142,0.9955345706722618,0.9994807892004154
arginase_1,0.9090909090909092,0.9979166666666668,0.9959183673469388
arginase_2_mitochondrial,0.9333333333333332,0.9375,0.9951923076923076
aromatase,0.9427312775330396,0.9994508241957032,0.9968992248062016
aryl_hydrocarbon_receptor,0.75,0.9954810445341336,0.9987616099071208
atpase_family_aaa_domain_containing_protein_2,0.8888888888888891,0.9981132075471698,0.990990990990991
atp_binding_cassette_sub_family_c_member_8,0.8333333333333334,0.9947183098591548,0.9864864864864864
atp_binding_cassette_sub_family_c_member_9,0.7499999999999999,1.0,0.9775280898876404
atp_binding_cassette_sub_family_g_member_2,0.9333333333333332,0.9995521719659652,0.9966216216216216
atp_citrate_synthase,1.0,1.0,1.0
atp_sensitive_inward_rectifier_potassium_channel_11,0.8695652173913043,0.9489621489621493,0.9928909952606636
atp_sensitive_inward_rectifier_potassium_channel_1,0.9859154929577464,0.9999710522506876,0.9990215264187868
atypical_chemokine_receptor_3,1.0,1.0,1.0
aurora_kinase_a,0.9476744186046512,0.9946678865782232,0.9971760276121744
aurora_kinase_b,0.9554655870445344,0.9997307072374888,0.9974370922646784
aurora_kinase_c,0.6,0.8386837881219904,0.9783783783783784
a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_4,0.927536231884058,0.997801572522243,0.9954954954954957
a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_5,0.9866666666666666,0.9998203700377224,0.9993346640053228
b1_bradykinin_receptor,0.978494623655914,0.9990981373776044,0.9986595174262736
b2_bradykinin_receptor,0.9352517985611511,0.9986116578562592,0.9958333333333332
bcl2_associated_agonist_of_cell_death,0.875,0.9992647058823528,0.9887640449438202
bcl_2_like_protein_1,0.9797979797979798,0.9999736524027362,0.9987365761212889
bcl_2_like_protein_2,0.8888888888888891,0.9964912280701754,0.9915966386554622
bcl_2_related_protein_a1,1.0,1.0,1.0
bdnf_nt_3_growth_factors_receptor,0.8125,0.9985320331341092,0.9896193771626296
beta_1_3_galactosyl_o_glycosyl_glycoprotein_beta_1_6_n_acetylglucosaminyltransferase,0.9174311926605504,0.9852266743262004,0.9953940634595702
beta_1_4_mannosyl_glycoprotein_4_beta_n_acetylglucosaminyltransferase,1.0,1.0,1.0
beta_1_adrenergic_receptor,0.9482758620689654,0.9999048126713372,0.9968944099378882
beta_2_adrenergic_receptor,0.9466666666666668,0.9995620376331036,0.9969639468690702
beta_3_adrenergic_receptor,0.9743589743589745,0.999966433941998,0.9987546699875468
beta_adrenergic_receptor_kinase_1,0.8888888888888891,1.0,0.9965397923875432
beta_secretase_1,0.9781771501925546,0.9987017565147022,0.998738451263404
beta_secretase_2,0.9634146341463417,0.9989800695559122,0.9979536152796724
bifunctional_epoxide_hydrolase_2,0.9777777777777776,0.9999394477777334,0.998714017212385
bile_acid_receptor,0.9444444444444444,0.9996896337678459,0.9963963963963964
bombesin_receptor_subtype_3,0.8979591836734694,0.9995654063450674,0.9936788874841972
bone_morphogenetic_protein_1,0.9701492537313432,0.9999713508093396,0.9981924988703118
bone_morphogenetic_protein_4,1.0,1.0,1.0
branched_chain_amino_acid_aminotransferase_mitochondrial,0.8571428571428571,0.9532657657657656,0.9941348973607038
bromodomain_adjacent_to_zinc_finger_domain_protein_2a,1.0,1.0,1.0
bromodomain_adjacent_to_zinc_finger_domain_protein_2b,1.0,1.0,1.0
bromodomain_containing_protein_2,0.9459459459459459,0.9980024696738578,0.9972432804962096
bromodomain_containing_protein_3,0.9870129870129868,0.9999690325777284,0.9994100294985252
bromodomain_containing_protein_4,0.9411764705882354,0.994887171286425,0.9968901174844506
bromodomain_containing_protein_9,0.6666666666666666,1.0,0.986842105263158
c3a_anaphylatoxin_chemotactic_receptor,1.0,1.0,1.0
c5a_anaphylatoxin_chemotactic_receptor_1,0.9152542372881356,0.9954932250126012,0.9958053691275168
calcitonin_gene_related_peptide_1,0.8888888888888891,0.9896551724137932,0.9957805907172996
calcitonin_gene_related_peptide_type_1_receptor,0.9837837837837836,0.999955795732078,0.999003984063745
calcium_activated_potassium_channel_subunit_alpha_1,0.75,0.9802955665024632,0.9877300613496932
